,基金号,近1年std,近2年std,近3年std,近1年夏普率,近2年夏普率,近3年夏普率
001538,001538,22.30%,20.31%,21.46%,3.10,2.52,1.42
000779,000779,0.09%,0.09%,0.14%,4.80,6.76,7.98
000329,000329,1.90%,1.71%,1.64%,2.05,2.78,2.23
000796,000796,24.74%,25.76%,26.46%,2.02,1.60,0.76
001884,001884,18.90%,19.03%,19.01%,1.78,1.22,0.70
000846,000846,0.10%,0.11%,0.15%,8.42,10.19,10.64
001304,001304,10.43%,8.03%,6.97%,0.89,0.55,0.39
000903,000903,0.10%,0.11%,0.16%,6.69,8.12,9.58
001241,001241,20.93%,22.84%,22.00%,1.20,0.69,0.05
000684,000684,20.91%,18.40%,16.50%,2.78,1.56,1.05
001095,001095,0.09%,0.11%,0.15%,6.75,8.52,9.63
001580,001580,4.00%,3.76%,3.63%,2.83,2.18,1.38
001979,001979,18.96%,20.39%,20.22%,0.82,0.51,0.06
001703,001703,23.19%,21.58%,21.60%,1.66,1.22,0.76
000542,000542,0.10%,0.11%,0.14%,6.44,8.47,9.93
000112,000112,1.68%,1.37%,1.26%,0.90,2.09,2.39
000407,000407,5.24%,4.83%,4.91%,1.19,1.08,0.95
000057,000057,18.68%,16.89%,19.44%,2.07,1.40,0.67
001216,001216,20.60%,17.98%,15.23%,2.63,2.63,2.13
000954,000954,6.50%,10.50%,11.86%,2.91,0.94,0.06
001579,001579,21.72%,19.87%,19.53%,2.24,2.21,1.52
001980,001980,14.33%,19.20%,--,1.44,0.96,--
000692,000692,4.37%,4.78%,5.66%,2.08,2.08,1.07
000368,000368,19.07%,19.19%,19.11%,1.80,1.12,0.58
001596,001596,7.71%,6.53%,8.66%,2.98,2.06,1.16
000104,000104,1.42%,1.54%,2.06%,0.49,1.06,-0.05
000554,000554,22.21%,20.01%,19.70%,1.47,0.98,0.41
001715,001715,22.04%,17.21%,15.39%,2.55,1.96,1.43
001345,001345,14.42%,11.84%,10.07%,2.37,1.60,1.30
001650,001650,8.69%,6.53%,6.15%,2.47,2.06,1.62
000942,000942,27.89%,30.00%,28.85%,1.20,0.97,0.36
001200,001200,1.51%,4.42%,6.55%,1.79,0.99,0.20
000041,000041,23.35%,20.73%,20.08%,0.00,-0.24,-0.01
000411,000411,20.24%,19.63%,19.97%,1.59,1.12,0.67
000295,000295,4.20%,3.31%,3.17%,0.54,1.07,0.86
001484,001484,7.07%,13.71%,12.66%,2.71,1.23,0.70
001191,001191,3.97%,3.51%,3.22%,2.19,2.09,1.67
001892,001892,24.02%,18.88%,20.18%,1.77,1.07,0.80
000780,000780,25.71%,23.89%,24.46%,2.26,1.68,1.17
001938,001938,23.14%,22.99%,23.13%,1.65,1.51,0.99
001312,001312,5.96%,4.57%,9.00%,2.32,1.52,-0.09
001742,001742,18.75%,18.47%,20.11%,1.54,0.76,0.34
000850,000850,22.06%,20.77%,18.45%,1.62,0.98,0.62
000503,000503,1.03%,0.92%,1.34%,0.86,2.09,0.73
000153,000153,1.98%,1.57%,1.55%,0.39,1.16,1.21
000016,000016,1.51%,1.26%,1.25%,0.58,1.95,2.07
001257,001257,4.10%,4.65%,4.74%,1.96,1.55,0.95
001607,001607,19.85%,19.21%,18.49%,2.51,1.87,1.18
001410,001410,29.53%,29.63%,28.39%,2.13,1.82,1.10
001040,001040,22.06%,22.62%,23.91%,2.97,2.00,1.21
000201,000201,1.63%,1.54%,1.58%,1.53,2.31,2.32
001943,001943,21.01%,22.28%,18.29%,1.24,1.09,0.86
000651,000651,0.10%,0.10%,0.14%,5.64,7.55,8.47
001806,001806,3.34%,3.66%,3.78%,3.31,2.44,1.19
000714,000714,7.56%,5.97%,5.40%,1.09,0.92,0.76
001105,001105,20.00%,19.22%,20.08%,1.98,1.24,0.49
002050,002050,--,--,--,--,--,--
000597,000597,6.14%,5.77%,4.99%,1.89,1.82,1.64
001386,001386,0.10%,0.11%,0.16%,8.46,10.95,11.10
001693,001693,0.11%,0.15%,0.15%,9.75,11.73,14.03
000981,000981,0.10%,0.13%,0.16%,5.72,6.37,7.93
001369,001369,0.27%,0.32%,0.33%,5.94,5.87,6.15
001739,001739,11.26%,8.62%,7.40%,1.37,0.96,0.59
000082,000082,19.96%,19.58%,19.81%,2.00,1.46,0.84
000578,000578,13.62%,10.83%,9.31%,0.28,0.35,0.00
000128,000128,0.52%,0.43%,0.48%,2.33,3.23,3.87
001914,001914,11.16%,9.55%,9.04%,1.21,0.87,0.09
000606,000606,2.57%,2.02%,1.81%,0.16,0.94,1.37
000256,000256,6.39%,6.10%,5.56%,1.15,0.89,0.25
001017,001017,20.14%,20.43%,21.22%,1.92,1.40,0.65
001447,001447,7.52%,5.75%,5.02%,2.80,2.28,1.87
001152,001152,21.35%,21.85%,21.70%,2.64,1.50,0.78
000743,000743,18.63%,15.48%,15.96%,1.99,1.16,0.45
000313,000313,20.25%,20.19%,19.97%,1.65,1.18,0.69
000939,000939,22.43%,21.84%,22.75%,2.75,2.15,1.18
001781,001781,21.24%,20.92%,21.92%,2.17,1.35,0.58
000893,000893,16.31%,17.41%,19.61%,1.63,1.00,0.06
000190,000190,5.34%,5.38%,5.29%,2.82,2.06,1.74
000485,000485,0.11%,--,--,27.98,--,--
001294,001294,20.41%,21.92%,23.00%,2.75,1.48,0.34
001001,001001,7.20%,5.90%,5.02%,1.58,1.45,1.15
000240,000240,3.35%,2.76%,2.50%,2.14,2.59,2.18
001902,001902,11.59%,10.96%,9.96%,2.58,1.37,1.03
000305,000305,1.54%,1.40%,1.42%,1.29,2.30,2.44
000755,000755,29.58%,28.51%,29.34%,1.38,1.23,0.28
001144,001144,18.47%,18.87%,19.76%,2.47,1.73,0.98
000186,000186,2.19%,1.83%,1.83%,0.80,1.71,2.24
002011,002011,20.10%,18.46%,18.36%,1.55,1.21,0.40
001797,001797,5.25%,11.27%,12.96%,0.50,0.52,-0.25
001328,001328,8.36%,13.26%,14.26%,1.73,1.18,0.43
001282,001282,5.97%,5.27%,4.43%,2.03,2.13,1.75
000539,000539,0.09%,0.10%,0.14%,8.26,9.71,10.58
000493,000493,0.09%,0.11%,0.16%,8.32,9.53,10.44
000647,000647,0.09%,0.11%,0.14%,8.34,9.63,10.63
001955,001955,22.00%,22.83%,22.63%,1.75,1.65,1.04
000217,000217,16.78%,13.93%,12.07%,0.91,1.47,0.94
001056,001056,20.11%,18.53%,18.87%,1.70,1.24,0.45
001406,001406,5.15%,5.23%,4.77%,2.13,1.48,1.28
001113,001113,25.38%,25.07%,23.60%,1.85,0.87,0.15
001543,001543,25.11%,22.88%,24.42%,1.98,1.93,1.09
001810,001810,21.16%,21.45%,20.87%,1.38,0.78,0.48
000352,000352,2.15%,2.30%,2.03%,0.14,0.87,0.98
000978,000978,23.13%,23.66%,22.83%,1.29,0.76,0.20
000581,000581,0.09%,0.11%,0.14%,9.57,10.33,11.06
002046,002046,4.47%,3.51%,2.93%,2.48,1.87,1.53
000997,000997,3.27%,2.51%,2.49%,2.06,2.31,1.57
001685,001685,20.19%,20.86%,22.69%,1.69,0.67,0.29
001308,001308,0.11%,0.11%,0.16%,6.98,9.09,9.85
001758,001758,20.04%,19.93%,21.19%,2.18,1.61,0.52
000149,000149,3.08%,2.32%,2.16%,1.13,1.45,1.60
002031,002031,19.35%,17.67%,17.85%,1.96,1.49,0.89
000325,000325,0.10%,0.10%,0.16%,6.27,7.66,8.41
001867,001867,0.09%,0.09%,0.14%,4.90,6.85,8.05
001534,001534,28.10%,25.03%,24.08%,1.89,1.33,0.79
001164,001164,2.70%,2.34%,3.02%,2.39,1.96,1.54
001471,001471,24.11%,25.28%,23.94%,2.36,1.61,0.94
001021,001021,3.24%,2.71%,2.53%,0.13,0.98,1.07
001888,001888,23.33%,22.71%,22.23%,2.54,1.70,1.03
001922,001922,7.35%,6.38%,5.41%,2.62,2.15,1.69
001133,001133,22.28%,22.30%,21.55%,1.37,0.82,0.15
001563,001563,22.78%,21.80%,21.69%,1.81,1.40,0.89
000722,000722,0.11%,0.11%,0.15%,6.15,7.73,9.07
001830,001830,20.35%,21.99%,20.94%,2.82,1.87,1.27
000688,000688,19.22%,19.41%,19.40%,1.25,0.86,0.45
000372,000372,1.67%,1.47%,1.45%,1.09,2.15,2.28
000667,000667,3.27%,3.94%,3.74%,4.47,1.97,1.16
001975,001975,21.68%,21.82%,21.55%,2.35,1.81,1.04
001076,001076,22.47%,23.16%,24.37%,1.63,1.33,0.94
001426,001426,20.40%,20.40%,19.70%,1.46,0.96,0.36
001349,001349,20.64%,20.47%,21.47%,2.12,1.38,0.21
001719,001719,26.51%,25.13%,24.61%,1.33,1.34,0.59
000108,000108,--,--,--,--,--,--
001826,001826,0.10%,0.12%,0.16%,7.16,8.69,9.86
000734,000734,0.09%,0.10%,0.12%,5.57,7.29,8.42
001575,001575,3.44%,2.50%,2.10%,0.57,0.84,1.25
001125,001125,26.41%,25.13%,24.36%,1.98,1.61,0.70
001430,001430,18.30%,14.55%,12.03%,0.17,0.58,0.51
001060,001060,11.22%,17.54%,16.45%,2.43,1.28,0.91
000221,000221,2.06%,1.88%,2.46%,2.00,3.18,1.03
001963,001963,1.18%,1.51%,1.40%,2.09,1.01,1.55
002027,002027,2.57%,2.19%,2.16%,3.22,3.54,2.35
001488,001488,5.23%,3.97%,5.80%,2.33,1.41,0.53
001172,001172,4.29%,4.49%,4.32%,2.49,1.64,1.06
001522,001522,5.07%,5.26%,4.38%,2.69,2.33,2.08
000299,000299,1.79%,1.48%,1.38%,-0.05,1.09,1.11
001871,001871,0.10%,0.10%,0.15%,6.84,8.95,9.65
000763,000763,18.98%,14.73%,13.33%,2.13,1.96,1.35
000333,000333,10.77%,7.95%,6.53%,1.24,0.97,0.87
001934,001934,4.54%,3.65%,3.38%,0.04,-0.23,-0.24
000626,000626,0.11%,0.11%,0.15%,4.69,7.11,8.43
001037,001037,23.44%,23.98%,24.07%,2.31,1.55,0.52
001467,001467,10.62%,9.26%,8.18%,0.52,0.17,-0.27
000962,000962,21.12%,23.07%,22.28%,1.33,0.77,0.11
001220,001220,21.34%,19.86%,20.34%,2.40,1.77,0.82
000061,000061,26.76%,25.12%,25.09%,1.70,1.05,0.08
000431,000431,24.37%,23.68%,25.26%,2.66,1.78,1.15
000124,000124,27.44%,24.70%,23.91%,2.38,1.56,0.93
000574,000574,21.58%,20.36%,22.35%,2.29,1.92,0.83
001735,001735,28.58%,24.17%,23.17%,1.30,1.09,0.57
000827,000827,30.41%,27.19%,25.86%,1.22,1.15,0.68
001365,001365,23.32%,22.37%,23.34%,2.60,1.67,0.87
001559,001559,23.74%,24.18%,23.89%,2.66,1.87,1.13
000718,000718,--,--,--,--,--,--
000466,000466,5.09%,4.73%,4.24%,1.66,0.37,0.24
001277,001277,19.49%,19.96%,19.61%,1.28,0.68,0.22
000935,000935,20.52%,17.68%,16.81%,1.91,1.56,0.72
001332,001332,5.59%,7.62%,8.23%,1.87,1.47,0.75
001298,001298,25.86%,26.50%,25.80%,2.29,1.62,0.89
001762,001762,10.64%,8.84%,7.27%,0.52,0.27,0.51
000870,000870,23.71%,22.72%,23.23%,2.24,1.60,0.70
000523,000523,18.98%,20.86%,23.38%,2.93,1.88,1.13
000489,000489,1.50%,1.48%,1.33%,1.23,1.34,1.78
000173,000173,24.88%,22.40%,23.30%,1.60,1.20,0.75
001918,001918,2.89%,2.19%,1.93%,-0.82,0.33,0.75
000923,000923,0.11%,0.11%,0.16%,5.26,7.39,8.29
001631,001631,23.27%,23.50%,24.25%,2.18,1.69,1.20
000889,000889,1.93%,1.61%,2.40%,0.38,0.97,0.93
001261,001261,30.27%,25.02%,21.15%,1.00,0.57,0.30
000020,000020,19.33%,20.20%,21.05%,2.88,2.07,1.07
000470,000470,--,--,--,--,--,--
000165,000165,19.92%,16.21%,14.54%,2.31,1.84,1.30
000535,000535,30.63%,26.08%,23.79%,1.45,0.94,0.42
000866,000866,23.92%,22.88%,22.37%,2.28,1.36,0.62
001774,001774,--,--,--,--,--,--
001324,001324,3.94%,4.82%,4.66%,3.93,2.48,1.78
001148,001148,16.46%,12.40%,11.20%,1.96,1.31,1.19
001518,001518,26.62%,24.86%,25.84%,0.83,0.74,0.48
000759,000759,0.10%,0.11%,0.14%,10.76,11.93,12.29
000309,000309,24.97%,23.91%,23.53%,1.99,1.45,0.78
000077,000077,1.55%,1.43%,1.65%,0.85,2.12,2.02
001236,001236,22.61%,20.92%,21.15%,2.38,1.70,1.03
000974,000974,20.55%,19.71%,20.51%,1.52,0.91,0.44
001666,001666,0.09%,0.11%,0.16%,10.12,11.06,11.48
001373,001373,20.84%,21.42%,21.95%,2.08,1.51,0.95
000831,000831,24.60%,23.92%,23.51%,2.32,1.71,1.17
001723,001723,29.49%,25.94%,25.58%,0.99,0.71,-0.01
000562,000562,1.81%,1.41%,1.57%,0.44,1.12,1.17
001959,001959,28.94%,28.33%,27.93%,1.80,1.55,0.62
001958,001958,4.42%,3.82%,--,0.84,1.12,--
000076,000076,20.63%,20.63%,20.63%,1.02,1.02,1.02
001237,001237,18.46%,18.91%,19.28%,0.95,0.81,0.54
000975,000975,19.55%,19.48%,19.16%,1.39,1.06,0.50
001667,001667,18.41%,17.91%,19.73%,3.23,2.25,1.02
001688,001688,5.74%,4.43%,4.47%,2.63,1.74,1.09
000830,000830,0.11%,0.12%,0.16%,8.25,9.72,10.46
001722,001722,4.54%,3.43%,3.98%,2.02,1.74,1.03
000563,000563,1.93%,1.55%,1.55%,0.93,2.08,2.28
001149,001149,17.36%,18.37%,19.12%,1.19,0.96,0.67
000758,000758,0.09%,0.11%,0.16%,5.88,7.51,8.89
000308,000308,23.00%,20.75%,20.62%,1.74,1.67,0.80
000922,000922,0.10%,0.11%,0.16%,4.82,7.00,8.01
001630,001630,27.61%,31.20%,30.42%,1.02,0.86,0.43
000021,000021,24.04%,22.96%,22.64%,1.82,1.31,0.59
000471,000471,21.03%,20.60%,22.63%,2.17,1.59,0.21
000164,000164,--,--,--,--,--,--
000534,000534,28.84%,26.54%,24.61%,2.18,1.49,0.83
000867,000867,23.61%,22.98%,24.42%,2.00,1.38,0.88
001775,001775,1.00%,0.75%,2.13%,0.26,1.29,0.40
001325,001325,4.80%,4.19%,4.65%,2.19,1.79,1.22
001919,001919,2.91%,2.21%,2.03%,-0.81,0.27,0.91
000037,000037,0.10%,0.12%,0.14%,12.32,14.03,15.41
001276,001276,22.45%,20.89%,20.26%,2.01,1.39,0.71
001626,001626,19.18%,19.85%,20.59%,2.54,1.68,0.85
000934,000934,22.37%,22.13%,22.35%,2.19,1.33,0.85
001299,001299,1.60%,1.31%,1.36%,1.98,3.05,2.94
001763,001763,19.41%,19.02%,18.68%,2.00,1.18,0.54
000871,000871,0.11%,0.13%,0.16%,5.55,7.44,8.67
000522,000522,33.33%,30.66%,29.93%,1.83,1.48,0.69
