,0
0,000002
1,000012
2,000108
3,000114
4,000140
5,000154
6,000155
7,000157
8,000158
9,000159
10,000160
11,000161
12,000162
13,000164
14,000459
15,000470
16,000472
17,000514
18,000635
19,000718
20,000731
21,000795
22,000842
23,000858
24,001002
25,001151
26,001153
27,001472
28,001831
29,001853
30,002002
31,002012
32,002050
33,002253
34,002606
35,002613
36,002956
37,005190
38,006313
39,007498
40,041001
41,041002
42,041004
43,041005
44,041007
45,041008
46,041009
47,041011
48,051001
49,051010
50,051011
51,051014
52,051016
53,051106
54,051201
55,091001
56,091002
57,091003
58,091006
59,100017
60,100019
61,100021
62,100023
63,100027
64,100030
65,100033
66,100036
67,100052
68,100059
69,100067
70,128001
71,128002
72,128005
73,128006
74,128008
75,128012
76,160107
77,160120
78,160122
79,161006
80,161018
81,161020
82,161021
83,161215
84,161218
85,161220
86,161228
87,161602
88,161617
89,161653
90,161654
91,161655
92,161656
93,161657
94,161659
95,161660
96,161661
97,161662
98,161663
99,161707
100,162606
101,162713
102,163403
103,163408
104,163410
105,163413
106,163416
107,164903
108,180011
109,201001
110,201002
111,202004
112,202006
113,202008
114,202010
115,202012
116,202016
117,202018
118,202020
119,202022
120,202024
121,202026
122,202028
123,202106
124,202109
125,213907
126,213908
127,240015
128,257021
129,257031
130,257041
131,270011
132,270012
133,270015
134,270016
135,270017
136,270020
137,270036
138,398002
139,398012
140,400004
141,400008
142,400012
143,485205
144,511080
145,511081
146,519009
147,519010
148,519036
149,519067
150,519070
151,519071
152,519088
153,519182
154,519301
155,519681
156,519684
157,519687
158,519689
159,519691
160,519693
161,519695
162,519699
163,519701
164,519703
165,519705
166,519707
167,519713
168,519719
169,519724
170,519728
171,519734
172,519737
173,519739
174,519986
175,519990
176,519992
177,519994
178,519996
179,541001
180,541002
181,541004
182,551001
183,581002
184,860011
