,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,FAN BING(范冰),2017-03-25,无,"FAN BING(范冰)先生:商学硕士。曾任皇家加拿大银行托管部核算专员,美国道富集团MiddleOffice中台交易支持专员,巴克莱资产管理公司悉尼金融数据部高级金融数据分析员、悉尼金融数据部主管、新加坡金融数据部主管,贝莱德集团金融数据运营部部门经理、风险控制与咨询部客户经理、亚太股票指数基金部基金经理。现任易方达基金管理有限公司易方达黄金交易型开放式证券投资基金基金经理(自2017年3月25日起任职)、易方达黄金交易型开放式证券投资基金联接基金基金经理(自2017年3月25日起任职)、易方达标普500指数证券投资基金(LOF)基金经理(自2017年3月25日起任职)、易方达标普医疗保健指数证券投资基金(LOF)基金经理(自2017年3月25日起任职)、易方达标普生物科技指数证券投资基金(LOF)基金经理(自2017年3月25日起任职)、易方达标普信息科技指数证券投资基金(LOF)基金经理(自2017年3月25日起任职)、易方达原油证券投资基金(QDII)基金经理(自2017年3月25日起任职)、易方达中证海外中国互联网50交易型开放式指数证券投资基金基金经理(自2017年3月25日起任职)、易方达纳斯达克100指数证券投资基金(LOF)基金经理(自2017年6月27日起任职)、易方达MSCI中国A股国际通交易型开放式指数证券投资基金基金经理(自2018年5月17日起任职)、易方达中证海外中国互联网50交易型开放式指数证券投资基金联接基金基金经理(自2019年1月18日起任职)、易方达MSCI中国A股国际通交易型开放式指数证券投资基金发起式联接基金基金经理(自2019年3月13日起任职)、易方达日兴资管日经225交易型开放式指数证券投资基金(QDII)基金经理(自2019年6月12日起任职)。易方达中证香港证券投资主题交易型开放式指数证券投资基金基金经理(自2020年03月13日起任职)。2017年3月25日至2020年3月20日任易方达标普全球高端消费品指数增强型证券投资基金基金经理。",易方达中证香港证券投资ETF,513090,ETF-场内,2020-03-13,至今,212天,20.85%,26.54%,973|1446
1,,,,,易方达日经225ETF,513000,QDII-ETF,2019-06-12,至今,1年又122天,11.93%,-1.53%,3|31
2,,,,,易方达MSCI中国A股联接A,006704,联接基金,2019-03-13,至今,1年又213天,38.99%,46.10%,579|1083
3,,,,,易方达MSCI中国A股联接C,006705,联接基金,2019-03-13,至今,1年又213天,38.45%,46.10%,594|1083
4,,,,,易方达中证海外联接人民币A,006327,QDII-指数,2019-01-18,至今,1年又267天,54.34%,23.27%,50|230
5,,,,,易方达中证海外联接人民币C,006328,QDII-指数,2019-01-18,至今,1年又267天,52.59%,23.27%,53|230
6,,,,,易方达中证海外联接美元A,006329,QDII-指数,2019-01-18,至今,1年又267天,53.32%,23.27%,52|230
7,,,,,易方达中证海外联接美元C,006330,QDII-指数,2019-01-18,至今,1年又267天,51.62%,23.27%,54|230
8,,,,,易方达MSCI中国A股ETF,512090,ETF-场内,2018-05-17,至今,2年又148天,50.29%,41.82%,261|897
9,,,,,易方达标普消费品指数C,005676,QDII-指数,2018-02-09,2020-03-20,2年又40天,-16.33%,-5.04%,162|204
10,,,,,易方达纳斯达克100美元汇,003722,QDII-指数,2017-06-27,至今,3年又107天,83.81%,24.78%,21|182
11,,,,,易方达纳斯达克100人民币,161130,QDII-指数,2017-06-27,至今,3年又107天,84.74%,24.78%,20|182
12,,,,,易方达黄金ETF联接A,000307,联接基金,2017-03-25,至今,3年又201天,40.38%,60.23%,1152|1933
13,,,,,易方达标普消费品指数美元现汇A,000593,QDII-指数,2017-03-25,2020-03-20,2年又361天,-6.27%,-0.51%,133|175
14,,,,,易方达黄金ETF联接C,002963,联接基金,2017-03-25,至今,3年又201天,39.14%,60.23%,1182|1933
15,,,,,易方达原油C类人民币,003321,QDII,2017-03-25,至今,3年又201天,-46.96%,27.65%,168|172
16,,,,,易方达原油A类美元汇,003322,QDII,2017-03-25,至今,3年又201天,-45.18%,27.65%,165|172
17,,,,,易方达原油C类美元汇,003323,QDII,2017-03-25,至今,3年又201天,-46.53%,27.65%,167|172
18,,,,,易方达标普500指数美元汇,003718,QDII-指数,2017-03-25,至今,3年又201天,42.02%,27.65%,54|172
19,,,,,易方达标普医疗保健美元汇,003719,QDII-指数,2017-03-25,至今,3年又201天,38.71%,27.65%,58|172
20,,,,,易标普生物科技美元汇,003720,QDII-指数,2017-03-25,至今,3年又201天,47.52%,27.65%,44|172
21,,,,,易标普信息科技美元汇,003721,QDII-指数,2017-03-25,至今,3年又201天,114.43%,27.65%,1|172
22,,,,,易方达标普消费品指数A,118002,QDII-指数,2017-03-25,2020-03-20,2年又361天,-3.08%,-0.51%,115|175
23,,,,,易方达黄金ETF,159934,ETF-场内,2017-03-25,至今,3年又201天,41.35%,60.23%,1116|1933
24,,,,,易方达标普500指数人民币,161125,QDII-指数,2017-03-25,至今,3年又201天,40.78%,27.65%,55|172
25,,,,,易方达标普医疗保健人民币,161126,QDII-指数,2017-03-25,至今,3年又201天,37.52%,27.65%,59|172
26,,,,,易标普生物科技人民币,161127,QDII-指数,2017-03-25,至今,3年又201天,46.26%,27.65%,47|172
27,,,,,易标普信息科技人民币,161128,QDII-指数,2017-03-25,至今,3年又201天,112.51%,27.65%,2|172
28,,,,,易方达原油A类人民币,161129,QDII,2017-03-25,至今,3年又201天,-45.66%,27.65%,166|172
29,,,,,易方达中概互联50ETF,513050,QDII-ETF,2017-03-25,至今,3年又201天,82.72%,27.65%,24|172
