,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,毛从容,2014-01-16,无,"毛从容女士:武汉大学经济学学士、华中理工大学经济学硕士。曾任职于交通银行、长城证券金融研究所,着重于宏观和债券市场的研究,并担任金融研究所债券业务小组组长;2003年3月加入景顺长城基金管理有限公司,担任研究部研究员,景系列基金基金经理(分管景系列基金下设之景顺长城货币市场证券投资基金和景顺长城动力平衡证券投资基金),投资副总监。现任景顺长城基金管理有限公司副总经理兼固定收益部基金经理。2005年6月至2014年1月管理景顺长城动力平衡证券投资基金;2013年11月至2014年12月管理景顺长城景益货币市场基金;2014年3月至2015年4月管理景顺长城鑫月薪定期支付债券型证券投资基金;2014年9月至2016年4月管理景顺长城景丰货币市场基金;2015年4月至2016年4月管理景顺长城稳健回报灵活配置混合型证券投资基金;2005年6月至2016年4月管理景顺长城货币市场证券投资基金;2015年3月至2016年4月管理景顺长城中国回报灵活配置混合型证券投资基金;2015年5月至2016年6月管理景顺长城领先回报灵活配置混合型证券投资基金;2015年6月至2016年8月管理景顺长城安享回报灵活配置混合型证券投资基金;2015年8月至2016年10月管理景顺长城泰和回报灵活配置混合型证券投资基金;2016年1月至2017年3月管理景顺长城景盛双息收益债券型证券投资基金;2015年9月至2018年12月管理景顺长城景颐增利债券型证券投资基金;2016年10月至2018年12月管理景顺长城景颐盛利债券型证券投资基金;2015年11月至2019年5月管理景顺长城景颐宏利债券型证券投资基金;2016年12月至2019年8月管理景顺长城顺益回报混合型证券投资基金;2017年1月至2019年8月管理景顺长城景颐丰利债券型证券投资基金。兼任景顺长城景颐双利债券型证券投资基金基金经理。2020年5月29日担任景顺长城景颐嘉利6个月持有期债券型证券投资基金基金经理。2017年3月21日至2020年5月29日担任景顺长城景泰丰利纯债债券型证券投资基金基金经理。",景顺长城顺鑫回报混合A,010211,混合型,2020-09-29,至今,12天,0.04%,2.15%,3659|3739
1,,,,,景顺长城顺鑫回报混合C,010212,混合型,2020-09-29,至今,12天,0.03%,2.15%,3667|3739
2,,,,,景顺长城景泰宝利一年定开债,009685,定开债券,2020-07-25,至今,78天,,,-|-
3,,,,,景顺景颐嘉利6个月持有期债券A,008999,债券型,2020-05-29,至今,135天,1.38%,0.96%,513|2329
4,,,,,景顺景颐嘉利6个月持有期债券C,009000,债券型,2020-05-29,至今,135天,1.24%,0.96%,531|2329
5,,,,,景顺长城景泰丰利纯债A,003407,债券型,2017-03-21,2020-05-29,3年又70天,28.95%,15.43%,27|1006
6,,,,,景顺长城景泰丰利纯债C,003408,债券型,2017-03-21,2020-05-29,3年又70天,27.36%,15.43%,37|1006
7,,,,,景顺长城景颐丰利债券A,003504,债券型,2017-01-18,2019-08-30,2年又224天,11.27%,10.29%,409|898
8,,,,,景顺长城景颐丰利债券C,003505,债券型,2017-01-18,2019-08-30,2年又224天,10.91%,10.29%,457|898
9,,,,,景顺长城顺益回报混合A,002792,混合型,2016-12-07,2019-08-30,2年又266天,15.79%,12.58%,690|1729
10,,,,,景顺长城顺益回报混合C,002793,混合型,2016-12-07,2019-08-30,2年又266天,14.42%,12.58%,748|1729
11,,,,,景顺长城景颐盛利债券A,003409,债券型,2016-10-13,2018-09-21,1年又343天,15.80%,1.94%,8|772
12,,,,,景顺景颐盛利C,003410,债券型,2016-10-13,2018-09-21,1年又343天,8.35%,1.94%,31|772
13,,,,,景顺长城景盛双息收益债券A,002065,债券型,2016-01-26,2017-03-20,1年又54天,2.20%,1.62%,248|639
14,,,,,景顺长城景盛双息收益债券C,002066,债券型,2016-01-26,2017-03-20,1年又54天,1.70%,1.62%,310|639
15,,,,,景顺长城景颐宏利债券A,001920,债券型,2015-11-30,2019-05-16,3年又168天,13.40%,8.47%,175|542
16,,,,,景顺长城景颐宏利债券C,001921,债券型,2015-11-30,2019-05-16,3年又168天,9.10%,8.47%,319|542
17,,,,,景顺长城泰和回报混合C,001507,混合型,2015-11-19,2016-10-24,340天,3.75%,-3.86%,341|1240
18,,,,,景顺长城景颐增利债券A,001854,债券型,2015-09-21,2018-10-17,3年又27天,-2.90%,5.93%,468|537
19,,,,,景顺长城景颐增利债券C,001855,债券型,2015-09-21,2018-10-17,3年又27天,-4.20%,5.93%,480|537
20,,,,,景顺长城泰和回报混合A,001506,混合型,2015-08-20,2016-10-24,1年又66天,5.30%,0.93%,383|1112
21,,,,,景顺长城安享回报混合A,001422,混合型,2015-06-15,2016-08-01,1年又48天,5.00%,-23.38%,103|991
22,,,,,景顺长城安享回报混合C,001423,混合型,2015-06-15,2016-08-01,1年又48天,4.20%,-23.38%,130|991
23,,,,,景顺长城稳健回报混合C,001407,混合型,2015-06-08,2016-04-19,316天,2.55%,-23.83%,137|960
24,,,,,景顺长城领先回报混合C,001379,混合型,2015-06-01,2016-06-17,1年又17天,18.30%,-24.00%,6|941
25,,,,,景顺长城领先回报混合A,001362,混合型,2015-05-25,2016-06-17,1年又24天,3.40%,-21.95%,135|927
26,,,,,景顺长城稳健回报混合A,001194,混合型,2015-04-10,2016-04-19,1年又10天,5.20%,-8.20%,159|846
27,,,,,景顺长城中国回报灵活配置混合,000772,混合型,2015-03-28,2016-04-25,1年又29天,5.70%,-4.90%,191|810
28,,,,,景顺长城景丰货币A,000701,货币型,2014-09-16,2016-04-19,1年又216天,5.52%,5.65%,187|256
29,,,,,景顺长城景丰货币B,000707,货币型,2014-09-16,2016-04-19,1年又216天,5.91%,5.65%,112|256
30,,,,,景顺长城鑫月薪定期支付债券,000465,定开债券,2014-03-20,2015-04-02,1年又13天,5.70%,15.25%,54|54
31,,,,,景顺长城景颐双利债券A,000385,债券型,2014-01-16,至今,6年又270天,65.71%,60.66%,134|416
32,,,,,景顺长城景颐双利债券C,000386,债券型,2014-01-16,至今,6年又270天,61.45%,60.66%,158|416
33,,,,,景顺长城景益货币A,000380,货币型,2013-11-26,2014-12-26,1年又30天,4.60%,4.95%,125|153
34,,,,,景顺长城景益货币B,000381,货币型,2013-11-26,2014-12-26,1年又30天,4.87%,4.95%,100|153
35,,,,,景顺货币B,260202,货币型,2010-04-30,2016-04-25,5年又362天,21.17%,24.08%,56|61
36,,,,,景顺长城优选混合,260101,混合型,2005-06-01,2009-08-07,4年又68天,227.50%,310.16%,68|82
37,,,,,景顺货币A,260102,货币型,2005-06-01,2016-04-25,10年又331天,32.86%,38.70%,26|28
38,,,,,景顺长城动力平衡混合,260103,混合型,2005-06-01,2014-01-15,8年又230天,191.10%,317.94%,68|82
39,万梦,2019-11-02,无,"万梦女士:工学硕士。曾任职于壳牌(中国)有限公司。2011年9月加入景顺长城基金管理有限公司,先后担任研究部行业研究员、固定收益部研究员和基金经理助理职务;自2015年7月起担任基金经理。2019年11月2日担任景顺长城景颐双利债券型证券投资基金基金经理。2017年4月1日至2019年11月1日任景顺长城公司治理混合型证券投资基金的基金经理。2019年11月2日担任景顺长城景颐双利债券型证券投资基金的基金经理。2020年3月18日担任景顺长城泰申回报混合型证券投资基金基金经理。2015年9月30日至2020年5月14日任景顺长城基金管理有限公司关于景顺长城泰和回报灵活配置混合型证券投资基金基金经理。2019年5月17日至2020年6月5日担任景顺长城景颐宏利债券型证券投资基金基金经理。",景顺景颐招利6个月持有期债券A,010011,债券型,2020-09-29,至今,12天,0.01%,0.23%,2147|2515
40,,,,,景顺景颐招利6个月持有期债券C,010012,债券型,2020-09-29,至今,12天,0.00%,0.23%,2198|2515
41,,,,,景顺长城泰申回报混合,008479,混合型,2020-03-18,至今,207天,4.11%,33.04%,3087|3222
42,,,,,景顺长城景颐双利债券A,000385,债券型,2019-11-02,至今,344天,5.93%,4.98%,418|1895
43,,,,,景顺长城景颐双利债券C,000386,债券型,2019-11-02,至今,344天,5.57%,4.98%,443|1895
44,,,,,景顺长城景颐宏利债券A,001920,债券型,2019-05-17,2020-06-05,1年又20天,6.65%,5.71%,364|1719
45,,,,,景顺长城景颐宏利债券C,001921,债券型,2019-05-17,2020-06-05,1年又20天,6.27%,5.71%,407|1719
46,,,,,景顺长城顺益回报混合A,002792,混合型,2018-05-30,至今,2年又135天,22.27%,51.11%,1999|2513
47,,,,,景顺长城顺益回报混合C,002793,混合型,2018-05-30,至今,2年又135天,21.14%,51.11%,2049|2513
48,,,,,景顺长城泰恒回报混合A,005325,混合型,2018-01-25,2019-01-24,364天,-15.29%,-14.68%,1057|2359
