,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,乔培涛,2017-10-09,无,"乔培涛先生:硕士,曾任长城证券研究员、行业研究部经理。2011年8月加入长盛基金管理有限公司,现任研究部执行总监,长盛同益成长回报灵活配置混合型证券投资基金(LOF)基金经理,长盛国企改革主题灵活配置混合型证券投资基金基金经理,长盛航天海工装备灵活配置混合型证券投资基金基金经理,长盛高端装备制造灵活配置混合型证券投资基金基金经理,长盛生态环境主题灵活配置混合型证券投资基金基金经理,长盛养老健康产业灵活配置混合型证券投资基金基金经理。2017年10月23日至2020年4月21日担任长盛动态精选证券投资基金基金经理。2019年5月22日至2020年9月11任长盛同智优势成长混合型证券投资基金(LOF)基金经理。",长盛同享灵活配置A,002789,混合型,2020-05-18,至今,146天,26.79%,21.29%,1206|3350
1,,,,,长盛同享灵活配置C,002790,混合型,2020-05-18,至今,146天,26.64%,21.29%,1225|3350
2,,,,,长盛同益成长回报(LOF),160812,混合型,2020-05-18,至今,146天,28.08%,21.29%,1055|3350
3,,,,,长盛同智优势混合(LOF),160805,混合型,2019-05-22,2020-09-11,1年又113天,50.11%,51.56%,1334|2919
4,,,,,长盛生态环境混合,000598,混合型,2018-05-21,2019-09-17,1年又119天,6.84%,5.33%,1029|2522
5,,,,,长盛养老健康产业灵活配置混合,000684,混合型,2018-05-21,2019-09-17,1年又119天,-6.13%,5.33%,2175|2522
6,,,,,长盛高端装备混合,000534,混合型,2017-10-23,至今,2年又354天,73.26%,48.27%,458|2169
7,,,,,长盛动态精选混合,510081,混合型,2017-10-23,2020-04-21,2年又181天,11.02%,17.69%,1340|2172
8,,,,,长盛航天海工装备灵活配置混合,000535,混合型,2017-10-09,至今,3年又3天,27.95%,49.53%,1482|2167
9,,,,,长盛国企改革混合,001239,混合型,2017-10-09,至今,3年又3天,22.25%,49.53%,1701|2167
10,,,,,长盛创新驱动灵活配置混合,004745,混合型,2017-10-09,2018-12-06,1年又58天,-23.23%,-10.72%,1852|2238
11,,,,,长盛城镇化主题混合,000354,混合型,2017-04-11,2018-09-14,1年又156天,-26.40%,-4.31%,1962|2061
12,,,,,长盛同益成长回报(LOF),160812,混合型,2017-03-17,2019-05-23,2年又67天,-12.91%,3.29%,1701|2010
13,,,,,长盛同鑫行业配置混合,080007,混合型,2016-08-24,2017-10-09,1年又46天,9.01%,7.53%,596|1680
