,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,代宇,2013-08-21,无,"代宇女士:金融学硕士,持有中国证券投资基金业从业证书。曾任广发基金管理有限公司固定收益部研究员、投资经理、固定收益部副总经理、广发聚利债券型证券投资基金基金经理(自2011年8月5日至2014年8月4日)、广发聚鑫债券型证券投资基金基金经理(自2013年6月5日至2015年7月24日)、广发新常态灵活配置混合型证券投资基金基金经理(自2016年12月13日至2018年1月11日)、广发安心回报混合型证券投资基金基金经理(自2015年5月14日至2018年1月12日)、广发聚惠灵活配置混合型证券投资基金基金经理(自2015年4月15日至2018年3月14日)、广发汇瑞一年定期开放债券型证券投资基金基金经理(自2016年11月28日至2018年6月12日)、广发安泽回报纯债债券型证券投资基金基金经理(自2017年2月8日至2018年10月29日)、广发量化稳健混合型证券投资基金基金经理(自2017年8月4日至2018年11月30日)、广发安瑞回报灵活配置混合型证券投资基金基金经理(自2016年7月26日至2019年1月18日)、广发汇祥一年定期开放债券型证券投资基金基金经理(自2017年6月27日至2019年1月18日)、广发安泰回报混合型证券投资基金基金经理(自2015年5月14日至2019年1月22日)、广发安祥回报灵活配置混合型证券投资基金基金经理(自2016年8月19日至2019年1月22日)、广发汇瑞3个月定期开放债券型发起式证券投资基金基金经理(自2018年6月13日至2019年4月10日)、广发安泽短债债券型证券投资基金基金经理(自2018年10月30日至2019年4月10日)。现任广发基金管理有限公司债券投资部副总经理、广发聚财信用债券型证券投资基金基金经理(自2012年3月13日起任职)、广发集利一年定期开放债券型证券投资基金基金经理(自2013年8月21日起任职)、广发聚利债券型证券投资基金(LOF)基金经理(自2014年8月5日起任职)、广发成长优选灵活配置混合型证券投资基金基金经理(自2015年2月17日起任职)、广发双债添利债券型证券投资基金基金经理(自2015年5月27日起任职)、广发集丰债券型证券投资基金基金经理(自2016年11月9日至2019年10月29日)、广发汇平一年定期开放债券型证券投资基金基金经理(自2017年1月6日起任职)、广发汇富一年定期开放债券型证券投资基金基金经理(自2017年2月13日起任职)、广发汇安18个月定期开放债券型证券投资基金基金经理(自2017年3月31日起任职)、曾任广发上证10年期国债交易型开放式指数证券投资基金基金经理(自2018年3月26日至2019年10月29日任职)、广发汇誉3个月定期开放债券型发起式证券投资基金基金经理(自2018年6月20日起任职)、广发景秀纯债债券型证券投资基金基金经理(自2019年3月21日起任职)、广发汇吉3个月定期开放债券型发起式证券投资基金基金经理(自2019年4月10日起任职)、广发景利纯债债券型证券投资基金基金经理(自2019年7月24日起任职)、广发政策性金融债债券型证券投资基金基金经理(自2019年8月14日起任职)。2019年10月24日任职广发景富纯债债券型证券投资基金基金经理。2019年11月20日担任广发景安纯债债券型证券投资基金基金经理。2019年11月21日起担任广发汇阳三个月定期开放债券型发起式证券投资基金基金经理。2019年12月4日任职广发景辉纯债债券型证券投资基金基金经理。",广发双债添利债券E,009267,债券型,2020-04-10,至今,184天,-1.21%,0.76%,1575|2200
1,,,,,广发景辉纯债,007396,债券型,2019-12-04,至今,312天,2.34%,4.56%,1118|1947
2,,,,,广发汇阳三个月定期开放债券,007256,定开债券,2019-11-21,至今,325天,2.80%,3.12%,147|297
3,,,,,广发景富纯债,007778,债券型,2019-10-24,至今,353天,2.69%,5.02%,1118|1887
4,,,,,广发政策性金融债,006869,债券型,2019-08-14,至今,1年又59天,3.51%,5.93%,853|1785
5,,,,,广发景利纯债,006970,债券型,2019-07-24,至今,1年又80天,3.53%,6.47%,1057|1756
6,,,,,广发聚利债券(LOF)C,007235,债券型,2019-04-19,至今,1年又176天,7.46%,7.16%,436|1663
7,,,,,广发汇吉3个月定开债,005234,定开债券,2019-04-10,至今,1年又185天,3.40%,5.70%,209|224
8,,,,,广发景秀纯债债券,006670,债券型,2019-03-21,至今,1年又205天,5.35%,7.51%,790|1570
9,,,,,广发汇誉3个月定开债,005917,定开债券,2018-06-20,至今,2年又114天,8.09%,11.69%,158|182
10,,,,,广发上证10年期国债ETF,511290,ETF-场内,2018-03-26,2019-10-29,1年又217天,3.93%,8.09%,1056|1200
11,,,,,广发量化稳健混合,004023,混合型,2017-08-04,2018-08-16,1年又12天,2.46%,-2.79%,670|2330
12,,,,,广发汇祥一年定期债券A,004754,定开债券,2017-06-27,2018-09-05,1年又70天,4.32%,4.42%,82|137
13,,,,,广发汇祥一年定期债券C,004755,定开债券,2017-06-27,2018-09-05,1年又70天,7.21%,4.42%,5|137
14,,,,,广发汇安18个月定开债A,004386,定开债券,2017-03-31,至今,3年又195天,18.53%,16.34%,78|285
