,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,温秀娟,2013-06-20,无,"温秀娟女士:中国籍,经济学学士,持有中国证券投资基金业从业证书,2000年7月至2004年10月任职于广发证券股份有限公司江门营业部,2004年10月至2008年8月在广发证券股份有限公司固定收益部工作,2008年8月11日至今在广发基金管理有限公司固定收益部工作,广发理财7天债券型证券投资基金基金经理(自2013年6月20日至2020年4月21日)。现任广发基金管理有限公司现金投资部总经理、广发货币市场基金基金经理(自2010年4月29日起任职)、广发理财30天债券型证券投资基金基金经理(自2013年1月14日至2020年9月25日)、广发现金宝场内实时申赎货币市场基金基金经理(自2013年12月2日起任职)、广发活期宝货币市场基金基金经理(自2014年8月28日起任职)、广发添利交易型货币市场基金基金经理(自2016年11月22日起任职)、广发天天红发起式货币市场基金基金经理(自2017年10月31日起任职)、广发景宁纯债债券型证券投资基金基金经理(自2020年4月22日起任职)。",广发天天红货币A,000389,货币型,2017-10-31,至今,2年又346天,8.77%,8.57%,289|634
1,,,,,广发天天红货币B,002183,货币型,2017-10-31,至今,2年又346天,9.54%,8.57%,61|634
2,,,,,广发添利货币ETFB,005107,货币型,2017-08-22,至今,3年又51天,8.85%,9.34%,461|617
3,,,,,广发货币C,005092,货币型,2017-08-16,至今,3年又57天,9.25%,9.45%,389|604
4,,,,,广发添利货币ETFA,511950,货币型,2016-11-22,至今,3年又324天,9.93%,12.24%,468|476
5,,,,,广发活期宝货币B,003281,货币型,2016-09-02,至今,4年又40天,14.82%,12.85%,9|436
6,,,,,广发货币E,511920,货币型,2016-03-14,至今,4年又212天,13.22%,14.16%,314|386
7,,,,,广发活期宝货币A,000748,货币型,2014-08-28,至今,6年又46天,21.43%,20.65%,87|236
8,,,,,广发现金宝场内货币A,519858,货币型,2013-12-02,至今,6年又315天,22.08%,24.48%,137|153
9,,,,,广发现金宝场内货币B,519859,货币型,2013-12-02,至今,6年又315天,27.30%,24.48%,11|153
10,,,,,广发景宁债券,000037,债券型,2013-06-20,至今,7年又115天,0.06%,0.38%,1133|2177
11,,,,,广发景荣纯债,270046,债券型,2013-01-14,2020-09-25,7年又256天,-0.05%,0.00%,1|2532
12,,,,,广发理财30天债券B,270047,理财型,2013-01-14,2020-09-24,7年又255天,35.90%,33.37%,3|13
13,,,,,广发货币A,270004,货币型,2010-04-29,至今,10年又168天,42.65%,40.78%,18|60
14,,,,,广发货币B,270014,货币型,2010-04-29,至今,10年又168天,46.27%,40.78%,2|60
15,任爽,2013-06-20,无,"任爽女士:中国籍,经济学硕士,持有中国证券投资基金业从业证书,2008年7月至今在广发基金管理有限公司固定收益部兼任交易员和研究员,2012年12月12日起任广发纯债债券基金的基金经理,2013年6月20日起任广发理财7天债券基金的基金经理,2013年10月22日起任广发天天红发起式货币市场基金的基金经理,2014年1月27日起任广发天天利货币市场基金的基金经理,2014年5月30日起任广发钱袋子货币市场基金的基金经理,2014年8月28日起任广发活期宝货币市场基金的基金经理,2015年6月8日至2020年7月1日任广发聚泰混合基金的基金经理,2016年3月21日起任广发稳鑫保本基金的基金经理,2016年11月16日至2019年10月29日担任广发鑫益混合基金经理,2016年11月16日担任广发鑫惠混合基金的基金经理。2016年12月9日至2020年5月28日起担任广发安盈灵活配置混合型证券投资基金基金经理。",广发钱袋子货币E,004796,货币型,2017-07-10,至今,3年又94天,10.11%,9.89%,254|583
16,,,,,广发安盈混合A,002118,混合型,2016-12-09,2020-05-28,3年又171天,12.60%,31.60%,1431|1820
17,,,,,广发安盈混合C,002119,混合型,2016-12-09,2020-05-28,3年又171天,12.20%,31.60%,1447|1820
18,,,,,广发鑫利混合,002129,混合型,2016-12-02,2018-07-31,1年又241天,18.87%,2.80%,151|1907
19,,,,,广发鑫惠纯债定开,002128,定开债券,2016-11-16,至今,3年又330天,16.79%,15.75%,37|105
20,,,,,广发鑫益混合,002133,混合型,2016-11-16,2019-10-29,2年又347天,14.70%,14.99%,802|1668
21,,,,,广发活期宝货币B,003281,货币型,2016-09-02,至今,4年又40天,14.82%,12.85%,9|436
22,,,,,广发利鑫灵活配置混合,002446,混合型,2016-03-21,2019-10-29,3年又222天,29.20%,22.25%,428|1331
23,,,,,广发天天红货币B,002183,货币型,2015-12-15,至今,4年又302天,16.35%,14.96%,38|370
24,,,,,广发聚泰混合A,001355,混合型,2015-06-08,2020-07-01,5年又25天,47.30%,15.89%,149|927
25,,,,,广发聚泰混合C,001356,混合型,2015-06-08,2020-07-01,5年又25天,24.37%,15.89%,372|927
26,,,,,广发天天利货币E,001134,货币型,2015-03-23,至今,5年又204天,17.69%,17.73%,164|307
27,,,,,广发活期宝货币A,000748,货币型,2014-08-28,至今,6年又46天,21.43%,20.65%,87|236
28,,,,,广发钱袋子货币A,000509,货币型,2014-05-30,至今,6年又136天,23.55%,21.89%,34|197
29,,,,,广发天天利货币A,000475,货币型,2014-01-27,至今,6年又259天,23.29%,23.60%,103|172
30,,,,,广发天天利货币B,000476,货币型,2014-01-27,至今,6年又259天,25.27%,23.60%,33|172
31,,,,,广发天天红货币A,000389,货币型,2013-10-22,至今,6年又356天,26.85%,25.10%,28|142
32,,,,,广发景宁债券,000037,债券型,2013-06-20,至今,7年又115天,0.06%,0.38%,1133|2177
33,,,,,广发纯债债券A,270048,债券型,2012-12-12,2019-01-08,6年又28天,41.61%,44.94%,140|282
34,,,,,广发纯债债券C,270049,债券型,2012-12-12,2019-01-08,6年又28天,39.74%,44.94%,155|282
