,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,何俊春,2013-07-17,无,"何俊春女士:工商管理硕士。曾任职于上海鸿安投资咨询有限公司、齐鲁证券有限公司。2002年12月加入泰信基金管理有限公司,先后担任泰信天天收益基金交易员、交易主管,泰信天天收益基金经理。自2008年10月10日至2020年9月17日担任泰信双息双利债券基金基金经理;自2009年7月起担任泰信债券增强收益基金基金经理;自2012年10月起担任泰信债券周期回报基金基金经理。自2013年7月17日起担任泰信鑫益定期开放债券基金的基金经理。自2016年10月11日起担任泰信天天收益货币基金经理。现同时担任投资部固定收益投资总监。",泰信鑫利混合A,004227,混合型,2017-05-25,至今,3年又140天,15.06%,63.53%,1883|2005
1,,,,,泰信鑫利混合C,004228,混合型,2017-05-25,至今,3年又140天,13.62%,63.53%,1899|2005
2,,,,,泰信天天收益货币B,002234,货币型,2016-10-11,至今,4年又1天,12.25%,12.56%,285|446
3,,,,,泰信天天收益货币E,002235,货币型,2016-10-11,至今,4年又1天,11.10%,12.56%,412|446
4,,,,,泰信天天收益货币A,290001,货币型,2016-10-11,至今,4年又1天,11.17%,12.56%,406|446
5,,,,,泰信鑫益定期开放A,000212,定开债券,2013-07-17,至今,7年又88天,39.42%,49.31%,20|24
6,,,,,泰信鑫益定期开放C,000213,定开债券,2013-07-17,至今,7年又88天,35.31%,49.31%,23|24
7,,,,,泰信周期回报债券,290009,债券型,2012-10-25,至今,7年又353天,45.03%,68.75%,210|261
8,,,,,泰信债券增强收益A,290007,债券型,2009-07-29,至今,11年又77天,50.92%,80.98%,90|105
9,,,,,泰信债券增强收益C,291007,债券型,2009-07-29,至今,11年又77天,44.54%,80.98%,98|105
10,,,,,泰信双息双利债券,290003,债券型,2008-10-10,2020-09-17,11年又345天,55.49%,96.83%,58|63
11,,,,,泰信天天收益货币A,290001,货币型,2007-02-09,2009-04-18,2年又69天,6.67%,7.22%,37|49
