,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,何天翔,2017-01-24,无,"何天翔先生:中国国籍,厦门大学经济学硕士、安徽大学理学学士,具有基金从业资格。2008年7月至2010年3月就职于华泰联合证券有限责任公司任金融工程分析师。2010年3月加入融通基金管理有限公司,历任金融工程研究员、专户投资经理、融通中证大农业指数证券投资基金(LOF)基金经理(2016年7月29日至2018年1月5日)、融通国企改革新机遇灵活配置混合型证券投资基金基金经理(2016年9月23日至2018年8月4日),现任指数与量化投资部副总监、融通深证100指数证券投资基金基金经理(2014年10月25日起至今)、融通中证军工指数分级证券投资基金基金经理(2015年7月1日起至今)、融通中证全指证券公司指数分级证券投资基金基金经理(2015年7月17日起至今)、融通新趋势灵活配置混合型证券投资基金基金经理(2016年8月17日起至今)、融通通瑞债券型证券投资基金基金经理(2017年1月24日起至今)、融通中证人工智能主题指数证券投资基金(LOF)基金经理(2017年4月10日起至今)。融通创业板交易型开放式指数证券投资基金基金经理(2020年08月05日至今)。",融通创业板ETF,159808,ETF-场内,2020-08-05,至今,67天,0.23%,-2.41%,371|1594
1,,,,,融通人工智能指数(LOF)C,009239,股票指数,2020-04-01,至今,193天,23.25%,34.23%,1176|1448
2,,,,,融通深证100指数C,004876,股票指数,2017-07-05,至今,3年又99天,45.20%,48.29%,313|707
3,,,,,融通人工智能指数(LOF)A,161631,股票指数,2017-04-10,至今,3年又185天,50.86%,50.22%,277|667
4,,,,,融通通瑞债券A/B,000466,债券型,2017-01-24,至今,3年又261天,11.15%,17.37%,754|903
5,,,,,融通通瑞债券C,000859,债券型,2017-01-24,至今,3年又261天,9.42%,17.37%,815|903
6,,,,,融通通慧混合A/B,002612,混合型,2016-09-23,2018-08-04,1年又315天,-3.20%,0.09%,1099|1776
7,,,,,融通新趋势灵活配置混合,002955,混合型,2016-08-17,至今,4年又56天,79.80%,63.14%,463|1548
8,,,,,融通证券分级A,150343,固定收益,2015-07-17,至今,5年又88天,32.80%,5.78%,33|172
9,,,,,融通证券分级B,150344,分级杠杆,2015-07-17,至今,5年又88天,-79.90%,5.78%,154|172
10,,,,,融通证券分级,161629,股票指数,2015-07-17,至今,5年又88天,-9.60%,35.35%,407|471
11,,,,,融通军工分级A,150335,固定收益,2015-07-01,至今,5年又104天,33.02%,1.32%,32|152
12,,,,,融通军工分级B,150336,分级杠杆,2015-07-01,至今,5年又104天,-65.38%,1.32%,113|152
13,,,,,融通军工分级,161628,股票指数,2015-07-01,至今,5年又104天,-12.37%,30.90%,354|415
14,,,,,融通深证100指数A,161604,股票指数,2014-10-25,至今,5年又353天,121.16%,118.73%,110|259
