,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,何如,2016-01-05,无,"何如女士:硕士研究生,具有基金从业资格,加拿大籍。曾任职于IA克莱灵顿投资管理公司(IA-ClaringtonInvestmentsInc)、富兰克林坦普顿投资管理公司(FranklinTempletonInvestmentsCorp.)。2007年6月加入嘉实基金管理有限公司,先后任职于产品管理部、指数投资部,现任指数投资部副总监、基金经理。2014年5月9日至2016年3月24日任中创400交易型开放式指数证券投资基金基金经理、2014年5月9日至2016年3月24日任嘉实中创400交易型开放式指数证券投资基金联接基金基金经理、2014年6月13日至2019年9月28日任嘉实中证医药卫生交易型开放式指数证券投资基金基金经理、2014年6月13日至2019年9月28日任嘉实中证主要消费交易型开放式指数证券投资基金基金经理、2014年6月20日至2019年9月28日任嘉实中证金融地产交易型开放式指数证券投资基金基金经理、2015年8月6日至2019年9月28日任嘉实中证金融地产交易型开放式指数证券投资基金联接基金基金经理、2016年1月5日至2017年12月26日任嘉实深证基本面120交易型开放式指数证券投资基金联接基金基金经理、2016年1月5日至2017年12月26日任深证基本面120交易型开放式指数证券投资基金基金经理、2016年1月5日至2019年9月28日任嘉实黄金证券投资基金(LOF)基金经理、2017年6月29日至2019年3月30日任嘉实富时中国A50交易型开放式指数证券投资基金联接基金基金经理、2017年7月3日至2019年3月30日任嘉实富时中国A50交易型开放式指数证券投资基金基金经理、2017年7月14日至2019年4月2日任嘉实创业板交易型开放式指数证券投资基金基金经理。2016年1月5日至今任嘉实沪深300交易型开放式指数证券投资基金联接基金(LOF)基金经理、2016年1月5日至今任嘉实中证500交易型开放式指数证券投资基金联接基金基金经理、2016年1月5日至今任嘉实中证锐联基本面50指数证券投资基金(LOF)基金经理、2016年1月5日至今任嘉实中证500交易型开放式指数证券投资基金基金经理、2016年1月5日至今任嘉实恒生中国企业指数证券投资基金(QDII-LOF)基金经理、2016年1月5日至今任嘉实沪深300交易型开放式指数证券投资基金基金经理、2019年5月23日至今任嘉实中证锐联基本面50交易型开放式指数证券投资基金基金经理、2019年8月8日至今任嘉实沪深300红利低波动交易型开放式指数证券投资基金基金经理。2019年12月9日至今任嘉实沪深300红利低波动交易型开放式指数证券投资基金联接基金基金经理。2020年3月16日任职嘉实中证500成长估值交易型开放式指数证券投资基金基金经理。",嘉实中证500成长估值ETF,515510,ETF-场内,2020-03-16,至今,209天,35.20%,32.35%,546|1425
1,,,,,嘉实沪深300红利低波动ETF联接A,007605,联接基金,2019-12-09,至今,307天,1.43%,35.35%,1221|1286
2,,,,,嘉实沪深300红利低波动ETF联接C,007606,联接基金,2019-12-09,至今,307天,1.08%,35.35%,1222|1286
3,,,,,嘉实沪深300红利低波动ETF,515300,ETF-场内,2019-08-08,至今,1年又65天,5.44%,48.77%,1143|1203
4,,,,,嘉实中证锐联基本面ETF,512750,ETF-场内,2019-05-23,至今,1年又142天,5.56%,54.40%,1080|1139
5,,,,,嘉实中证500ETF联接C,070039,联接基金,2018-09-13,至今,2年又29天,36.00%,69.01%,802|959
6,,,,,嘉实沪深300ETF联接C,160724,联接基金,2018-08-08,至今,2年又65天,38.85%,64.24%,725|940
7,,,,,嘉实基本面50指数(LOF)C,160725,股票指数,2018-08-08,至今,2年又65天,9.04%,64.24%,887|940
8,,,,,嘉实中证金融地产ETF联接C,005999,联接基金,2018-06-15,2019-09-28,1年又105天,20.59%,4.54%,83|958
9,,,,,嘉实富时中国A50ETF联接C,005229,联接基金,2018-02-05,2019-03-30,1年又53天,-2.93%,-4.92%,276|851
10,,,,,嘉实创业板ETF,159955,ETF-场内,2017-07-14,2019-04-02,1年又262天,-5.66%,5.08%,627|753
11,,,,,嘉实富时中国A50ETF,512550,ETF-场内,2017-07-03,2019-03-30,1年又270天,12.20%,2.69%,155|729
12,,,,,嘉实富时中国A50ETF联接A,004488,联接基金,2017-06-29,2019-03-30,1年又274天,10.07%,2.83%,205|728
13,,,,,嘉实中关村A股ETF,159951,ETF-场内,2017-06-10,2017-08-10,61天,-3.44%,4.64%,751|778
14,,,,,嘉实中创400ETF联接A,070030,联接基金,2017-04-28,2017-08-10,104天,-3.90%,5.15%,663|747
15,,,,,嘉实中创400ETF,159918,ETF-场内,2017-04-28,2017-08-10,104天,-4.09%,5.15%,668|747
16,,,,,嘉实中证500ETF联接A,000008,联接基金,2016-01-05,至今,4年又281天,0.29%,51.95%,452|519
17,,,,,嘉实深证基本面120联接A,070023,联接基金,2016-01-05,2017-12-26,1年又356天,32.93%,10.34%,71|564
18,,,,,嘉实深证基本面120ETF,159910,ETF-场内,2016-01-05,2017-12-26,1年又356天,35.18%,10.34%,61|564
19,,,,,嘉实沪深300ETF,159919,ETF-场内,2016-01-05,至今,4年又281天,46.07%,51.95%,251|519
20,,,,,嘉实中证500ETF,159922,ETF-场内,2016-01-05,至今,4年又281天,2.74%,51.95%,444|519
21,,,,,嘉实沪深300ETF联接A,160706,联接基金,2016-01-05,至今,4年又281天,43.21%,51.95%,270|519
22,,,,,嘉实基本面50指数(LOF)A,160716,股票指数,2016-01-05,至今,4年又281天,42.28%,51.95%,275|519
23,,,,,嘉实恒生中国企业,160717,QDII-指数,2016-01-05,至今,4年又281天,14.86%,22.39%,14|17
24,,,,,嘉实黄金,160719,QDII,2016-01-05,2019-09-28,3年又267天,37.87%,31.15%,38|115
25,,,,,嘉实中证金融地产ETF联接A,001539,联接基金,2015-08-06,2019-09-28,4年又54天,29.57%,2.80%,83|489
26,,,,,嘉实中证金融地产ETF,512640,ETF-场内,2014-06-20,2019-09-28,5年又101天,98.90%,84.50%,89|257
27,,,,,嘉实中证主要消费ETF,512600,ETF-场内,2014-06-13,2019-09-28,5年又108天,190.31%,81.21%,7|254
28,,,,,嘉实中证医药卫生ETF,512610,ETF-场内,2014-06-13,2019-09-28,5年又108天,43.15%,81.21%,188|254
29,,,,,嘉实中创400ETF联接A,070030,联接基金,2014-05-09,2016-03-24,1年又320天,54.71%,51.76%,88|264
30,,,,,嘉实中创400ETF,159918,ETF-场内,2014-05-09,2016-03-24,1年又320天,61.91%,51.76%,52|264
