,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,陈东,2013-09-02,无,"陈东先生:金融学硕士。曾任深圳发展银行(现已更名为平安银行)总行金融市场部固定收益与衍生品交易员,负责本外币理财产品的资产管理工作;中国工商银行总行金融市场部人民币债券交易员,负责银行账户的自营债券投资工作。2012年9月加入华泰柏瑞基金管理有限公司,2012年11月起任华泰柏瑞金字塔稳本增利债券型证券投资基金基金经理,2013年9月起任华泰柏瑞丰盛纯债债券型证券投资基金的基金经理,2013年11月至2017年11月任华泰柏瑞季季红债券型证券投资基金的基金经理,2014年12月起任华泰柏瑞丰汇债券型证券投资基金的基金经理,2015年1月起任固定收益部副总监。2016年1月起任固定收益部总监。2017年11月起任华泰柏瑞稳健收益债券型证券投资基金和华泰柏瑞信用增利债券型证券投资基金的基金经理。2019年9月起任华泰柏瑞锦泰一年定期开放债券型证券投资基金的基金经理。2020年1月20日任职华泰柏瑞锦瑞债券型证券投资基金基金经理。2020年6月4日起担任华泰柏瑞精选回报灵活配置混合型证券投资基金基金经理。2020年9月14日起任华泰柏瑞景利混合型证券投资基金基金经理。",华泰柏瑞景利混合A,010060,混合型,2020-09-14,至今,27天,-0.21%,1.84%,3342|3693
1,,,,,华泰柏瑞景利混合C,010061,混合型,2020-09-14,至今,27天,-0.23%,1.84%,3358|3693
2,,,,,华泰柏瑞精选回报混合,001524,混合型,2020-06-04,至今,129天,2.57%,19.12%,3256|3413
3,,,,,华泰柏瑞锦瑞债券A,008524,债券型,2020-01-20,至今,265天,1.61%,2.49%,1048|2053
4,,,,,华泰柏瑞锦瑞债券C,008525,债券型,2020-01-20,至今,265天,1.32%,2.49%,1338|2053
5,,,,,华泰柏瑞锦泰一年定开,007867,定开债券,2019-09-17,至今,1年又25天,3.09%,3.34%,151|295
6,,,,,华泰柏瑞信用增利债,164606,债券型,2017-11-22,至今,2年又324天,10.74%,14.99%,875|1124
7,,,,,华泰柏瑞稳健收益债券A,460008,债券型,2017-11-22,至今,2年又324天,16.75%,14.99%,330|1124
8,,,,,华泰柏瑞稳健收益债券C,460108,债券型,2017-11-22,至今,2年又324天,15.28%,14.99%,434|1124
9,,,,,华泰柏瑞丰汇债券A,000421,债券型,2014-12-11,至今,5年又306天,24.45%,35.41%,390|479
10,,,,,华泰柏瑞丰汇债券C,000422,债券型,2014-12-11,至今,5年又306天,21.34%,35.41%,419|479
11,,,,,华泰柏瑞季季红债券,000186,债券型,2013-11-13,2017-11-27,4年又15天,24.65%,33.08%,299|438
12,,,,,华泰柏瑞丰盛纯债债券A,000187,债券型,2013-09-02,至今,7年又41天,45.54%,56.32%,226|383
13,,,,,华泰柏瑞丰盛纯债债券C,000188,债券型,2013-09-02,至今,7年又41天,41.89%,56.32%,261|383
14,,,,,华泰柏瑞稳本增利债券B,460003,债券型,2012-11-30,至今,7年又317天,31.47%,66.84%,274|291
15,,,,,华泰柏瑞稳本增利债券A,519519,债券型,2012-11-30,至今,7年又317天,34.42%,66.84%,261|291
16,何子建,2019-03-18,无,"何子建先生:工商管理硕士,经济学学士。2014年5月加入华泰柏瑞基金管理有限公司,历任固定收益部助理研究员、基金经理助理。2019年3月起任华泰柏瑞丰盛纯债债券型证券投资基金的基金经理。2020年1月20日任职华泰柏瑞锦兴39个月定期开放债券型证券投资基金基金经理。",华泰柏瑞景利混合A,010060,混合型,2020-09-14,至今,27天,-0.21%,1.84%,3342|3693
17,,,,,华泰柏瑞景利混合C,010061,混合型,2020-09-14,至今,27天,-0.23%,1.84%,3358|3693
18,,,,,华泰柏瑞锦泰一年定开,007867,定开债券,2020-07-27,至今,76天,0.75%,0.27%,65|925
19,,,,,华泰柏瑞锦瑞债券A,008524,债券型,2020-07-27,至今,76天,0.33%,0.39%,932|2399
20,,,,,华泰柏瑞锦瑞债券C,008525,债券型,2020-07-27,至今,76天,0.25%,0.39%,1083|2399
21,,,,,华泰柏瑞锦兴39个月定开债,008649,定开债券,2020-01-20,至今,265天,1.65%,1.88%,194|344
22,,,,,华泰柏瑞丰盛纯债债券A,000187,债券型,2019-03-18,至今,1年又208天,5.50%,7.68%,768|1563
23,,,,,华泰柏瑞丰盛纯债债券C,000188,债券型,2019-03-18,至今,1年又208天,4.84%,7.68%,963|1563
