,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,何家琪,2016-09-05,无,"何家琪先生:清华大学应用经济学硕士。2012年7月加入华夏基金管理有限公司,曾任固定收益部研究员、基金经理助理、华夏新锦泰灵活配置混合型证券投资基金基金经理(2017年9月8日至2018年5月25日期间)、华夏新锦鸿灵活配置混合型证券投资基金基金经理(2017年9月8日至2018年7月23日期间)、华夏新起航灵活配置混合型证券投资基金基金经理(2017年9月8日至2018年7月30日期间)、华夏新锦绣灵活配置混合型证券投资基金基金经理(2017年9月8日至2018年12月17日期间)等,现任固定收益部高级副总裁,华夏永福混合型证券投资基金基金经理(2016年9月5日起任职)、华夏鼎利债券型发起式证券投资基金基金经理(2016年11月18日起任职)、华夏可转债增强债券型证券投资基金基金经理(2016年11月18日起任职)、华夏债券投资基金基金经理(2017年1月18日起任职)、华夏希望债券型证券投资基金基金经理(2017年9月8日起任职)、华夏聚利债券型证券投资基金基金经理(2017年12月19日起任职)、华夏永康添福混合型证券投资基金基金经理(2018年2月1日起任职)、华夏鼎顺三个月定期开放债券型发起式证券投资基金基金经理(2018年8月6日至2020年5月7日)、华夏鼎福三个月定期开放债券型发起式证券投资基金基金经理(2018年9月21日-2020年5月7日)、华夏新锦汇灵活配置混合型证券投资基金基金经理(2018年9月28日至2020年3月12日)、华夏新锦顺灵活配置混合型证券投资基金基金经理(2018年12月17日至2020年3月12日)、华夏鼎祥三个月定期开放债券型发起式证券投资基金基金经理(2018年12月17日起任职)、华夏鼎略债券型证券投资基金基金经理(2019年1月25日起任职)。2017年9月8日至2019年12月17日任华夏新锦程灵活配置混合型证券投资基金基金经理。2018年12月17日至2020年3月12日担任华夏鼎祥三个月定期开放债券型发起式证券投资基金基金经理。2019年1月25日至2020年3月12日担任华夏鼎略债券型证券投资基金基金经理。",华夏恒益18个月定开债券,007591,定开债券,2019-09-04,至今,1年又38天,3.09%,3.52%,196|309
1,,,,,华夏鼎琪三个月定开债券,007576,定开债券,2019-07-24,至今,1年又80天,6.16%,4.26%,26|242
2,,,,,华夏鼎略债券A,006776,债券型,2019-01-25,2020-03-12,1年又47天,4.30%,7.87%,1282|1564
3,,,,,华夏鼎略债券C,006777,债券型,2019-01-25,2020-03-12,1年又47天,3.61%,7.87%,1457|1564
4,,,,,华夏新锦顺混合A,004046,混合型,2018-12-17,2020-03-12,1年又86天,6.43%,35.85%,2559|2729
5,,,,,华夏新锦顺混合C,004047,混合型,2018-12-17,2020-03-12,1年又86天,6.30%,35.85%,2566|2729
6,,,,,华夏鼎祥三个月定开债A,004923,定开债券,2018-12-17,2020-03-12,1年又86天,3.62%,7.05%,517|542
7,,,,,华夏鼎祥三个月定开债C,004924,定开债券,2018-12-17,2020-03-12,1年又86天,,,-|-
8,,,,,华夏新锦汇混合A,004048,混合型,2018-09-28,2020-03-12,1年又166天,7.71%,28.50%,2437|2715
9,,,,,华夏新锦汇混合C,004049,混合型,2018-09-28,2020-03-12,1年又166天,-22.89%,,-|-
10,,,,,华夏鼎福三个月定开债A,005791,定开债券,2018-09-21,2020-05-07,1年又229天,8.76%,10.68%,200|251
11,,,,,华夏鼎福三个月定开债C,005792,定开债券,2018-09-21,2020-05-07,1年又229天,0.00%,0.00%,1|572
12,,,,,华夏鼎顺三个月定开债A,005364,定开债券,2018-08-06,2020-05-07,1年又275天,8.66%,10.56%,154|194
13,,,,,华夏鼎顺三个月定开债C,005365,定开债券,2018-08-06,2020-05-07,1年又275天,0.00%,0.00%,1|243
