,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,何康,2017-09-21,无,"何康先生:西南财经大学金融学硕士,具有基金从业资格。曾先后就职于国海证券固定收益部、大成基金固定收益部、南方基金固定收益部、国海证券金融市场部,历任研究员、投资经理、基金经理、副总经理;2013年11月12日至2016年8月5日,任南方丰元基金经理;2013年11月28日至2016年8月5日,任南方聚利基金经理;2014年4月25日至2016年8月5日,任南方通利基金经理;2015年2月10日至2016年8月5日,任南方双元基金经理。2017年6月加入南方基金;2017年8月10日至2019年2月26日,任南方聚利基金经理;2017年8月10日至2020年4月29日,任南方双元基金经理;2019年3月25日至2020年4月29日,任南方鑫利3个月基金经理;2017年9月21日至今,任南方稳利基金经理;2017年12月15日至今,任南方通利基金经理;2018年4月12日至今,任南方涪利基金经理;2018年5月17日至今,任南方荣尊基金经理;2018年9月17日至今,任南方赢元基金经理;2018年11月21日至今,任南方吉元短债基金经理;2019年2月26日至今,任南方臻元基金经理;2019年7月31日至今,任南方恒新39个月基金经理;2020年4月29日至今,任南方远利基金经理。2017年8月10日-2020年4月29日任南方双元债券型证券投资基金变更基金经理。",南方远利3个月定开债,008226,定开债券,2020-04-29,至今,165天,-1.46%,-1.02%,220|355
1,,,,,南方吉元短债E,008632,债券型,2019-12-16,至今,300天,1.84%,3.94%,1401|1972
2,,,,,南方恒新39个月A,007567,定开债券,2019-07-31,至今,1年又73天,5.48%,4.14%,41|256
3,,,,,南方恒新39个月C,007568,定开债券,2019-07-31,至今,1年又73天,5.17%,4.14%,52|256
4,,,,,南方鑫利3个月定开债,007025,定开债券,2019-03-25,2020-04-29,1年又36天,5.95%,6.77%,143|198
5,,,,,南方臻元债券,006742,债券型,2019-02-26,至今,1年又228天,5.09%,8.20%,890|1529
6,,,,,南方吉元短债A,006517,债券型,2018-11-21,至今,1年又325天,5.88%,11.44%,1027|1347
7,,,,,南方吉元短债C,006518,债券型,2018-11-21,至今,1年又325天,5.09%,11.44%,1188|1347
8,,,,,南方赢元,006149,债券型,2018-09-17,至今,2年又25天,7.07%,13.04%,1013|1279
9,,,,,南方荣尊混合A,003938,混合型,2018-05-17,至今,2年又148天,17.71%,47.21%,2197|2616
10,,,,,南方荣尊混合C,003939,混合型,2018-05-17,至今,2年又148天,16.05%,47.21%,2273|2616
11,,,,,南方涪利定开债,005476,定开债券,2018-04-12,至今,2年又183天,12.74%,12.12%,60|167
12,,,,,南方通利债券A,000563,债券型,2017-12-15,至今,2年又301天,16.27%,15.32%,379|1159
13,,,,,南方通利债券C,000564,债券型,2017-12-15,至今,2年又301天,15.03%,15.32%,463|1159
14,,,,,南方稳利1年定开债A,000086,定开债券,2017-09-21,至今,3年又21天,13.04%,14.90%,93|146
15,,,,,南方稳利1年定开债C,000720,定开债券,2017-09-21,至今,3年又21天,11.66%,14.90%,119|146
16,,,,,南方双元A,000997,债券型,2017-08-10,2020-04-29,2年又263天,11.90%,14.52%,800|1096
17,,,,,南方双元C,000998,债券型,2017-08-10,2020-04-29,2年又263天,10.79%,14.52%,875|1096
18,,,,,南方聚利1年定开债A,160131,定开债券,2017-08-10,2019-02-26,1年又200天,8.79%,7.89%,44|114
19,,,,,南方聚利1年定开债C,160134,定开债券,2017-08-10,2019-02-26,1年又200天,8.31%,7.89%,54|114
20,,,,,南方双元A,000997,债券型,2015-02-10,2016-08-05,1年又177天,8.69%,10.84%,419|556
21,,,,,南方双元C,000998,债券型,2015-02-10,2016-08-05,1年又177天,8.59%,10.84%,424|556
22,,,,,南方聚利1年定开债C,160134,定开债券,2014-12-01,2016-08-05,1年又248天,15.25%,13.86%,35|86
23,,,,,南方通利债券A,000563,债券型,2014-04-25,2016-08-05,2年又103天,26.56%,31.40%,280|510
24,,,,,南方通利债券C,000564,债券型,2014-04-25,2016-08-05,2年又103天,26.79%,31.40%,277|510
25,,,,,南方聚利1年定开债A,160131,定开债券,2013-11-28,2016-08-05,2年又251天,27.38%,29.76%,29|49
26,,,,,南方丰元信用增强债券A,000355,债券型,2013-11-12,2016-08-05,2年又267天,30.35%,31.97%,204|446
27,,,,,南方丰元信用增强债券C,000356,债券型,2013-11-12,2016-08-05,2年又267天,29.10%,31.97%,221|446
