,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,何晓春,2018-02-10,无,"何晓春先生:中南财经政法大学产业经济学博士。曾任东莞宏远期货经纪有限公司郑州代表处负责人,东莞宏远期货经纪有限公司副总经理、总经理,江南期货有限责任公司总经理助理、总经理、董事长,广永期货有限责任公司总裁,瑞龙期货有限公司总经理,世纪证券有限责任公司江西分公司筹办组负责人等职,2011年4月加入金鹰基金管理有限公司,现任金鹰基金管理有限公司权益投资部总监、兼任金鹰行业优势股票型证券投资基金、金鹰稳健成长股票型证券投资基金基金经理、金鹰中证技术领先指数增强型证券投资基金基金经理、金鹰中证500指数分级证券投资基金基金经理。曾任金鹰基金管理有限公司权益投资部总监、研究部副总监兼基金经理。2017年12月加入基金管理人,现任基金管理人助理总经理、权益投资部总监、基金经理。2018年2月起担任摩根士丹利华鑫品质生活精选股票型证券投资基金基金经理,2019年9月起担任摩根士丹利华鑫领先优势混合型证券投资基金基金经理。",大摩优悦安和混合,009893,混合型,2020-09-24,至今,17天,0.81%,2.75%,2817|3742
1,,,,,大摩领先优势混合,233006,混合型,2019-09-16,至今,1年又26天,44.97%,38.48%,1166|3006
2,,,,,大摩品质生活精选股票,000309,股票型,2018-02-10,至今,2年又244天,76.90%,47.21%,146|824
3,,,,,金鹰民族新兴混合,001298,混合型,2015-06-02,2016-06-25,1年又24天,-0.60%,-25.38%,208|948
4,,,,,金鹰中证500指数分级A,150088,固定收益,2015-03-06,2016-06-25,1年又112天,7.74%,-20.48%,9|96
5,,,,,金鹰中证500指数分级B,150089,分级杠杆,2015-03-06,2016-06-25,1年又112天,-52.78%,-20.48%,77|96
6,,,,,金鹰量化精选股票(LOF),162107,股票型,2015-03-06,2016-06-25,1年又112天,-5.97%,-3.23%,188|347
7,,,,,金鹰技术领先灵活配置混合A,210007,混合型,2014-12-10,2015-07-09,211天,24.50%,20.65%,253|746
8,,,,,金鹰稳健成长混合,210004,混合型,2014-11-19,2016-06-15,1年又209天,72.79%,34.73%,44|743
9,,,,,金鹰行业优势混合,210003,混合型,2012-07-26,2016-06-15,3年又325天,97.60%,78.84%,145|501
