,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,何江波,2019-02-14,无,"何江波先生:经济学硕士。2010年7月至2016年4月担任中国农业银行股份有限公司总行信用管理部行业政策一处专员。2016年4月加入景顺长城基金管理有限公司,担任专户投资部投资经理。2020年5月14日起担任景顺长城景泰鑫利纯债债券型证券投资基金基金经理。2020年7月16日起担任景顺长城弘远66个月定期开放债券型证券投资基金基金经理。兼任景顺长城稳定收益债券型证券投资基金、景顺长城优信增利债券型证券投资基金、景顺长城景兴信用纯债债券型证券投资基金、景顺长城景瑞收益债券型证券投资基金、景顺长城景盛双息收益债券型证券投资基金、景顺长城景泰汇利定期开放债券型证券投资基金和景顺长城景泰鑫利纯债债券型证券投资基金基金经理。",景顺长城景泰宝利一年定开债,009685,定开债券,2020-07-25,至今,78天,,,-|-
1,,,,,景顺长城弘远66个月定开债,009235,定开债券,2020-07-16,至今,87天,0.65%,0.65%,190|400
2,,,,,景顺长城景瑞收益债券C,009871,债券型,2020-07-13,至今,90天,0.42%,0.26%,1394|2366
3,,,,,景顺长城景泰鑫利纯债,006764,债券型,2020-05-14,至今,150天,-0.27%,0.55%,990|2219
4,,,,,景顺长城景泰汇利定开债C,008554,定开债券,2019-12-19,至今,297天,2.97%,2.50%,75|311
5,,,,,景顺长城景兴信用纯债债券A,000252,债券型,2019-02-14,至今,1年又240天,3.30%,9.02%,1340|1484
6,,,,,景顺长城景兴信用纯债债券C,000253,债券型,2019-02-14,至今,1年又240天,2.63%,9.02%,1405|1484
7,,,,,景顺长城景瑞收益债券A,001750,债券型,2019-02-14,至今,1年又240天,5.79%,9.02%,720|1484
8,,,,,景顺长城景盛双息收益债券A,002065,债券型,2019-02-14,至今,1年又240天,3.46%,9.02%,1320|1484
9,,,,,景顺长城景盛双息收益债券C,002066,债券型,2019-02-14,至今,1年又240天,2.77%,9.02%,1399|1484
10,,,,,景顺长城景泰汇利定开债A,003605,定开债券,2019-02-14,至今,1年又240天,6.43%,5.90%,74|228
11,,,,,景顺长城稳定收益债券A,261001,债券型,2019-02-14,至今,1年又240天,5.73%,9.02%,729|1484
12,,,,,景顺长城优信增利债券A,261002,债券型,2019-02-14,至今,1年又240天,3.82%,9.02%,1266|1484
13,,,,,景顺长城稳定收益债券C,261101,债券型,2019-02-14,至今,1年又240天,5.07%,9.02%,884|1484
14,,,,,景顺长城优信增利债券C,261102,债券型,2019-02-14,至今,1年又240天,3.15%,9.02%,1359|1484
