,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,FAN BING(范冰),2017-03-25,无,"FAN BING(范冰)先生:商学硕士。曾任皇家加拿大银行托管部核算专员,美国道富集团MiddleOffice中台交易支持专员,巴克莱资产管理公司悉尼金融数据部高级金融数据分析员、悉尼金融数据部主管、新加坡金融数据部主管,贝莱德集团金融数据运营部部门经理、风险控制与咨询部客户经理、亚太股票指数基金部基金经理。现任易方达基金管理有限公司易方达黄金交易型开放式证券投资基金基金经理(自2017年3月25日起任职)、易方达黄金交易型开放式证券投资基金联接基金基金经理(自2017年3月25日起任职)、易方达标普500指数证券投资基金(LOF)基金经理(自2017年3月25日起任职)、易方达标普医疗保健指数证券投资基金(LOF)基金经理(自2017年3月25日起任职)、易方达标普生物科技指数证券投资基金(LOF)基金经理(自2017年3月25日起任职)、易方达标普信息科技指数证券投资基金(LOF)基金经理(自2017年3月25日起任职)、易方达原油证券投资基金(QDII)基金经理(自2017年3月25日起任职)、易方达中证海外中国互联网50交易型开放式指数证券投资基金基金经理(自2017年3月25日起任职)、易方达纳斯达克100指数证券投资基金(LOF)基金经理(自2017年6月27日起任职)、易方达MSCI中国A股国际通交易型开放式指数证券投资基金基金经理(自2018年5月17日起任职)、易方达中证海外中国互联网50交易型开放式指数证券投资基金联接基金基金经理(自2019年1月18日起任职)、易方达MSCI中国A股国际通交易型开放式指数证券投资基金发起式联接基金基金经理(自2019年3月13日起任职)、易方达日兴资管日经225交易型开放式指数证券投资基金(QDII)基金经理(自2019年6月12日起任职)。易方达中证香港证券投资主题交易型开放式指数证券投资基金基金经理(自2020年03月13日起任职)。2017年3月25日至2020年3月20日任易方达标普全球高端消费品指数增强型证券投资基金基金经理。",易方达中证香港证券投资ETF,513090,ETF-场内,2020-03-13,至今,212天,20.85%,26.54%,973|1446
1,,,,,易方达日经225ETF,513000,QDII-ETF,2019-06-12,至今,1年又122天,11.93%,-1.53%,3|31
2,,,,,易方达MSCI中国A股联接A,006704,联接基金,2019-03-13,至今,1年又213天,38.99%,46.10%,579|1083
3,,,,,易方达MSCI中国A股联接C,006705,联接基金,2019-03-13,至今,1年又213天,38.45%,46.10%,594|1083
4,,,,,易方达中证海外联接人民币A,006327,QDII-指数,2019-01-18,至今,1年又267天,54.34%,23.27%,50|230
5,,,,,易方达中证海外联接人民币C,006328,QDII-指数,2019-01-18,至今,1年又267天,52.59%,23.27%,53|230
6,,,,,易方达中证海外联接美元A,006329,QDII-指数,2019-01-18,至今,1年又267天,53.32%,23.27%,52|230
7,,,,,易方达中证海外联接美元C,006330,QDII-指数,2019-01-18,至今,1年又267天,51.62%,23.27%,54|230
8,,,,,易方达MSCI中国A股ETF,512090,ETF-场内,2018-05-17,至今,2年又148天,50.29%,41.82%,261|897
9,,,,,易方达标普消费品指数C,005676,QDII-指数,2018-02-09,2020-03-20,2年又40天,-16.33%,-5.04%,162|204
10,,,,,易方达纳斯达克100美元汇,003722,QDII-指数,2017-06-27,至今,3年又107天,83.81%,24.78%,21|182
11,,,,,易方达纳斯达克100人民币,161130,QDII-指数,2017-06-27,至今,3年又107天,84.74%,24.78%,20|182
12,,,,,易方达黄金ETF联接A,000307,联接基金,2017-03-25,至今,3年又201天,40.38%,60.23%,1152|1933
13,,,,,易方达标普消费品指数美元现汇A,000593,QDII-指数,2017-03-25,2020-03-20,2年又361天,-6.27%,-0.51%,133|175
14,,,,,易方达黄金ETF联接C,002963,联接基金,2017-03-25,至今,3年又201天,39.14%,60.23%,1182|1933
15,,,,,易方达原油C类人民币,003321,QDII,2017-03-25,至今,3年又201天,-46.96%,27.65%,168|172
16,,,,,易方达原油A类美元汇,003322,QDII,2017-03-25,至今,3年又201天,-45.18%,27.65%,165|172
17,,,,,易方达原油C类美元汇,003323,QDII,2017-03-25,至今,3年又201天,-46.53%,27.65%,167|172
18,,,,,易方达标普500指数美元汇,003718,QDII-指数,2017-03-25,至今,3年又201天,42.02%,27.65%,54|172
19,,,,,易方达标普医疗保健美元汇,003719,QDII-指数,2017-03-25,至今,3年又201天,38.71%,27.65%,58|172
20,,,,,易标普生物科技美元汇,003720,QDII-指数,2017-03-25,至今,3年又201天,47.52%,27.65%,44|172
21,,,,,易标普信息科技美元汇,003721,QDII-指数,2017-03-25,至今,3年又201天,114.43%,27.65%,1|172
22,,,,,易方达标普消费品指数A,118002,QDII-指数,2017-03-25,2020-03-20,2年又361天,-3.08%,-0.51%,115|175
23,,,,,易方达黄金ETF,159934,ETF-场内,2017-03-25,至今,3年又201天,41.35%,60.23%,1116|1933
24,,,,,易方达标普500指数人民币,161125,QDII-指数,2017-03-25,至今,3年又201天,40.78%,27.65%,55|172
25,,,,,易方达标普医疗保健人民币,161126,QDII-指数,2017-03-25,至今,3年又201天,37.52%,27.65%,59|172
26,,,,,易标普生物科技人民币,161127,QDII-指数,2017-03-25,至今,3年又201天,46.26%,27.65%,47|172
27,,,,,易标普信息科技人民币,161128,QDII-指数,2017-03-25,至今,3年又201天,112.51%,27.65%,2|172
28,,,,,易方达原油A类人民币,161129,QDII,2017-03-25,至今,3年又201天,-45.66%,27.65%,166|172
29,,,,,易方达中概互联50ETF,513050,QDII-ETF,2017-03-25,至今,3年又201天,82.72%,27.65%,24|172
30,余海燕,2018-08-11,无,"余海燕女士:经济学硕士。曾任汇丰银行ConsumerCreditRisk信用风险分析师,华宝兴业基金管理有限公司分析师、基金经理助理、基金经理,易方达基金管理有限公司投资发展部产品经理。现任易方达基金管理有限公司易方达沪深300医药卫生交易型开放式指数证券投资基金基金经理(自2013年9月23日起任职)、易方达沪深300非银行金融交易型开放式指数证券投资基金基金经理(自2014年6月26日起任职)、易方达沪深300非银行金融交易型开放式指数证券投资基金联接基金基金经理(自2015年1月22日起任职)、易方达上证50指数分级证券投资基金基金经理(自2015年4月15日起任职)、易方达国企改革指数分级证券投资基金基金经理(自2015年6月15日起任职)、易方达军工指数分级证券投资基金基金经理(自2015年7月8日起任职)、易方达证券公司指数分级证券投资基金基金经理(自2015年7月8日起任职)、易方达沪深300交易型开放式指数发起式证券投资基金基金经理(自2016年4月16日起任职)、易方达中证500交易型开放式指数证券投资基金基金经理(自2016年4月16日起任职)、易方达沪深300交易型开放式指数发起式证券投资基金联接基金基金经理(自2016年4月16日起任职)、易方达中证海外中国互联网50交易型开放式指数证券投资基金基金经理(自2017年1月4日起任职)、易方达中证军工交易型开放式指数证券投资基金基金经理(自2017年7月14日起任职)、易方达中证全指证券公司交易型开放式指数证券投资基金基金经理(自2017年7月27日起任职)、易方达沪深300医药卫生交易型开放式指数证券投资基金联接基金基金经理(自2017年11月22日起任职)、易方达黄金交易型开放式证券投资基金联接基金基金经理(自2018年8月11日起任职)、易方达恒生中国企业交易型开放式指数证券投资基金联接基金基金经理(自2018年8月11日起任职)、易方达黄金交易型开放式证券投资基金基金经理(自2018年8月11日起任职)、易方达恒生中国企业交易型开放式指数证券投资基金基金经理(自2018年8月11日起任职)、易方达中证海外中国互联网50交易型开放式指数证券投资基金联接基金基金经理(自2019年1月18日起任职)、易方达中证500交易型开放式指数证券投资基金发起式联接基金基金经理(自2019年3月20日起任职),易方达日兴资管日经225交易型开放式指数证券投资基金(QDII)基金经理(自2019年6月12日起任职)。",易方达上证50ETF联接基金A,007379,联接基金,2019-09-09,至今,1年又33天,24.67%,34.57%,795|1227
31,,,,,易方达上证50ETF联接基金C,007380,联接基金,2019-09-09,至今,1年又33天,24.51%,34.57%,800|1227
32,,,,,易方达上证50ETF,510100,ETF-场内,2019-09-06,至今,1年又36天,24.56%,36.20%,852|1245
33,,,,,易方达沪深300非银联接C,007882,联接基金,2019-08-20,至今,1年又53天,12.31%,42.94%,1073|1205
34,,,,,易方达沪深300医药联接C,007883,联接基金,2019-08-20,至今,1年又53天,57.75%,42.94%,313|1205
35,,,,,易方达日经225ETF,513000,QDII-ETF,2019-06-12,至今,1年又122天,11.93%,-1.53%,3|31
36,,,,,易方达沪深300ETF联接C,007339,联接基金,2019-04-25,至今,1年又170天,24.63%,41.44%,772|1118
37,,,,,易方达中证500ETF联接A,007028,联接基金,2019-03-20,至今,1年又206天,31.40%,43.27%,665|1088
38,,,,,易方达中证500ETF联接C,007029,联接基金,2019-03-20,至今,1年又206天,31.14%,43.27%,669|1088
39,,,,,易方达中证海外联接人民币A,006327,QDII-指数,2019-01-18,至今,1年又267天,54.34%,23.27%,50|230
40,,,,,易方达中证海外联接人民币C,006328,QDII-指数,2019-01-18,至今,1年又267天,52.59%,23.27%,53|230
41,,,,,易方达中证海外联接美元A,006329,QDII-指数,2019-01-18,至今,1年又267天,53.32%,23.27%,52|230
42,,,,,易方达中证海外联接美元C,006330,QDII-指数,2019-01-18,至今,1年又267天,51.62%,23.27%,54|230
43,,,,,易方达黄金ETF联接A,000307,联接基金,2018-08-11,至今,2年又62天,47.67%,58.99%,1421|2586
44,,,,,易方达黄金ETF联接C,002963,联接基金,2018-08-11,至今,2年又62天,46.94%,58.99%,1438|2586
45,,,,,易方达恒生国企ETF联接C,005675,QDII-指数,2018-08-11,至今,2年又62天,-5.34%,-5.10%,9|26
46,,,,,易方达恒生国企ETF联接A,110031,QDII-指数,2018-08-11,至今,2年又62天,-7.32%,-5.10%,15|26
47,,,,,易方达恒生国企ETF联接现汇A,110032,QDII-指数,2018-08-11,至今,2年又62天,-6.18%,-5.10%,11|26
48,,,,,易方达恒生国企ETF联接现钞A,110033,QDII-指数,2018-08-11,至今,2年又62天,-6.18%,-5.10%,11|26
49,,,,,易方达黄金ETF,159934,ETF-场内,2018-08-11,至今,2年又62天,48.90%,58.99%,1385|2586
50,,,,,易方达恒生国企ETF,510900,QDII-ETF,2018-08-11,至今,2年又62天,-6.86%,-5.10%,13|26
51,,,,,易方达沪深300医药联接A,001344,联接基金,2017-11-22,至今,2年又324天,64.39%,33.92%,129|774
52,,,,,易方达中证全指证券公司ETF,512570,ETF-场内,2017-07-27,至今,3年又77天,17.73%,47.99%,561|720
53,,,,,易方达中证军工ETF,512560,ETF-场内,2017-07-14,至今,3年又90天,21.49%,48.47%,539|727
54,,,,,易方达中概互联50ETF,513050,QDII-ETF,2017-01-04,至今,3年又281天,99.95%,36.54%,21|154
55,,,,,易方达沪深300ETF联接A,110020,联接基金,2016-04-16,至今,4年又179天,59.26%,64.32%,253|550
56,,,,,易方达沪深300发起式ETF,510310,ETF-场内,2016-04-16,至今,4年又179天,61.18%,64.32%,240|550
57,,,,,易方达中证500ETF,510580,ETF-场内,2016-04-16,至今,4年又179天,4.59%,64.32%,504|550
58,,,,,易方达军工分级,502003,股票指数,2015-07-08,至今,5年又97天,-18.12%,56.55%,432|445
59,,,,,易方达军工分级A,502004,固定收益,2015-07-08,至今,5年又97天,26.81%,23.13%,72|168
60,,,,,易方达军工分级B,502005,分级杠杆,2015-07-08,至今,5年又97天,-82.63%,23.13%,159|168
61,,,,,易方达证券公司分级,502010,股票指数,2015-07-08,至今,5年又97天,-7.55%,56.55%,412|445
62,,,,,易方达证券公司分级A,502011,固定收益,2015-07-08,至今,5年又97天,25.30%,23.13%,101|168
63,,,,,易方达证券公司分级B,502012,分级杠杆,2015-07-08,至今,5年又97天,-63.39%,23.13%,139|168
64,,,,,易方达国企改革指数分级,502006,股票指数,2015-06-15,至今,5年又120天,-13.87%,4.68%,252|397
65,,,,,易方达国企改革指数分级A,502007,固定收益,2015-06-15,至今,5年又120天,27.40%,-7.45%,41|132
66,,,,,易方达国企改革指数分级B,502008,分级杠杆,2015-06-15,至今,5年又120天,-75.70%,-7.45%,98|132
67,,,,,易方达上证50指数分级,502048,股票指数,2015-04-15,至今,5年又181天,20.54%,32.98%,178|333
68,,,,,易方达上证50指数分级A,502049,固定收益,2015-04-15,至今,5年又181天,29.05%,-0.25%,26|80
69,,,,,易方达上证50指数分级B,502050,分级杠杆,2015-04-15,至今,5年又181天,-39.19%,-0.25%,52|80
70,,,,,易方达沪深300非银联接A,000950,联接基金,2015-01-22,至今,5年又264天,13.45%,66.22%,252|288
71,,,,,易方达沪深300非银ETF,512070,ETF-场内,2014-06-26,至今,6年又109天,154.68%,143.36%,87|243
