,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,俞晓斌,2019-03-13,无,"俞晓斌先生:硕士,自2007年7月至2012年10月任上海国际货币经纪有限公司经纪人;2012年10月加入富国基金管理有限公司,历任高级交易员、资深交易员兼研究助理,2016年12月起任富国泰利定期开放债券型发起式证券投资基金基金经理,2017年11月起任富国天源沪港深平衡混合型证券投资基金、2017年11月20日至2020年4月17日担任富国天成红利灵活配置混合型证券投资基金基金经理,2018年8月至2019年10月任富国优化增强债券型证券投资基金、富国可转换债券证券投资基金、富国颐利纯债债券型证券投资基金基金经理,2018年8月23日至2020年4月17日任富国臻选成长灵活配置混合型证券投资基金基金经理,2018年12月起任富国两年期理财债券型证券投资基金,2019年3月起任富国天盈债券型证券投资基金(LOF)、富国稳健增强债券型证券投资基金、富国祥利定期开放债券型发起式证券投资基金、富国嘉利稳健配置定期开放混合型证券投资基金基金经理,2019年5月起任富国目标收益一年期纯债债券型证券投资基金、富国新趋势灵活配置混合型证券投资基金,2019年6月至2020年7月10日任富国新活力灵活配置混合型发起式证券投资基金、富国科创主题3年封闭运作灵活配置混合型证券投资基金基金经理,2019年6月至2019年9月任富国新优选灵活配置定期开放混合型证券投资基金基金经理。具有基金从业资格。2019年3月至2020年3月31日担任富国新收益灵活配置混合型证券投资基金基金经理。2019年3月7日至2020年3月31日担任富国新优享灵活配置混合型证券投资基金基金经理。2018年12月5日至2020年4月16日担任富国金融债债券型证券投资基金基金经理。2019年3月7日至2020年4月16日担任富国收益增强债券型证券投资基金基金经理。2017年11月20日至2020年4月17日担任富国天源沪港深平衡混合型证券投资基金基金经理。2019年5月24日至2020年6月10日担任富国新回报灵活配置混合型证券投资基金基金经理。2019年6月1日至2020年7月10日担任富国新机遇灵活配置混合型发起式证券投资基金基金经理。",富国天盈债券(LOF)A,007762,债券型,2019-08-26,至今,1年又47天,6.90%,5.61%,392|1795
1,,,,,富国新活力灵活配置混合A,004604,混合型,2019-06-21,2020-07-10,1年又20天,52.08%,47.14%,1189|3126
2,,,,,富国新活力灵活配置混合C,004605,混合型,2019-06-21,2020-07-10,1年又20天,51.27%,47.14%,1225|3126
3,,,,,富国新机遇灵活配置混合A,004674,混合型,2019-06-21,2020-07-10,1年又20天,24.11%,47.14%,2103|3126
4,,,,,富国新机遇灵活配置混合C,004675,混合型,2019-06-21,2020-07-10,1年又20天,23.46%,47.14%,2125|3126
5,,,,,富国新优选灵活定开混合A,005256,混合型,2019-06-21,2019-07-27,36天,-0.15%,4.15%,2995|3172
6,,,,,富国新优选灵活定开混合C,005257,混合型,2019-06-21,2019-07-27,36天,-0.19%,4.15%,3007|3172
7,,,,,富国科创主题混合,501077,混合型,2019-06-11,至今,1年又123天,95.91%,55.45%,354|2889
8,,,,,富国新回报灵活配置混合A/B,000841,混合型,2019-05-24,2020-06-10,1年又18天,26.77%,33.95%,1524|3006
9,,,,,富国新回报灵活配置混合C,000843,混合型,2019-05-24,2020-06-10,1年又18天,26.06%,33.95%,1556|3006
10,,,,,富国新趋势灵活配置混合A,005517,混合型,2019-05-24,至今,1年又141天,13.72%,58.21%,2739|3000
11,,,,,富国新趋势灵活配置混合C,005518,混合型,2019-05-24,至今,1年又141天,12.96%,58.21%,2766|3000
12,,,,,富国目标收益一年期纯债债券,000197,定开债券,2019-05-20,至今,1年又145天,5.10%,5.24%,110|242
13,,,,,富国稳健增强债券A/B,000107,债券型,2019-03-13,至今,1年又213天,10.41%,7.85%,307|1557
14,,,,,富国稳健增强债券C,000109,债券型,2019-03-13,至今,1年又213天,9.70%,7.85%,335|1557
15,,,,,富国天盈债券(LOF)C,161015,债券型,2019-03-13,至今,1年又213天,9.06%,7.85%,357|1557
16,,,,,富国收益增强债券A,000810,债券型,2019-03-07,2020-04-16,1年又41天,13.32%,6.82%,62|1563
17,,,,,富国收益增强债券C,000812,债券型,2019-03-07,2020-04-16,1年又41天,12.70%,6.82%,74|1563
18,,,,,富国新收益灵活配置混合A,001345,混合型,2019-03-07,2020-03-31,1年又25天,12.59%,14.29%,1290|2824
19,,,,,富国新收益灵活配置混合C,001347,混合型,2019-03-07,2020-03-31,1年又25天,12.01%,14.29%,1339|2824
20,,,,,富国祥利定开债发起式,002782,定开债券,2019-03-07,2020-04-16,1年又41天,11.92%,6.63%,1|198
21,,,,,富国嘉利稳健配置定期开放混合,004460,混合型,2019-03-07,2020-06-13,1年又99天,5.17%,29.40%,2749|2948
22,,,,,富国新优享灵活配置混合A,004737,混合型,2019-03-07,2020-03-31,1年又25天,11.03%,14.29%,1409|2824
23,,,,,富国新优享灵活配置混合C,004747,混合型,2019-03-07,2020-03-31,1年又25天,10.44%,14.29%,1471|2824
24,,,,,富国两年期理财债券A,002898,定开债券,2018-12-14,至今,1年又302天,7.78%,7.74%,201|530
25,,,,,富国两年期理财债券C,002899,定开债券,2018-12-14,至今,1年又302天,6.89%,7.74%,292|530
26,,,,,富国金融债债券型,006134,债券型,2018-12-05,2020-04-16,1年又133天,6.80%,9.69%,1034|1394
27,,,,,富国颐利纯债债券,005920,债券型,2018-08-31,2019-10-16,1年又46天,5.71%,6.83%,657|1329
28,,,,,富国优化增强债券A/B,100035,债券型,2018-08-31,2019-10-16,1年又46天,9.25%,6.83%,171|1329
29,,,,,富国优化增强债券C,100037,债券型,2018-08-31,2019-10-16,1年又46天,8.76%,6.83%,202|1329
30,,,,,富国可转债A,100051,债券型,2018-08-31,2019-10-16,1年又46天,12.26%,6.83%,88|1329
31,,,,,富国臻选成长灵活配置混合,005732,混合型,2018-08-23,2020-04-17,1年又238天,53.90%,27.65%,309|2748
32,,,,,富国天源沪港深平衡混合,100016,混合型,2017-11-20,2020-04-17,2年又149天,5.16%,14.99%,1579|2204
33,,,,,富国天成红利混合,100029,混合型,2017-11-20,2020-04-17,2年又149天,22.37%,14.99%,569|2204
34,,,,,富国泰利定开债发起式,002483,定开债券,2016-12-30,至今,3年又286天,20.95%,16.52%,44|256
