,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,刘俊,2013-07-31,无,"刘俊先生:复旦大学金融学专业博士。历任上海申银万国证券研究所有限公司策略研究部策略分析师、海通证券股份有限公司战略合作与并购部高级项目经理。2007年3月进入中海基金管理有限公司工作,曾任产品开发总监,现任权益投资部权益投资副总监。2010年3月至2015年8月任中海稳健收益债券型证券投资基金基金经理,2015年4月至2017年6月任中海安鑫宝1号保本混合型证券投资基金基金经理,2012年6月至2019年4月任中海优势精选灵活配置混合型证券投资基金基金经理,2013年7月至今任中海信息产业精选混合型证券投资基金基金经理,2014年5月至今任中海积极收益灵活配置混合型证券投资基金基金经理,2015年12月至今任中海顺鑫灵活配置混合型证券投资基金基金经理,2017年4月至今任中海添顺定期开放混合型证券投资基金基金经理,2018年1月至今任中海添瑞定期开放混合型证券投资基金基金经理,2018年6月至今任中海环保新能源主题灵活配置混合型证券投资基金基金经理。2020年5月30日起担任中海医疗保健主题股票型证券投资基金基金经理。",中海医疗保健主题股票,399011,股票型,2020-05-30,至今,134天,22.16%,21.05%,706|1537
1,,,,,中海环保新能源混合,398051,混合型,2018-06-02,至今,2年又132天,81.42%,50.43%,470|2519
2,,,,,中海添瑞定开混合,005252,混合型,2018-01-19,至今,2年又266天,6.82%,44.55%,2269|2410
3,,,,,中海添顺定期开放混合,004219,混合型,2017-04-27,至今,3年又168天,8.35%,61.31%,1895|1964
4,,,,,中海顺鑫灵活配置混合,002213,混合型,2015-12-30,至今,4年又287天,95.91%,53.77%,197|1246
5,,,,,中海安鑫宝1号保本混合,001155,保本型,2015-04-03,2017-04-05,2年又3天,2.60%,6.82%,3|3
6,,,,,中海积极收益混合,000597,混合型,2014-05-26,至今,6年又140天,65.31%,185.32%,609|669
7,,,,,中海信息产业精选混合,000166,混合型,2013-07-31,至今,7年又74天,142.88%,190.36%,374|583
8,,,,,中海优势精选灵活配置混合,393001,混合型,2012-06-20,2019-04-27,6年又312天,17.47%,90.32%,449|495
9,,,,,中海稳健收益债券,395001,债券型,2010-03-03,2015-08-21,5年又172天,42.10%,44.78%,62|123
