,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,刘太阳,2018-10-10,无,"刘太阳先生:国籍中国,理学硕士。曾任中国农业银行金融市场部高级交易员,从事债券投资交易工作;2011年5月加盟鹏华基金管理有限公司,从事债券研究工作,担任固定收益部研究员,担任公募债券投资部总经理、基金经理。2012年09月至2018年04月担任鹏华纯债债券基金基金经理,2012年12月至2015年04月担任鹏华月月发短期理财债券基金基金经理,2013年04月至2016年04月担任鹏华丰利分级债券基金基金经理,2013年05月至2018年12月担任鹏华实业债基金基金经理,2015年03月担任鹏华丰盛债券基金基金经理,2016年02月至2018年03月担任鹏华弘盛混合基金基金经理,2016年04月至2018年04月担任鹏华丰利债券(LOF)基金基金经理,2016年08月至2020年02月担任鹏华双债保利债券基金基金经理,2016年08月担任鹏华丰收债券基金基金经理,2016年08月至2017年09月担任鹏华丰安债券基金基金经理,2016年08月至2018年06月担任鹏华丰达债券基金基金经理,2016年09月至2018年04月担任鹏华丰恒债券基金基金经理,2016年10月至2018年05月担任鹏华丰禄债券基金基金经理,2016年10月至2018年05月担任鹏华丰腾债券基金基金经理,2016年11月至2018年07月担任鹏华丰盈债券基金基金经理,2016年12月至2018年05月担任鹏华普泰债券基金基金经理,2016年12月至2018年07月担任鹏华丰惠债券基金基金经理,2017年02月至2018年06月担任鹏华安益增强混合基金基金经理,2017年03月至2018年06月担任鹏华丰享债券基金基金经理,2017年03月至2018年06月担任鹏华丰玉债券基金基金经理,2017年03月至2017年12月担任鹏华丰嘉债券基金基金经理,2017年03月至2018年04月担任鹏华丰康债券基金基金经理,2017年04月至2018年05月担任鹏华丰瑞债券基金基金经理,2017年06月至2018年03月担任鹏华丰玺债券基金基金经理,2017年06月至2018年06月担任鹏华丰源债券基金基金经理,2018年10月担任鹏华双债增利债券基金基金经理,2018年12月至2019年01月担任鹏华永诚一年定期开放债券基金基金经理,2019年09月担任鹏华丰润债券(LOF)基金基金经理,2019年09月担任鹏华丰源债券基金基金经理,2019年09月担任鹏华丰华债券基金基金经理,2019年09月担任鹏华丰玉债券基金基金经理,2019年10月担任鹏华丰庆债券基金基金经理,2020年03月担任鹏华安泽混合基金基金经理。刘太阳先生具备基金从业资格。2020年6月24日任职鹏华安惠混合型证券投资基金基金经理。",鹏华安惠混合A,009232,混合型,2020-06-24,至今,109天,3.44%,12.76%,3253|3691
1,,,,,鹏华安惠混合C,009233,混合型,2020-06-24,至今,109天,3.32%,12.76%,3272|3691
2,,,,,鹏华安泽混合A,009096,混合型,2020-03-25,至今,200天,1.26%,30.24%,3158|3230
3,,,,,鹏华安泽混合C,009097,混合型,2020-03-25,至今,200天,0.98%,30.24%,3165|3230
4,,,,,鹏华丰庆债券,007987,债券型,2019-10-17,至今,360天,2.36%,4.90%,1348|1871
5,,,,,鹏华丰华债券,002188,债券型,2019-09-11,至今,1年又31天,3.14%,5.03%,902|1814
6,,,,,鹏华丰玉债券,004463,债券型,2019-09-11,至今,1年又31天,2.80%,5.03%,1109|1814
7,,,,,鹏华丰源债券,004498,债券型,2019-09-11,至今,1年又31天,2.55%,5.03%,1282|1814
8,,,,,鹏华丰润债券(LOF),160617,债券型,2019-09-04,至今,1年又38天,3.16%,5.36%,974|1813
9,,,,,鹏华双债增利债券,000054,债券型,2018-10-10,至今,2年又2天,19.68%,12.63%,187|1306
10,,,,,鹏华丰源债券,004498,债券型,2017-06-08,2018-06-28,1年又20天,4.60%,3.20%,407|1133
11,,,,,鹏华丰玺债券,004591,债券型,2017-06-08,2018-03-28,293天,7.74%,3.14%,34|1172
12,,,,,鹏华丰瑞债券,004499,债券型,2017-04-25,2018-05-31,1年又36天,5.36%,3.48%,177|1111
13,,,,,鹏华丰康债券,004127,债券型,2017-03-17,2018-04-28,1年又42天,4.98%,3.74%,280|1156
14,,,,,鹏华丰嘉债券,004445,债券型,2017-03-13,2017-12-16,278天,20.12%,1.85%,4|1118
15,,,,,鹏华丰玉债券,004463,债券型,2017-03-10,2018-06-28,1年又110天,6.03%,3.13%,123|1105
16,,,,,鹏华丰享债券,004388,债券型,2017-03-09,2018-06-28,1年又111天,6.55%,2.96%,72|1057
17,,,,,鹏华安益增强混合,004100,混合型,2017-02-22,2018-06-28,1年又126天,8.25%,1.55%,432|2025
18,,,,,鹏华丰惠债券,003983,债券型,2016-12-09,2018-07-13,1年又216天,5.23%,2.71%,283|965
19,,,,,鹏华普泰债券,003892,债券型,2016-12-05,2018-05-07,1年又153天,16.66%,2.22%,4|879
