,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,刘宁,2013-06-04,无,"刘宁女士:经济学硕士,2004年5月加入嘉实基金管理有限公司,在公司多个业务部门工作,2005年开始从事投资相关工作,先后担任债券专职交易员、年金组合组合控制员、投资经理助理、机构投资部投资经理。2013年7月30日至2014年9月19日任嘉实丰益策略定期开放债券型证券投资基金基金经理、2013年8月21日至2019年4月26日任嘉实丰益信用定期开放债券型证券投资基金基金经理、2015年12月15日至2017年12月26日任嘉实新起点灵活配置混合型证券投资基金基金经理、2017年1月7日至2019年7月23日任嘉实新添瑞灵活配置混合型证券投资基金基金经理、2017年3月1日至2018年10月8日任嘉实新添程灵活配置混合型证券投资基金基金经理。2013年3月8日至今任嘉实增强信用定期开放债券型证券投资基金基金经理、2013年6月4日至今任嘉实如意宝定期开放债券型证券投资基金基金经理、2016年4月8日至2019年12月5日任嘉实新优选灵活配置混合型证券投资基金基金经理、2016年4月8日至今任嘉实新趋势灵活配置混合型证券投资基金基金经理、2016年12月2日至2019年12月5日任嘉实稳荣债券型证券投资基金基金经理、2017年3月17日至今任嘉实新添华定期开放混合型证券投资基金基金经理、2017年7月14日至今任嘉实新添泽定期开放混合型证券投资基金基金经理、2017年7月20日至今任嘉实合润双债两年期定期开放债券型证券投资基金基金经理、2017年8月24日至今任嘉实新添丰定期开放混合型证券投资基金基金经理、2018年1月20日至今任嘉实润泽量化一年定期开放混合型证券投资基金基金经理、2018年3月27日至今任嘉实润和量化6个月定期开放混合型证券投资基金基金经理、2018年4月26日至今任嘉实新添荣定期开放灵活配置混合型证券投资基金基金经理、2018年7月5日至今任嘉实3年封闭运作战略配售灵活配置混合型证券投资基金(LOF)基金经理、2018年9月27日至今任嘉实新添康定期开放灵活配置混合型证券投资基金基金经理、2018年11月2日至今任嘉实致盈债券型证券投资基金基金经理、2019年4月3日至今任嘉实新添元定期开放混合型证券投资基金基金经理、2019年8月9日至今任嘉实新添益定期开放混合型证券投资基金基金经理。2019年12月4日起担任嘉实民企精选一年定期开放债券型证券投资基金基金经理。2020年3月6日起担任嘉实致宁3个月定期开放纯债债券型证券投资基金基金经理。",嘉实致宁3个月定开纯债债券,008620,定开债券,2020-03-06,至今,219天,0.45%,0.68%,413|798
1,,,,,嘉实民企精选一年定开债,008118,定开债券,2019-12-04,至今,312天,3.79%,2.90%,43|299
2,,,,,嘉实新添益定期混合A,007266,混合型,2019-08-09,至今,1年又64天,9.27%,49.28%,2888|3095
3,,,,,嘉实新添益定期混合C,007267,混合型,2019-08-09,至今,1年又64天,8.51%,49.28%,2908|3095
4,,,,,嘉实新添元定期混合A,006982,混合型,2019-04-03,至今,1年又192天,9.89%,43.88%,2579|2802
5,,,,,嘉实新添元定期混合C,006983,混合型,2019-04-03,至今,1年又192天,8.89%,43.88%,2610|2802
6,,,,,嘉实致盈债券,006450,债券型,2018-11-02,至今,1年又344天,6.10%,11.94%,1119|1371
7,,,,,嘉实新添康定期混合A,005603,混合型,2018-09-27,至今,2年又15天,42.61%,63.29%,1597|2620
8,,,,,嘉实新添康定期混合C,005604,混合型,2018-09-27,至今,2年又15天,40.85%,63.29%,1648|2620
9,,,,,嘉实战略配售(LOF),501189,混合型,2018-07-05,至今,2年又99天,12.30%,59.99%,2418|2555
