,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,刘宏毅,2019-02-14,无,"刘宏毅先生:复旦大学发展经济学硕士。2009年7月至2010年4月担任湘财证券有限责任公司研究员,2010年5月至2017年7月担任信诚基金管理有限公司宏观分析师,2017年7月正式加入华润元大基金管理有限公司,担任研究部负责人;2018年1月18日起担任华润元大安鑫灵活配置混合型证券投资基金基金经理、2018年6月12日至2020年7月21日担任华润元大润泰双鑫债券型证券投资基金、华润元大信息传媒科技混合型证券投资基金的基金经理。华润元大价值优选混合型发起式证券投资基金基金经理。2019年11月8日起任职华润元大景泰混合型证券投资基金基金经理。2020年3月18日担任华润元大成长精选股票型发起式证券投资基金的基金经理。2018年1月18日至2020年7月21日担任华润元大安鑫灵活配置混合型证券投资基金基金经理。2020年7月24日起任华润元大价值优选混合型发起式证券投资基金基金经理。2020年8月10日起任华润元大欣享混合型发起式证券投资基金基金经理。2020年8月24日起担任润元大核心动力混合型证券投资基金基金经理。",华润元大核心动力混合A,009882,混合型,2020-08-24,至今,48天,0.53%,-0.43%,1063|3633
1,,,,,华润元大核心动力混合C,009883,混合型,2020-08-24,至今,48天,0.47%,-0.43%,1116|3633
2,,,,,华润元大欣享混合A,004928,混合型,2020-08-10,至今,62天,-0.17%,0.17%,2197|3569
3,,,,,华润元大欣享混合C,004929,混合型,2020-08-10,至今,62天,-0.19%,0.17%,2214|3569
4,,,,,华润元大价值优选A,004930,混合型,2020-07-24,至今,79天,-1.85%,4.79%,3681|3812
5,,,,,华润元大价值优选C,004931,混合型,2020-07-24,至今,79天,-2.02%,4.79%,3690|3812
6,,,,,华润元大成长精选A,004891,股票型,2020-03-18,至今,207天,13.79%,34.91%,1313|1429
7,,,,,华润元大成长精选C,004892,股票型,2020-03-18,至今,207天,13.63%,34.91%,1316|1429
8,,,,,华润元大景泰混合A,004976,混合型,2019-11-08,至今,338天,6.17%,35.75%,2994|3192
9,,,,,华润元大景泰混合C,004977,混合型,2019-11-08,至今,338天,5.99%,35.75%,3004|3192
10,,,,,华润元大安鑫灵活配置混合C,007632,混合型,2019-08-01,2020-07-21,355天,29.01%,43.12%,1894|3028
11,,,,,华润元大信息传媒科技混合,000522,混合型,2019-02-14,至今,1年又240天,136.93%,63.93%,134|2736
12,,,,,华润元大双鑫债券A,003680,债券型,2018-06-12,2020-07-21,2年又40天,20.43%,13.41%,144|1210
13,,,,,华润元大双鑫债券C,003723,债券型,2018-06-12,2020-07-21,2年又40天,19.42%,13.41%,164|1210
14,,,,,华润元大安鑫灵活配置混合A,000273,混合型,2018-01-18,2020-07-21,2年又185天,-0.03%,41.50%,2234|2296
