,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,赵晓东,2013-05-07,无,"赵晓东先生:职工监事赵晓东先生,香港大学MBA。历任淄博矿业集团项目经理,浙江证券分析员,上海交大高新技术股份有限公司高级投资经理,国海证券有限责任公司行业研究员,国海富兰克林基金管理有限公司研究员、高级研究员、国富弹性市值混合基金和国富潜力组合混合基金的基金经理助理,国富沪深300指数增强基金基金经理。担任国海富兰克林基金管理有限公司权益投资总监、QDII投资总监、国富中小盘股票基金、国富焦点驱动混合基金和国富弹性市值混合基金基金经理、职工监事,国富恒瑞债券拟任基金经理。2020年2月13日担任富兰克林国海基本面优选混合型证券投资基金的基金经理。",国富基本面优选混合,008515,混合型,2020-02-13,至今,241天,26.57%,24.75%,1416|3168
1,,,,,国富恒瑞债券A,002361,债券型,2016-02-04,至今,4年又251天,29.67%,18.85%,71|573
2,,,,,国富恒瑞债券C,002362,债券型,2016-02-04,至今,4年又251天,27.19%,18.85%,91|573
3,,,,,国富弹性市值混合,450002,混合型,2014-12-19,至今,5年又298天,190.34%,120.93%,126|765
4,,,,,国富焦点驱动混合,000065,混合型,2013-05-07,至今,7年又159天,101.33%,191.72%,449|557
5,,,,,国富中小盘股票,450009,股票型,2010-11-23,至今,9年又325天,303.06%,98.43%,2|81
6,,,,,国富沪深300指数增强,450008,股票指数,2009-09-03,2014-02-21,4年又172天,-15.30%,-11.24%,12|34
7,刘怡敏,2019-01-03,无,"刘怡敏女士:CFA,四川大学金融学硕士,四川大学国际金融与贸易专业学士。曾任国海富兰克林基金管理有限公司基金经理,国海富兰克林基金管理有限公司债券基金经理,富国基金管理有限公司债券研究员,西南证券股份有限公司研究员。现任富兰克林国海恒利债券型证券投资基金(LOF),富兰克林国海强化收益债券型证券投资基金及富兰克林国海中国收益证券投资基金的基金经理,以及富兰克林国海恒久信用债券型证券投资基金基金经理。",国富焦点驱动混合,000065,混合型,2019-01-03,至今,1年又282天,26.53%,78.73%,2198|2710
8,,,,,国富恒利分级债券B,150166,债券型,2015-11-28,2017-03-10,1年又103天,4.88%,0.84%,70|632
9,,,,,国富恒利债券(LOF)A,164509,债券型,2015-11-28,至今,4年又319天,26.71%,17.91%,80|563
10,,,,,国富恒利债券(LOF)C,164510,债券型,2015-11-28,至今,4年又319天,18.89%,17.91%,262|563
11,,,,,国富恒久信用债券A,450018,债券型,2012-09-11,至今,8年又32天,47.29%,69.74%,192|248
12,,,,,国富恒久信用债券C,450019,债券型,2012-09-11,至今,8年又32天,44.13%,69.74%,207|248
13,,,,,国富中国收益混合,450001,混合型,2010-03-27,2015-01-31,4年又311天,17.43%,25.08%,198|338
14,,,,,国富强化收益债券C,450006,债券型,2008-12-18,至今,11年又300天,89.74%,89.52%,30|74
15,,,,,国富强化收益债券A,450005,债券型,2008-10-24,至今,11年又355天,101.19%,97.47%,24|68
