,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,刘杰,2018-08-06,无,"刘杰先生:中国籍,工学学士,持有中国证券投资基金业从业证书,2004年7月至2010年11月在广发基金管理有限公司信息技术部工作,2010年11月至2014年3月任广发基金管理有限公司数量投资部数量投资研究员,2014年4月1日至2016年1月17日任广发沪深300指数基金的基金经理,2014年4月1日起任广发中证500ETF以及广发中证500ETF联接(LOF)基金的基金经理,2015年8月20日起任广发沪深300ETF基金的基金经理,2016年1月18日起任广发沪深300ETF联接基金的基金经理,2016年1月25日至2019年11月14日任广发中小板300ETF及联接基金、广发养老指数和广发环保指数基金的基金经理,2016年1月28日起任数量投资部总经理助理,2016年8月30日至2019年11月14日任广发中证军工ETF基金的基金经理,2016年9月26日起任广发中证军工ETF联接基金的基金经理,2017年1月25日至2019年11月14日起任广发中证环保ETF基金的基金经理,广发创业板交易型开放式指数证券投资基金基金经理(自2017年4月25日起任职)、广发创业板交易型开放式指数证券投资基金发起式联接基金基金经理(自2017年5月25日起任职)、广发纳斯达克生物科技指数型发起式证券投资基金基金经理(自2018年8月6日起任职)、广发全球医疗保健指数证券投资基金基金经理(自2018年8月6日起任职)、广发美国房地产指数证券投资基金基金经理(自2018年8月6日起任职)、广发纳斯达克100指数证券投资基金基金经理(自2018年8月6日起任职)、广发纳斯达克100交易型开放式指数证券投资基金基金经理(自2018年8月6日起任职)、广发标普全球农业指数证券投资基金基金经理(自2018年8月6日起任职)、广发道琼斯美国石油开发与生产指数证券投资基金(QDII-LOF)基金经理(自2018年8月6日起任职)、广发港股通恒生综合中型股指数证券投资基金(LOF)基金经理(自2018年8月6日起任职)、广发恒生中国企业精明指数型发起式证券投资基金(QDII)基金经理(自2019年5月9日起任职)、广发中证央企创新驱动交易型开放式指数证券投资基金基金经理(自2019年9月20日起任职)。广发中证央企创新驱动交易型开放式指数证券投资基金联接基金(自2019年11月6日起任职)。广发中证养老产业指数型发起式证券投资基金基金经理(自2016年1月25日至2019年11月14日任职)。广发中证环保产业交易型开放式指数证券投资基金发起式联接基金基金经理(自2018年4月26日至2019年11月14日任职)。2019年12月16日担任广发粤港澳大湾区创新100交易型开放式指数证券投资基金基金经理。2020年5月21日起担任广发粤港澳大湾区创新100交易型开放式指数证券投资基金联接基金基金经理。",广发湾创100ETF联接A,008100,联接基金,2020-05-21,至今,143天,12.41%,23.69%,1352|1514
1,,,,,广发湾创100ETF联接C,008101,联接基金,2020-05-21,至今,143天,12.36%,23.69%,1354|1514
2,,,,,广发粤港澳大湾区创新100ETF,159979,ETF-场内,2019-12-16,至今,300天,19.44%,31.84%,975|1286
3,,,,,广发央企创新驱动ETF联接A,007784,联接基金,2019-11-06,至今,340天,10.03%,34.99%,1112|1266
4,,,,,广发央企创新驱动ETF联接C,007785,联接基金,2019-11-06,至今,340天,9.92%,34.99%,1114|1266
5,,,,,广发央企创新ETF,515600,ETF-场内,2019-09-20,至今,1年又22天,-3.94%,35.47%,1227|1262
6,,,,,广发恒生中国企业(QDII)A,006778,QDII-指数,2019-05-09,至今,1年又156天,-6.38%,16.47%,186|240
7,,,,,广发恒生中国企业(QDII)C,006779,QDII-指数,2019-05-09,至今,1年又156天,-6.00%,16.47%,184|240
8,,,,,广发道琼斯石油指数美元现汇A,006679,QDII-指数,2019-01-28,至今,1年又257天,-37.63%,22.27%,214|226
9,,,,,广发道琼斯石油指数美元现汇C,006680,QDII-指数,2019-01-28,至今,1年又257天,-37.67%,22.27%,215|226
10,,,,,广发纳斯达克100指数C,006479,QDII-指数,2018-10-25,至今,1年又352天,54.68%,20.16%,40|216
11,,,,,广发纳斯达克100美元现汇C,006480,QDII-指数,2018-10-25,至今,1年又352天,57.66%,20.16%,34|216
12,,,,,广发纳斯达克100美元现汇A,000055,QDII-指数,2018-08-06,至今,2年又67天,48.25%,12.79%,28|210
13,,,,,广发美国房地产指数,000179,QDII-指数,2018-08-06,至今,2年又67天,-9.06%,12.79%,174|210
14,,,,,广发美国房地产指数现汇,000180,QDII-指数,2018-08-06,至今,2年又67天,-8.55%,12.79%,173|210
15,,,,,广发全球医疗保健(QDII),000369,QDII-指数,2018-08-06,至今,2年又67天,17.73%,12.79%,71|210
16,,,,,广发全球医疗保健美元,000370,QDII-指数,2018-08-06,至今,2年又67天,18.48%,12.79%,68|210
17,,,,,广发生物科技指数(QDII),001092,QDII-指数,2018-08-06,至今,2年又67天,7.32%,12.79%,129|210
18,,,,,广发生物科技指数美元,001093,QDII-指数,2018-08-06,至今,2年又67天,7.94%,12.79%,124|210
19,,,,,广发道琼斯石油指数人民币C,004243,QDII-指数,2018-08-06,至今,2年又67天,-51.17%,12.79%,199|210
20,,,,,广发恒生中型股指数C,004996,股票指数,2018-08-06,至今,2年又67天,7.94%,65.80%,892|938
21,,,,,广发纳斯达克100ETF,159941,QDII-ETF,2018-08-06,至今,2年又67天,44.00%,12.79%,37|210
22,,,,,广发道琼斯石油指数人民币A,162719,QDII-指数,2018-08-06,至今,2年又67天,-51.31%,12.79%,200|210
23,,,,,广发全球农业指数(QDII),270027,QDII-指数,2018-08-06,2019-11-09,1年又95天,6.91%,4.23%,101|216
24,,,,,广发纳斯达克100指数A,270042,QDII-指数,2018-08-06,至今,2年又67天,47.37%,12.79%,33|210
25,,,,,广发恒生中型股指数A,501303,股票指数,2018-08-06,至今,2年又67天,9.06%,65.80%,890|938
26,,,,,广发中证军工ETF联接C,005693,联接基金,2018-02-13,2019-11-14,1年又274天,1.19%,4.38%,500|840
27,,,,,广发量化稳健混合,004023,混合型,2017-08-04,2018-08-16,1年又12天,2.46%,-2.79%,670|2330
28,,,,,广发创业板ETF联接A,003765,联接基金,2017-05-25,至今,3年又140天,44.75%,56.74%,388|683
29,,,,,广发创业板ETF联接C,003766,联接基金,2017-05-25,至今,3年又140天,44.61%,56.74%,390|683
30,,,,,广发创业板ETF,159952,ETF-场内,2017-04-25,至今,3年又170天,55.31%,54.77%,279|678
31,,,,,广发中证环保ETF,512580,ETF-场内,2017-01-25,2019-11-14,2年又293天,-28.68%,13.93%,613|639
32,,,,,广发中证军工ETF联接A,003017,联接基金,2016-09-26,2019-11-14,3年又49天,-27.70%,15.72%,567|600
33,,,,,广发中证军工ETF,512680,ETF-场内,2016-08-30,2019-11-14,3年又76天,-26.98%,12.80%,554|599
34,,,,,广发养老指数C,002982,股票指数,2016-07-06,2019-11-14,3年又131天,-0.38%,15.17%,384|579
35,,,,,广发中证环保ETF联接C,002984,联接基金,2016-07-06,2019-11-14,3年又131天,-29.19%,15.17%,543|579
36,,,,,广发沪深300ETF联接C,002987,联接基金,2016-07-06,至今,4年又98天,52.70%,58.93%,281|568
37,,,,,广发中证500ETF联接C,002903,联接基金,2016-06-15,至今,4年又119天,11.51%,68.05%,508|559
38,,,,,广发养老指数A,000968,股票指数,2016-01-25,2019-11-14,3年又294天,4.82%,23.32%,354|536
39,,,,,广发中证环保ETF联接A,001064,联接基金,2016-01-25,2019-11-14,3年又294天,-24.43%,23.32%,505|536
40,,,,,广发中小板300ETF,159907,ETF-场内,2016-01-25,2019-11-14,3年又294天,-9.87%,23.32%,437|536
41,,,,,广发中小板300联接,270026,联接基金,2016-01-25,2019-11-14,3年又294天,-11.13%,23.32%,441|536
42,,,,,广发沪深300ETF,510360,ETF-场内,2015-08-20,至今,5年又54天,57.80%,43.12%,142|481
43,,,,,广发中证500ETF联接A,162711,联接基金,2014-04-01,至今,6年又195天,62.27%,143.24%,204|226
44,,,,,广发沪深300ETF联接A,270010,联接基金,2014-04-01,至今,6年又195天,131.76%,143.24%,120|226
