,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,刘涛,2016-05-27,无,"刘涛先生:国籍中国,金融学硕士,2013年4月加盟鹏华基金管理有限公司,从事债券投资研究工作,担任固定收益部债券研究员,现担任公募债券投资部副总经理/基金经理。2016年05月担任鹏华丰融定期开放债券基金基金经理,2016年05月至2018年08月担任鹏华国企债债券基金基金经理,2016年11月担任鹏华丰禄债券基金基金经理,2017年02月至2017年09月担任鹏华丰安债券基金基金经理,2017年02月至2018年06月担任鹏华丰达债券基金基金经理,2017年02月至2019年02月担任鹏华丰恒债券基金基金经理,2017年02月至2019年08月担任鹏华丰腾债券基金基金经理,2017年05月至2020年2月20日担任鹏华丰瑞债券基金基金经理,2017年05月担任鹏华普天债券基金基金经理,2018年03月至2019年08月担任鹏华弘盛混合基金基金经理,2018年03月至2018年12月担任鹏华实业债基金基金经理,2018年07月担任鹏华尊悦发起式定开债券基金基金经理,2018年10月至2019年11月担任鹏华3个月中短债基金基金经理,2018年12月担任鹏华永诚一年定期开放债券基金基金经理,2019年03月12日-2020年6月18日担任鹏华永融一年定期开放债券基金基金经理,2019年03月担任鹏华永润一年定期开放债券基金基金经理,2019年10月担任鹏华稳利短债基金基金经理。刘涛先生具备基金从业资格。2019年10月30日担任鹏华稳利短债债券型证券投资基金基金经理。2019年12月25日起担任鹏华尊泰一年定期开放债券型发起式证券投资基金基金经理。2020年6月11日起任鹏华普利债券型证券投资基金基金经理。2020年8月24日起鹏华年年红一年持有期债券型证券投资基金基金经理。",鹏华年年红一年持有期债券A,009920,债券型,2020-08-24,至今,48天,0.31%,-0.17%,217|2451
1,,,,,鹏华年年红一年持有期债券C,009921,债券型,2020-08-24,至今,48天,0.27%,-0.17%,286|2451
2,,,,,鹏华普利债券A,009483,债券型,2020-06-11,至今,122天,0.52%,1.33%,906|2300
3,,,,,鹏华普利债券C,009484,债券型,2020-06-11,至今,122天,0.42%,1.33%,990|2300
4,,,,,鹏华尊泰一年定开发起式债券,008493,定开债券,2019-12-25,至今,291天,3.08%,2.36%,59|321
5,,,,,鹏华稳利短债A,007515,债券型,2019-10-30,至今,347天,3.51%,5.11%,786|1893
6,,,,,鹏华稳利短债C,007956,债券型,2019-10-30,至今,347天,3.11%,5.11%,953|1893
7,,,,,鹏华永润一年定期开放债券,006956,定开债券,2019-03-21,至今,1年又205天,6.30%,5.81%,75|229
8,,,,,鹏华永融一年定期开放债券,006958,定开债券,2019-03-12,2020-06-18,1年又99天,6.12%,5.61%,77|222
9,,,,,鹏华永诚一年定开债券,000053,定开债券,2018-12-28,至今,1年又288天,9.58%,7.50%,95|533
10,,,,,鹏华3个月中短债A,006434,定开债券,2018-10-27,2019-11-20,1年又24天,4.42%,5.35%,186|250
11,,,,,鹏华3个月中短债C,006456,定开债券,2018-10-27,2019-11-20,1年又24天,3.90%,5.35%,215|250
12,,,,,鹏华尊悦3个月定开债,005831,定开债券,2018-07-13,至今,2年又91天,14.05%,10.99%,91|475
13,,,,,鹏华永诚一年定开债券,000053,定开债券,2018-03-28,2018-12-19,266天,7.75%,4.00%,3|150
14,,,,,鹏华弘盛混合A,001067,混合型,2018-03-28,2019-08-13,1年又138天,6.13%,2.28%,867|2442
15,,,,,鹏华弘盛混合C,001380,混合型,2018-03-28,2019-08-13,1年又138天,5.98%,2.28%,881|2442
16,,,,,鹏华普天债券A,160602,债券型,2017-05-24,至今,3年又141天,17.12%,18.10%,442|1038
17,,,,,鹏华普天债券B,160608,债券型,2017-05-24,至今,3年又141天,15.98%,18.10%,529|1038
18,,,,,鹏华丰瑞债券,004499,债券型,2017-05-12,2020-02-20,2年又284天,16.97%,16.16%,352|1080
19,,,,,鹏华丰安债券,003172,债券型,2017-02-04,2017-09-06,214天,6.51%,1.99%,37|1032
20,,,,,鹏华丰达债券,003209,债券型,2017-02-04,2018-06-28,1年又144天,1.75%,2.76%,715|970
21,,,,,鹏华丰恒债券,003280,债券型,2017-02-04,2019-02-27,2年又23天,8.16%,8.13%,533|924
22,,,,,鹏华丰腾债券,003527,债券型,2017-02-04,2019-08-13,2年又190天,9.28%,9.87%,586|922
23,,,,,鹏华丰禄债券,003547,债券型,2016-11-17,至今,3年又329天,26.89%,15.34%,59|775
24,,,,,鹏华国企债债券,000007,债券型,2016-05-27,2018-08-08,2年又73天,-6.20%,5.17%,653|682
25,,,,,鹏华丰融定开债,000345,定开债券,2016-05-27,至今,4年又138天,45.45%,18.29%,1|170
