,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,叶乐天,2014-01-27,无,"叶乐天先生:金融工程及指数投资部副总经理,硕士。2008年5月至2011年9月就职于中国国际金融有限公司,历任市场风险管理分析员、量化分析经理,从事风险模型、量化研究与投资。2011年9月加入建信基金管理有限责任公司,历任基金经理助理、基金经理、金融工程及指数投资部总经理助理、副总经理,2012年3月21日至2016年7月20日任上证社会责任交易型开放式指数证券投资基金及其联接基金的基金经理;2013年3月28日起任建信央视财经50指数分级发起式证券投资基金的基金经理;2014年1月27日起任建信中证500指数增强型证券投资基金的基金经理;2015年8月26日起任建信精工制造指数增强型证券投资基金的基金经理;2016年8月9日起任建信多因子量化股票型证券投资基金的基金经理;2017年4月18日起任建信民丰回报定期开放混合型证券投资基金的基金经理;2017年5月22日起任建信鑫荣回报灵活配置混合型证券投资基金的基金经理;2018年1月10日起任建信鑫利回报灵活配置混合型证券投资基金的基金经理;2018年8月24日起任建信量化优享定期开放灵活配置混合型证券投资基金的基金经理;2018年11月22日起任建信中证1000指数增强型发起式证券投资基金的基金经理。2019年11月13日担任建信MSCI中国A股指数增强型证券投资基金基金经理。",建信MSCI中国A股指数增强A,007806,股票指数,2019-11-13,至今,333天,37.01%,37.04%,602|1271
1,,,,,建信MSCI中国A股指数增强C,007807,股票指数,2019-11-13,至今,333天,36.54%,37.04%,617|1271
2,,,,,建信中证1000指数增强A,006165,股票指数,2018-11-22,至今,1年又324天,86.46%,72.05%,293|990
3,,,,,建信中证1000指数增强C,006166,股票指数,2018-11-22,至今,1年又324天,85.09%,72.05%,300|990
4,,,,,建信量化优享定开混合,004546,混合型,2018-08-24,至今,2年又49天,29.07%,61.78%,1981|2715
5,,,,,建信中证500指数增强C,005633,股票指数,2018-03-16,至今,2年又210天,10.49%,39.28%,705|857
6,,,,,建信鑫利回报灵活配置混合A,004652,混合型,2018-01-10,至今,2年又275天,30.14%,44.49%,1317|2271
7,,,,,建信鑫利回报灵活配置混合C,004653,混合型,2018-01-10,至今,2年又275天,31.95%,44.49%,1264|2271
8,,,,,建信鑫荣回报灵活配置混合,001498,混合型,2017-05-22,至今,3年又143天,90.44%,63.45%,493|1995
9,,,,,建信民丰回报混合,004413,混合型,2017-04-18,至今,3年又177天,20.16%,60.94%,1731|1950
10,,,,,建信多因子量化股票,002952,股票型,2016-08-09,至今,4年又64天,38.38%,58.01%,357|580
11,,,,,建信精工制造指数增强,001397,股票指数,2015-08-26,至今,5年又48天,63.79%,77.67%,261|487
12,,,,,建信中证500指数增强A,000478,股票指数,2014-01-27,至今,6年又259天,165.57%,137.43%,60|224
13,,,,,建信央视50A,150123,固定收益,2013-03-28,至今,7年又199天,61.09%,89.61%,6|22
14,,,,,建信央视50B,150124,分级杠杆,2013-03-28,至今,7年又199天,269.21%,89.61%,2|22
15,,,,,建信央视50,165312,股票指数,2013-03-28,至今,7年又199天,177.65%,129.79%,37|194
16,,,,,建信责任ETF,510090,ETF-场内,2012-03-21,2016-07-20,4年又122天,46.62%,46.35%,58|151
17,,,,,建信上证社会责任ETF联接,530010,联接基金,2012-03-21,2016-07-20,4年又122天,43.60%,46.35%,63|151
