,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,吴兴武,2020-01-07,无,"吴兴武先生:中国籍,理学硕士,持有中国证券投资基金业从业证书,曾任摩根士丹利华鑫基金管理有限公司研究员,广发基金管理有限公司研究发展部、权益投资一部研究员、广发多元新兴股票型证券投资基金基金经理(自2017年4月25日至2019年4月16日)、广发核心精选混合型证券投资基金基金经理(自2015年2月17日至2020年2月10日)、广发鑫瑞混合型证券投资基金(LOF)基金经理(自2019年4月16日至2020年7月29日)、广发再融资主题灵活配置混合型证券投资基金(LOF)基金经理(自2019年4月16日至2020年7月31日)。现任广发轮动配置混合型证券投资基金基金经理(自2015年2月12日起任职)、广发医疗保健股票型证券投资基金基金经理(自2018年10月16日起任职)、广发主题领先灵活配置混合型证券投资基金基金经理(自2020年1月7日起任职)。",广发医药健康混合A,010110,混合型,2020-09-18,至今,23天,,,-|-
1,,,,,广发医药健康混合C,010111,混合型,2020-09-18,至今,23天,,,-|-
2,,,,,广发医疗保健股票C,009163,股票型,2020-03-18,至今,207天,65.95%,34.91%,50|1429
3,,,,,广发主题领先混合,000477,混合型,2020-01-07,至今,278天,46.65%,28.41%,552|3124
4,,,,,广发再融资主题,162717,混合型,2019-04-16,2020-07-31,1年又107天,37.60%,44.09%,1453|2871
5,,,,,广发鑫瑞混合(LOF),162718,混合型,2019-04-16,2020-04-28,1年又13天,1.24%,14.87%,2535|2875
6,,,,,广发医疗保健股票A,004851,股票型,2018-10-16,至今,1年又361天,219.78%,82.96%,2|967
7,,,,,广发多元新兴股票,003745,股票型,2017-04-25,2019-04-16,1年又356天,-1.40%,11.00%,534|696
8,,,,,广发核心精选混合,270008,混合型,2015-02-17,2020-02-10,4年又359天,41.65%,51.60%,431|797
9,,,,,广发轮动配置混合,000117,混合型,2015-02-12,至今,5年又243天,151.99%,109.14%,181|763
