,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,吴剑毅,2019-01-25,无,"吴剑毅先生:清华大学金融学硕士,具有基金从业资格。2009年7月加入南方基金,任南方基金研究部金融行业研究员;2012年3月15日至2014年7月18日,担任南方避险、南方保本基金经理助理;2015年11月26日至2017年12月2日,任南方顺康保本基金经理;2014年7月18日至2018年1月16日,任南方恒元基金经理;2015年9月11日至2018年11月28日,任南方消费活力基金经理;2015年10月28日至2018年11月3日,任南方顺达保本基金经理;2017年8月3日至2019年1月25日,任南方金融混合基金经理;2015年5月21日至今,任南方利众基金经理;2015年7月8日至今,任南方利达基金经理;2015年11月19日至今,任南方利安基金经理;2016年12月14日至今,任南方安颐混合基金经理;2017年11月2日至今,任南方安福混合基金经理;2017年12月2日至2020年5月15日任南方顺康混合基金经理;2018年2月6日至2020年5月15日任南方安养混合基金经理;2018年11月3日至今,任南方中小盘成长股票基金经理;2019年1月25日至今,任南方新蓝筹混合基金经理。2020年4月29日起担任南方誉慧一年持有期混合型证券投资基金基金经理。",南方誉鼎一年持有期混合A,010006,混合型,2020-09-29,至今,12天,,,-|-
1,,,,,南方誉鼎一年持有期混合C,010007,混合型,2020-09-29,至今,12天,,,-|-
2,,,,,南方誉慧一年混合A,009296,混合型,2020-04-29,至今,165天,4.07%,24.96%,3072|3299
3,,,,,南方誉慧一年混合C,009297,混合型,2020-04-29,至今,165天,3.79%,24.96%,3090|3299
4,,,,,南方安福混合C,007569,混合型,2019-06-26,至今,1年又108天,15.38%,52.90%,2558|2909
5,,,,,南方新蓝筹混合,000327,混合型,2019-01-25,至今,1年又260天,93.49%,69.75%,871|2849
6,,,,,南方安养混合,005397,混合型,2018-02-06,2020-05-15,2年又99天,13.30%,22.98%,1420|2343
7,,,,,南方安福混合A,005059,混合型,2017-11-02,至今,2年又344天,24.40%,47.67%,1596|2184
8,,,,,南方金融混合,004702,混合型,2017-08-03,2019-01-25,1年又175天,-16.90%,-7.22%,1609|2131
9,,,,,南方安颐混合,003476,混合型,2016-12-14,至今,3年又302天,23.80%,66.69%,1503|1733
10,,,,,南方核心竞争混合,202213,混合型,2016-10-10,2017-01-26,108天,-2.25%,-2.23%,1085|1760
11,,,,,南方顺康混合,002167,混合型,2015-11-26,2020-05-15,4年又172天,20.71%,25.40%,668|1201
12,,,,,南方利安A,001570,混合型,2015-11-19,至今,4年又328天,29.00%,56.99%,871|1184
13,,,,,南方利安C,001580,混合型,2015-11-19,至今,4年又328天,28.80%,56.99%,875|1184
14,,,,,南方中小盘成长股票,000326,股票型,2015-10-28,至今,4年又350天,83.29%,52.54%,106|510
15,,,,,南方消费活力,001772,混合型,2015-09-11,至今,5年又32天,26.31%,0.98%,90|1130
16,,,,,南方利达A,001566,混合型,2015-07-08,至今,5年又97天,41.40%,85.33%,773|1020
17,,,,,南方利达C,001567,混合型,2015-07-08,至今,5年又97天,41.20%,85.33%,775|1020
18,,,,,南方利众C,001505,混合型,2015-06-18,至今,5年又117天,51.99%,34.39%,274|970
19,,,,,南方利众A,001335,混合型,2015-05-21,至今,5年又145天,49.31%,36.30%,296|872
20,,,,,南方中证100指数A,202211,股票指数,2014-07-18,2018-01-16,3年又183天,34.62%,91.00%,253|269
