,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,吴向军,2013-04-26,无,"吴向军先生:硕士研究生。2004年6月至2007年6月在美国Avera Global Partners工作,担任股票分析师;2007年6月至2011年4月美国Security Global Investors 工作,担任高级分析师。2011年5月起加盟国泰基金管理有限公司,2013年4月起任国泰中国企业境外高收益债券型证券投资基金的基金经理,2013年8月至2017年12月兼任国泰美国房地产开发股票型证券投资基金的基金经理,2015年7月起任国泰纳斯达克100指数证券投资基金和国泰大宗商品配置证券投资基金(LOF)的基金经理,2015年12月起任国泰全球绝对收益型基金优选证券投资基金的基金经理,2017年9月起兼任国泰中国企业信用精选债券型证券投资基金(QDII)的基金经理,2018年5月起兼任纳斯达克100交易型开放式指数证券投资基金的基金经理。2015年8月至2016年6月任国际业务部副总监,2016年6月至2018年7月任国际业务部副总监(主持工作),2017年7月起任海外投资总监,2018年7月起任国际业务部总监。",国泰恒生港股通指数(LOF),501309,股票指数,2018-11-06,至今,1年又340天,9.80%,72.85%,931|979
1,,,,,国泰纳斯达克100ETF,513100,QDII-ETF,2018-05-31,至今,2年又134天,70.69%,13.36%,8|203
2,,,,,国泰企业信用精选A人民币,004161,QDII,2017-09-13,至今,3年又29天,12.26%,19.01%,92|185
3,,,,,国泰企业信用精选A美元现汇,004162,QDII,2017-09-13,至今,3年又29天,7.15%,19.01%,114|185
4,,,,,国泰企业信用精选A美元现钞,004163,QDII,2017-09-13,至今,3年又29天,7.15%,19.01%,114|185
5,,,,,国泰企业信用精选C人民币,004164,QDII,2017-09-13,至今,3年又29天,10.71%,19.01%,97|185
6,,,,,国泰全球绝对收益美元现钞,001934,QDII,2015-12-03,至今,4年又314天,-3.40%,45.21%,104|117
7,,,,,国泰全球绝对收益美元现汇,001935,QDII,2015-12-03,至今,4年又314天,-3.40%,45.21%,104|117
8,,,,,国泰全球绝对收益人民币,001936,QDII,2015-12-03,至今,4年又314天,2.90%,45.21%,99|117
9,,,,,国泰纳斯达克100指数,160213,QDII-指数,2015-07-14,至今,5年又91天,177.75%,42.70%,1|112
10,,,,,国泰大宗商品,160216,QDII,2015-07-14,至今,5年又91天,-68.52%,42.70%,111|112
11,,,,,国泰美国房地产开发股票,000193,QDII,2013-08-07,2017-12-20,4年又136天,48.40%,32.31%,22|80
12,,,,,国泰中国企业境外高收益债,000103,QDII,2013-04-26,至今,7年又170天,39.53%,51.24%,34|72
