,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,吴振翔,2013-11-06,无,"吴振翔先生:中国科学技术大学管理学博士,中国科学院数学与系统科学院应用数学专业博士后。国籍中国,曾任长盛基金管理有限公司金融工程研究员、上投摩根基金管理有限公司产品开发高级经理。2008年3月加入汇添富基金管理股份有限公司,历任产品开发高级经理、数量投资高级分析师、基金经理助理,任指数与量化投资部副总监。2010年2月5日至今任汇添富上证综合指数基金的基金经理,2011年9月16日至2013年11月7日任汇添富深证300ETF基金的基金经理,2011年9月28日至2013年11月7日任汇添富深证300ETF基金联接基金的基金经理,2013年8月23日至2015年11月2日任中证主要消费ETF基金、中证医药卫生ETF基金、中证能源ETF基金、中证金融地产ETF基金的基金经理,2013年11月6日至今任汇添富沪深300安中指数基金的基金经理,2015年2月16日至今任汇添富成长多因子股票基金的基金经理,2015年3月24日至今任汇添富主要消费ETF联接基金的基金经理,2016年1月21日至今任汇添富中证精准医指数基金的基金经理,2016年7月28日至今任中证上海国企ETF的基金经理,2016年12月22日至今任汇添富中证互联网医疗指数(LOF)的基金经理,2017年8月10日至今任汇添富中证500指数(LOF)的基金经理,2018年3月23日至今任添富价值多因子股票的基金经理,2019年7月26日至今任添富中证长三角ETF的基金经理。2019年11月6日起担任汇添富中证国企一带一路交易型开放式指数证券投资基金基金经理。2020年02月05月担任汇添富中证国企一带一路交易型开放式指数证券投资基金联接基金基金经理。",添富中证国企一带一路ETF联接A,008907,联接基金,2020-03-05,至今,220天,15.98%,17.90%,782|1423
1,,,,,添富中证国企一带一路ETF联接C,008908,联接基金,2020-03-05,至今,220天,15.77%,17.90%,795|1423
2,,,,,添富中证国企一带一路ETF,515990,ETF-场内,2019-11-06,至今,340天,7.10%,34.99%,1145|1266
3,,,,,汇添富中证长三角ETF联接A,007839,联接基金,2019-09-24,至今,1年又18天,19.24%,36.16%,1003|1241
4,,,,,汇添富中证长三角ETF联接C,007840,联接基金,2019-09-24,至今,1年又18天,18.86%,36.16%,1008|1241
5,,,,,添富中证长三角ETF,512650,ETF-场内,2019-07-26,至今,1年又78天,16.27%,43.65%,1023|1205
6,,,,,汇添富价值多因子股票,005530,股票型,2018-03-23,至今,2年又203天,57.50%,45.23%,238|865
7,,,,,汇添富中证500A,501036,股票指数,2017-08-10,至今,3年又63天,8.15%,46.94%,638|732
8,,,,,汇添富中证500C,501037,股票指数,2017-08-10,至今,3年又63天,7.41%,46.94%,645|732
9,,,,,汇添富中证互联网医疗指数A,501007,股票指数,2016-12-22,至今,3年又294天,27.51%,57.63%,457|626
10,,,,,汇添富中证互联网医疗指数C,501008,股票指数,2016-12-22,至今,3年又294天,26.18%,57.63%,466|626
11,,,,,汇添富中证上海国企ETF,510810,ETF-场内,2016-07-28,至今,4年又76天,-7.22%,59.66%,552|570
12,,,,,汇添富中证精准医疗指数A,501005,股票指数,2016-01-21,至今,4年又265天,72.90%,73.06%,215|526
13,,,,,汇添富中证精准医疗指数C,501006,股票指数,2016-01-21,至今,4年又265天,69.94%,73.06%,232|526
14,,,,,汇添富中证主要消费ETF联接,000248,联接基金,2015-03-24,至今,5年又203天,192.72%,46.10%,7|313
15,,,,,汇添富成长多因子量化策略股票,001050,股票型,2015-02-16,至今,5年又239天,69.10%,65.92%,105|298
16,,,,,汇添富沪深300安中指数,000368,股票指数,2013-11-06,至今,6年又341天,113.72%,128.53%,116|213
17,,,,,汇添富中证主要消费ETF,159928,ETF-场内,2013-08-23,2015-11-02,2年又71天,34.45%,52.55%,197|231
18,,,,,汇添富中证医药卫生ETF,159929,ETF-场内,2013-08-23,2015-11-02,2年又71天,47.25%,52.55%,149|231
19,,,,,汇添富中证能源ETF,159930,ETF-场内,2013-08-23,2015-11-02,2年又71天,-10.02%,52.55%,230|231
20,,,,,汇添富中证金融地产ETF,159931,ETF-场内,2013-08-23,2015-11-02,2年又71天,44.23%,52.55%,161|231
21,,,,,汇添富深证300ETF联接,470068,联接基金,2011-09-28,2013-11-07,2年又41天,-3.71%,-4.61%,49|132
22,,,,,汇添富深证300ETF,159912,ETF-场内,2011-09-16,2013-11-07,2年又53天,-11.17%,-8.47%,82|137
23,,,,,汇添富上证综合指数,470007,股票指数,2010-02-06,至今,10年又250天,44.14%,92.86%,48|52
