,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,周华,2018-10-27,无,"周华先生:香港大学金融学硕士。曾任泰康资产管理有限责任公司第三方投资部固定收益投资总监,景顺长城基金管理有限公司投资经理、信用研究员、债券交易员,第一创业证券股份有限公司债券交易员;2018年6月加入光大保德信基金管理有限公司,任职固定收益部投资副总监一职。2018年8月至2019年12月担任光大保德信永利纯债债券型证券投资基金的基金经理,2018年8月至今担任光大保德信晟利债券型证券投资基金、光大保德信安诚债券型证券投资基金的基金经理,2018年9月至今担任光大保德信安泽债券型证券投资基金的基金经理,2018年10月至今担任光大保德信安和债券型证券投资基金、光大保德信岁末红利纯债债券型证券投资基金的基金经理,2018年10月至2019年11月担任光大保德信信用添益债券型证券投资基金的基金经理,2018年11月至2019年12月担任光大保德信多策略精选18个月定期开放灵活配置混合型证券投资基金的基金经理,2019年8月至2020年8月担任光大保德信尊丰纯债定期开放债券型发起式证券投资基金的基金经理,2020年6月至今担任光大保德信裕鑫混合型证券投资基金的基金经理。",光大尊裕纯债一年定开债,009452,定开债券,2020-09-17,至今,24天,0.08%,0.14%,361|431
1,,,,,光大保德信裕鑫混合A,009440,混合型,2020-06-11,至今,122天,8.03%,17.80%,2721|3435
2,,,,,光大保德信裕鑫混合C,009441,混合型,2020-06-11,至今,122天,7.82%,17.80%,2749|3435
3,,,,,光大保德信尊丰纯债定开债,005426,定开债券,2019-08-01,2020-08-14,1年又14天,2.89%,4.11%,211|251
4,,,,,光大保德信多策略精选混合,005444,混合型,2018-11-10,2019-12-23,1年又43天,10.95%,24.26%,2128|2850
5,,,,,光大岁末红利纯债A,000489,债券型,2018-10-27,至今,1年又350天,7.48%,12.49%,817|1329
6,,,,,光大岁末红利纯债C,000490,债券型,2018-10-27,至今,1年又350天,6.76%,12.49%,953|1329
7,,,,,光大安和债券A,003109,债券型,2018-10-27,至今,1年又350天,17.63%,12.49%,238|1329
8,,,,,光大安和债券C,003110,债券型,2018-10-27,至今,1年又350天,17.02%,12.49%,249|1329
9,,,,,光大信用添益债券A,360013,债券型,2018-10-27,2019-11-05,1年又9天,5.03%,6.62%,608|1359
10,,,,,光大信用添益债券C,360014,债券型,2018-10-27,2019-11-05,1年又9天,4.54%,6.62%,742|1359
11,,,,,光大保德信安泽债券A,005656,债券型,2018-09-15,至今,2年又27天,17.95%,12.54%,211|1334
12,,,,,光大保德信安泽债券C,005657,债券型,2018-09-15,至今,2年又27天,16.96%,12.54%,239|1334
13,,,,,光大保德信永利纯债A,003195,债券型,2018-08-18,2019-12-23,1年又127天,5.26%,8.17%,1013|1275
14,,,,,光大保德信永利纯债C,003196,债券型,2018-08-18,2019-12-23,1年又127天,4.72%,8.17%,1098|1275
15,,,,,光大保德信安诚债券A,003197,债券型,2018-08-18,至今,2年又55天,11.82%,13.08%,452|1251
16,,,,,光大保德信安诚债券C,003198,债券型,2018-08-18,至今,2年又55天,12.29%,13.08%,425|1251
17,,,,,光大保德信晟利债券A,005579,债券型,2018-08-10,至今,2年又63天,8.07%,12.43%,819|1277
18,,,,,光大保德信晟利债券C,005580,债券型,2018-08-10,至今,2年又63天,6.76%,12.43%,1064|1277
