,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,周益鸣,2018-06-08,无,"周益鸣先生:硕士研究生。曾任太平资产管理有限公司交易员。2010年6月加入华安基金,历任集中交易部交易员、固定收益部基金经理助理。2018年6月起,担任华安年年红定期开放债券型证券投资基金的基金经理。2019年3月起,同时担任华安安盛3个月定期开放债券型发起式证券投资基金的基金经理。2019年7月起,同时担任华安安业债券型证券投资基金的基金经理。2019年11月起,同时担任华安安和债券型证券投资基金的基金经理。2019年12月起,同时担任华安新优选灵活配置混合型证券投资基金的基金经理。2020年4月起,同时担任华安安敦债券型证券投资基金的基金经理。2020年6月22日起担任华安添瑞6个月持有期混合型证券投资基金基金经理。",华安添福18个月混合A,009409,混合型,2020-09-29,至今,12天,,,-|-
1,,,,,华安添福18个月混合C,009410,混合型,2020-09-29,至今,12天,,,-|-
2,,,,,华安添瑞6个月混合A,009400,混合型,2020-06-22,至今,111天,4.79%,14.39%,2986|3461
3,,,,,华安添瑞6个月混合C,009401,混合型,2020-06-22,至今,111天,4.64%,14.39%,3002|3461
4,,,,,华安安敦债券A,008426,债券型,2020-04-17,至今,177天,-2.20%,0.53%,1964|2212
5,,,,,华安安敦债券C,008427,债券型,2020-04-17,至今,177天,-0.34%,0.53%,1026|2212
6,,,,,华安新优选灵活配置混合A,001312,混合型,2019-12-10,至今,306天,15.34%,35.25%,2377|3090
7,,,,,华安新优选灵活配置混合C,002144,混合型,2019-12-10,至今,306天,15.39%,35.25%,2372|3090
8,,,,,华安安和债券A,007167,债券型,2019-11-19,至今,327天,2.37%,4.55%,1204|1927
9,,,,,华安安和债券C,007168,债券型,2019-11-19,至今,327天,2.50%,4.55%,1119|1927
10,,,,,华安安业债券A,006953,债券型,2019-07-31,至今,1年又73天,23.97%,6.19%,53|1765
11,,,,,华安安业债券C,006954,债券型,2019-07-31,至今,1年又73天,23.84%,6.19%,55|1765
12,,,,,华安安盛3个月定开债,006936,定开债券,2019-03-04,至今,1年又222天,5.48%,6.13%,290|550
13,,,,,华安年年红债券A,000227,定开债券,2018-06-08,至今,2年又126天,19.95%,11.87%,17|453
14,,,,,华安年年红债券C,001994,定开债券,2018-06-08,至今,2年又126天,18.54%,11.87%,27|453
