,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,唐瑭,2016-05-27,无,"唐瑭女士:英国爱丁堡大学硕士,2008年2月至2010年4月任JPMorgan(EMEA)分析师,2011年3月加入上投摩根基金管理有限公司,先后担任研究员、基金经理助理、基金经理,自2015年5月至2019年1月担任上投摩根岁岁盈定期开放债券型证券投资基金基金经理,自2015年12月11日至2020年5月13日担任上投摩根强化回报债券型证券投资基金基金经理,自2015年12月至2018年11月担任上投摩根轮动添利债券型证券投资基金基金经理,自2016年5月起同时担任上投摩根双债增利债券型证券投资基金基金经理,自2016年6月起同时担任上投摩根分红添利债券型证券投资基金及上投摩根纯债添利债券型证券投资基金基金经理,2016年8月至2018年12月担任上投摩根岁岁丰定期开放债券型证券投资基金基金经理,自2017年1月起同时担任上投摩根安丰回报混合型证券投资基金基金经理,2017年1月至2018年12月担任上投摩根安泽回报混合型证券投资基金基金经理,自2018年2月8日至2020年5月13日担任上投摩根安隆回报混合型证券投资基金基金经理,2018年2月至9月担任上投摩根安腾回报混合型证券投资基金基金经理,自2019年4月起同时担任上投摩根优信增利债券型证券投资基金和上投摩根安鑫回报混合型证券投资基金基金经理。",上投摩根瑞利纯债A,007503,债券型,2019-08-28,至今,1年又45天,4.09%,5.50%,646|1801
1,,,,,上投摩根瑞利纯债C,007504,债券型,2019-08-28,至今,1年又45天,2.83%,5.50%,1171|1801
2,,,,,上投摩根优信增利债券A,000616,债券型,2019-04-12,2020-09-25,1年又167天,3.18%,6.81%,1482|1648
3,,,,,上投摩根优信增利债券C,000617,债券型,2019-04-12,2020-09-25,1年又167天,2.62%,6.81%,1544|1648
4,,,,,上投摩根安鑫回报A,001947,混合型,2019-04-12,至今,1年又183天,5.34%,45.78%,2843|2946
5,,,,,上投摩根安鑫回报C,002845,混合型,2019-04-12,至今,1年又183天,4.55%,45.78%,2869|2946
6,,,,,上投安腾回报混合A,004778,混合型,2018-02-27,2018-07-19,142天,1.13%,-4.58%,335|2586
7,,,,,上投安腾回报混合C,004779,混合型,2018-02-27,2018-07-19,142天,0.68%,-4.58%,429|2586
8,,,,,上投摩根安隆回报A,004738,混合型,2018-02-08,2020-05-13,2年又95天,17.38%,25.43%,1282|2339
9,,,,,上投摩根安隆回报C,004739,混合型,2018-02-08,2020-05-13,2年又95天,16.49%,25.43%,1348|2339
10,,,,,上投安丰回报A,004144,混合型,2017-01-18,至今,3年又267天,34.60%,67.84%,1330|1819
11,,,,,上投安丰回报C,004145,混合型,2017-01-18,至今,3年又267天,27.52%,67.84%,1500|1819
12,,,,,上投安泽回报混合A,004146,混合型,2017-01-18,2018-10-30,1年又285天,22.95%,-4.56%,25|1897
13,,,,,上投安泽回报混合C,004147,混合型,2017-01-18,2018-10-30,1年又285天,16.51%,-4.56%,56|1897
14,,,,,上投摩根岁岁丰定开债券A,003087,定开债券,2016-08-26,2018-09-19,2年又24天,0.40%,3.31%,85|114
15,,,,,上投摩根岁岁丰定开债券C,003088,定开债券,2016-08-26,2018-09-19,2年又24天,-0.40%,3.31%,90|114
16,,,,,上投摩根纯债添利债券A,000889,债券型,2016-06-03,至今,4年又131天,15.62%,18.44%,386|654
17,,,,,上投摩根纯债添利债券C,000890,债券型,2016-06-03,至今,4年又131天,10.27%,18.44%,571|654
18,,,,,上投摩根分红添利债券A,370021,债券型,2016-06-03,至今,4年又131天,9.38%,18.44%,584|654
19,,,,,上投摩根分红添利债券B,370022,债券型,2016-06-03,至今,4年又131天,7.39%,18.44%,608|654
20,,,,,上投摩根双债增利债券A,000377,债券型,2016-05-27,至今,4年又138天,15.11%,18.88%,424|649
21,,,,,上投摩根双债增利债券C,000378,债券型,2016-05-27,至今,4年又138天,12.87%,18.88%,510|649
22,,,,,上投摩根轮动添利债券A,370025,债券型,2015-12-11,2018-09-22,2年又286天,3.82%,3.89%,385|595
23,,,,,上投摩根轮动添利债券C,370026,债券型,2015-12-11,2018-09-22,2年又286天,2.70%,3.89%,422|595
24,,,,,上投摩根强化回报债券A,372010,债券型,2015-12-11,2020-05-13,4年又155天,12.94%,15.72%,416|573
25,,,,,上投摩根强化回报债券B,372110,债券型,2015-12-11,2020-05-13,4年又155天,11.17%,15.72%,442|573
26,,,,,上投摩根岁岁盈定开债A,000257,定开债券,2015-05-19,2018-11-09,3年又175天,9.12%,12.60%,57|75
27,,,,,上投摩根岁岁盈定开债C,000258,定开债券,2015-05-19,2018-11-09,3年又175天,7.78%,12.60%,60|75
28,,,,,上投摩根岁岁盈定开债B,000765,定开债券,2015-05-19,2018-11-09,3年又175天,-3.27%,12.60%,70|75
29,,,,,上投摩根岁岁盈定开债D,000766,定开债券,2015-05-19,2018-11-09,3年又175天,-3.47%,12.60%,71|75
