,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,姚姣姣,2017-09-12,无,"姚姣姣女士:中国国籍,复旦大学金融学研究生学历、硕士学位。先后任职于广发银行股份有限公司、上海农商银行股份有限公司,从事交易管理工作。2016年11月加入华富基金管理有限公司,现任华富货币市场基金基金经理、华富天益货币市场基金基金经理、华富天盈货币市场基金基金经理、华富恒稳纯债债券型基金基金经理、华富恒富18个月定期开放债券型证券投资基金基金经理。",华富恒欣纯债债券A,006636,债券型,2019-05-06,至今,1年又159天,3.40%,8.10%,1468|1644
1,,,,,华富恒欣纯债债券C,006637,债券型,2019-05-06,至今,1年又159天,2.19%,8.10%,1580|1644
2,,,,,华富恒富分级债券,000500,债券型,2017-09-12,2017-11-21,70天,0.30%,0.54%,555|1313
3,,,,,华富恒富18个月定开债C,000501,定开债券,2017-09-12,至今,3年又30天,23.37%,14.80%,11|330
4,,,,,华富恒富18个月定开债A,000502,定开债券,2017-09-12,至今,3年又30天,25.10%,14.80%,7|330
5,,,,,华富货币B,003994,货币型,2017-05-31,2019-06-20,2年又20天,7.32%,7.33%,305|575
6,,,,,华富天盈货币A,004285,货币型,2017-03-14,2019-06-20,2年又98天,7.73%,8.17%,417|543
7,,,,,华富天盈货币B,004286,货币型,2017-03-14,2019-06-20,2年又98天,8.33%,8.17%,230|543
8,,,,,华富天益货币A,004198,货币型,2017-01-25,至今,3年又260天,11.00%,11.71%,404|524
9,,,,,华富天益货币B,004199,货币型,2017-01-25,至今,3年又260天,12.00%,11.71%,211|524
10,,,,,华富恒稳纯债债券A,000898,债券型,2017-01-04,至今,3年又281天,14.41%,17.15%,536|863
11,,,,,华富恒稳纯债债券C,000899,债券型,2017-01-04,至今,3年又281天,12.63%,17.15%,654|863
12,,,,,华富货币A,410002,货币型,2017-01-04,2019-06-20,2年又167天,8.28%,8.83%,409|511
