,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,王立,2014-09-03,无,"王立女士:中国国籍,经济学硕士。曾任职于申银万国证券股份有限公司、南京市商业银行资金营运中心。2005年4月加入大成基金管理有限公司,曾任大成货币市场基金基金经理助理。2007年1月12日至2014年12月23日担任大成货币市场证券投资基金基金经理。2009年5月23日起兼任大成债券投资基金基金经理。2012年11月20日至2014年4月4日任大成现金增利货币市场基金基金经理。2013年2月1日至2015年5月25日任大成月添利理财债券型证券投资基金基金经理。2013年7月23日至2015年5月25日任大成景旭纯债债券型证券投资基金基金经理。2014年9月3日起任大成景兴信用债债券型证券投资基金基金经理。2014年9月3日起任大成景丰债券型证券投资基金(LOF)基金经理。2016年2月3日起任大成慧成货币市场基金基金经理。现任固定收益总部总监、固定收益投资决策委员会委员兼公募投资部总监助理。具有基金从业资格。",大成景尚灵活配置混合A,003692,混合型,2018-11-12,至今,1年又334天,20.19%,69.67%,2356|2667
1,,,,,大成景尚灵活配置混合C,003693,混合型,2018-11-12,至今,1年又334天,19.95%,69.67%,2367|2667
2,,,,,大成慧成货币A,002200,货币型,2016-02-03,2018-04-02,2年又59天,7.32%,7.34%,215|390
3,,,,,大成慧成货币B,002201,货币型,2016-02-03,2018-04-02,2年又59天,7.86%,7.34%,68|390
4,,,,,大成慧成货币E,002202,货币型,2016-02-03,2018-04-02,2年又59天,6.05%,7.12%,377|392
5,,,,,大成景兴信用债债券A,000130,债券型,2014-09-03,至今,6年又40天,55.63%,45.53%,105|463
6,,,,,大成景兴信用债债券C,000131,债券型,2014-09-03,至今,6年又40天,52.36%,45.53%,130|463
7,,,,,大成景旭纯债债券A,000152,债券型,2013-07-23,2015-05-25,1年又306天,17.70%,33.60%,278|410
8,,,,,大成景旭纯债债券C,000153,债券型,2013-07-23,2015-05-25,1年又306天,17.10%,33.60%,286|410
9,,,,,大成月添利债券A,090021,债券型,2013-02-01,2015-05-25,2年又113天,,34.17%,295|341
10,,,,,大成月添利债券B,091021,债券型,2013-02-01,2015-05-25,2年又113天,,34.17%,291|341
11,,,,,大成现金增利货币A,090022,货币型,2012-11-20,2014-04-04,1年又135天,5.82%,5.56%,46|89
12,,,,,大成现金增利货币B,091022,货币型,2012-11-20,2014-04-04,1年又135天,6.17%,5.56%,18|89
13,,,,,大成债券A/B,090002,债券型,2009-05-23,至今,11年又144天,111.10%,84.82%,13|91
14,,,,,大成债券C,092002,债券型,2009-05-23,至今,11年又144天,103.34%,84.82%,15|91
15,,,,,大成货币A,090005,货币型,2007-01-12,2014-12-23,7年又347天,28.18%,29.24%,35|49
16,,,,,大成货币B,091005,货币型,2007-01-12,2014-12-23,7年又347天,30.65%,29.24%,14|49
17,孙丹,2017-05-08,无,"孙丹女士:国籍中国,经济学硕士。2008年至2012年任景顺长城产品开发部产品经理。2012年至2014年任华夏基金机构债券投资部研究员。2014年5月加入大成基金管理有限公司,曾担任固定收益总部信用策略及宏观利率研究员、大成景辉灵活配置混合型证券投资基金、大成景荣保本混合型证券投资基金、大成景兴信用债债券型证券投资基金、大成景秀灵活配置混合型证券投资基金、大成景源灵活配置混合型证券投资基金基金经理助理,现任固定收益总部总监助理。2018年3月12日起任大成策略回报混合型证券投资基金、大成创新成长混合型证券投资基金(LOF)、大成积极成长混合型证券投资基金、大成精选增值混合型证券投资基金、大成景阳领先混合型证券投资基金、大成竞争优势混合型证券投资基金、大成蓝筹稳健证券投资基金、大成优选混合型证券投资基金(LOF)基金经理助理。2020年7月1日起任大成价值增长证券投资基金、大成多策略灵活配置混合型证券投资基金(LOF)、大成一带一路灵活配置混合型证券投资基金、大成内需增长混合型证券投资基金、大成睿景灵活配置混合型证券投资基金、大成盛世精选灵活配置混合型证券投资基金、大成国企改革灵活配置混合型证券投资基金、大成行业轮动混合型证券投资基金、大成灵活配置混合型证券投资基金、大成产业升级股票型证券投资基金(LOF)、大成健康产业混合型证券投资基金、大成正向回报灵活配置混合型证券投资基金、大成国家安全主题灵活配置混合型证券投资基金、大成新锐产业混合型证券投资基金、大成消费主题混合型证券投资基金基金经理助理。2017年5月8日起任大成景尚灵活配置混合型证券投资基金、大成景兴信用债债券型证券投资基金基金经理。2017年5月8日至2019年10月31日任大成景荣债券型证券投资基金(原大成景荣保本混合型证券投资基金转型)基金经理。2017年5月31日起任大成惠裕定期开放纯债债券型证券投资基金基金经理。2017年6月2日至2018年11月19日任大成景禄灵活配置混合型证券投资基金基金经理。2017年6月2日至2018年12月8日任大成景源灵活配置混合型证券投资基金基金经理。2017年6月2日至2019年6月15日任大成景秀灵活配置混合型证券投资基金。2017年6月6日至2019年9月29日任大成惠明定期开放纯债债券型证券投资基金基金经理。2018年3月14日至2018年11月30日任大成景辉灵活配置混合型证券投资基金基金经理。2018年3月14日至2018年11月30日任大成景沛灵活配置混合型证券投资基金基金经理。2018年3月14日至2018年7月20日任大成景裕灵活配置混合型证券投资基金基金经理。2018年3月14日起任大成财富管理2020生命周期证券投资基金基金经理。2019年7月31日至2020年5月23日任大成景丰债券型证券投资基金(LOF)基金经理。2020年2月27日起任大成景泰纯债债券型证券投资基金基金经理。2020年3月5日起任大成恒享混合型证券投资基金基金经理。2020年3月31日起任大成民稳增长混合型证券投资基金基金经理。2020年4月26日起任大成景瑞稳健配置混合型证券投资基金基金经理。具有基金从业资格。2020年8月21日起担任大成景和债券型证券投资基金基金经理。2020年09月03日担任大成汇享一年持有期混合型证券投资基金基金经理。",大成尊享18月定开混合A,009493,混合型,2020-09-23,至今,18天,0.59%,1.21%,2105|3727
18,,,,,大成尊享18月定开混合C,009494,混合型,2020-09-23,至今,18天,0.56%,1.21%,2143|3727
19,,,,,大成汇享一年持有混合A,009796,混合型,2020-09-03,至今,38天,0.28%,-1.40%,600|3661
20,,,,,大成汇享一年持有混合C,009797,混合型,2020-09-03,至今,38天,0.25%,-1.40%,630|3661
21,,,,,大成景和债券A,008600,债券型,2020-08-21,至今,51天,0.16%,-0.11%,738|2486
22,,,,,大成景和债券C,008601,债券型,2020-08-21,至今,51天,0.11%,-0.11%,953|2486
23,,,,,大成景瑞稳健配置混合A,008629,混合型,2020-04-26,至今,168天,4.85%,23.28%,3164|3508
24,,,,,大成景瑞稳健配置混合C,008630,混合型,2020-04-26,至今,168天,4.56%,23.28%,3191|3508
25,,,,,大成民稳增长混合A,008846,混合型,2020-03-31,至今,194天,4.80%,31.62%,3072|3236
26,,,,,大成民稳增长混合C,008847,混合型,2020-03-31,至今,194天,4.53%,31.62%,3082|3236
27,,,,,大成恒享混合A,008869,混合型,2020-03-05,至今,220天,6.37%,19.77%,2688|3210
28,,,,,大成恒享混合C,008870,混合型,2020-03-05,至今,220天,6.12%,19.77%,2710|3210
29,,,,,大成景泰纯债债券A,008747,债券型,2020-02-27,至今,227天,1.70%,1.23%,487|2086
30,,,,,大成景泰纯债债券C,008748,债券型,2020-02-27,至今,227天,1.45%,1.23%,574|2086
31,,,,,大成景裕灵活配置混合A,001517,混合型,2018-03-14,2018-05-30,77天,-0.19%,-2.07%,851|2681
32,,,,,大成景沛灵活配置混合A,002081,混合型,2018-03-14,2018-10-31,231天,1.44%,-14.37%,155|2521
33,,,,,大成景沛灵活配置混合C,002237,混合型,2018-03-14,2018-10-31,231天,-3.40%,-14.37%,628|2521
34,,,,,大成景裕灵活配置混合C,002375,混合型,2018-03-14,2018-05-30,77天,-0.19%,-2.07%,851|2681
35,,,,,大成2020生命周期混合,090006,混合型,2018-03-14,至今,2年又212天,12.79%,46.34%,2165|2390
36,,,,,大成惠明纯债债券,004389,债券型,2017-06-06,2019-09-29,2年又115天,12.13%,11.25%,425|1067
37,,,,,大成景秀灵活配置混合A,001159,混合型,2017-06-02,2019-04-18,1年又320天,-11.00%,12.86%,2036|2112
38,,,,,大成景源灵活配置混合A,001295,混合型,2017-06-02,2018-11-08,1年又159天,6.10%,-2.81%,404|2185
39,,,,,大成景秀灵活配置混合C,002370,混合型,2017-06-02,2019-04-18,1年又320天,-11.00%,12.86%,2036|2112
40,,,,,大成景源灵活配置混合C,002373,混合型,2017-06-02,2018-11-08,1年又159天,6.10%,-2.81%,404|2185
41,,,,,大成景禄灵活配置混合A,003373,混合型,2017-06-02,2018-11-19,1年又170天,-13.30%,-1.22%,1861|2176
42,,,,,大成景禄灵活配置混合C,003374,混合型,2017-06-02,2018-11-19,1年又170天,-13.32%,-1.22%,1864|2176
43,,,,,大成惠裕定开纯债债券,003841,定开债券,2017-05-31,至今,3年又134天,13.25%,16.75%,235|302
44,,,,,大成景兴信用债债券A,000130,债券型,2017-05-08,至今,3年又157天,19.68%,17.90%,284|1034
45,,,,,大成景兴信用债债券C,000131,债券型,2017-05-08,至今,3年又157天,18.09%,17.90%,369|1034
46,,,,,大成景荣债券A,002644,债券型,2017-05-08,2019-10-31,2年又176天,-1.89%,11.30%,1027|1051
47,,,,,大成景荣债券C,002645,债券型,2017-05-08,2019-10-31,2年又176天,-2.19%,11.30%,1031|1051
48,,,,,大成景尚灵活配置混合A,003692,混合型,2017-05-08,至今,3年又157天,28.66%,64.40%,1584|1985
49,,,,,大成景尚灵活配置混合C,003693,混合型,2017-05-08,至今,3年又157天,28.14%,64.40%,1599|1985
