,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,孙丽娜,2015-02-17,无,"孙丽娜女士:硕士研究生。曾任上海国际货币经纪公司债券经纪人。2010年8月加入华安基金管理有限公司,先后担任债券交易员、基金经理助理。2014年8月至2017年7月担任华安日日鑫货币市场基金及华安汇财通货币市场基金的基金经理,2014年8月至2015年1月,同时担任华安七日鑫短期理财债券型证券投资基金的基金经理。2014年10月起同时担任华安现金富利投资基金的基金经理。2015年2月起担任华安年年盈定期开放债券型证券投资基金的基金经理。2015年6月起同时担任华安添颐养老混合型发起式证券投资基金的基金经理。2016年10月至2018年1月,同时担任华安安润灵活配置混合型证券投资基金的基金经理。2016年12月起,同时担任华安新丰利灵活配置混合型证券投资基金的基金经理。2017年3月10日-2020年1月23日担任华安现金宝货币市场基金的基金经理。2018年5月起,同时担任华安日日鑫货币市场基金的基金经理。2018年9月起,同时担任华安安浦债券型证券投资基金的基金经理。2019年11月26日起担任华安鑫福42个月定期开放债券型证券投资基金基金经理。2020年1月10日担任华安鑫浦87个月定期开放债券型证券投资基金基金经理。",华安鑫浦定开债A,008675,定开债券,2020-01-10,至今,275天,2.73%,2.21%,179|764
1,,,,,华安鑫浦定开债C,008676,定开债券,2020-01-10,至今,275天,2.54%,2.21%,203|764
2,,,,,华安鑫福定开债A,008214,定开债券,2019-11-26,至今,320天,2.62%,3.03%,162|301
3,,,,,华安鑫福定开债C,008215,定开债券,2019-11-26,至今,320天,2.40%,3.03%,201|301
4,,,,,华安安浦债券A,006337,债券型,2018-09-06,至今,2年又36天,6.58%,12.76%,1085|1273
5,,,,,华安安浦债券C,006338,债券型,2018-09-06,至今,2年又36天,-8.09%,12.76%,1269|1273
6,,,,,华安日日鑫货币A,040038,货币型,2018-05-31,至今,2年又134天,6.01%,6.05%,350|637
7,,,,,华安日日鑫货币B,040039,货币型,2018-05-31,至今,2年又134天,6.61%,6.05%,112|637
8,,,,,华安日日鑫货币H,511600,货币型,2018-05-31,至今,2年又134天,5.85%,6.05%,421|637
9,,,,,华安现金宝货币A,000873,货币型,2017-03-10,2020-01-23,2年又319天,9.82%,9.78%,281|547
10,,,,,华安现金宝货币B,000874,货币型,2017-03-10,2020-01-23,2年又319天,10.58%,9.78%,82|547
11,,,,,华安新丰利灵活配置混合A,003803,混合型,2016-12-29,至今,3年又287天,376.06%,66.40%,1|1780
12,,,,,华安新丰利灵活配置混合C,003804,混合型,2016-12-29,至今,3年又287天,66.73%,66.40%,719|1780
13,,,,,华安安润灵活配置混合A,002153,混合型,2016-10-31,2018-01-27,1年又88天,4.00%,12.02%,1293|1786
14,,,,,华安安润灵活配置混合C,002154,混合型,2016-10-31,2018-01-27,1年又88天,3.90%,12.02%,1302|1786
15,,,,,华安日日鑫货币H,511600,货币型,2016-08-30,2017-07-24,328天,2.84%,2.79%,233|454
16,,,,,华安添颐混合,001485,混合型,2015-06-16,至今,5年又119天,25.80%,32.65%,529|958
17,,,,,华安年年盈定开债A,000239,定开债券,2015-02-17,至今,5年又238天,29.20%,30.48%,64|116
18,,,,,华安年年盈定开债C,000240,定开债券,2015-02-17,至今,5年又238天,26.95%,30.48%,80|116
19,,,,,华安现金富利货币A,040003,货币型,2014-10-30,至今,5年又348天,18.09%,19.82%,227|263
20,,,,,华安现金富利货币B,041003,货币型,2014-10-30,至今,5年又348天,19.79%,19.82%,140|263
21,,,,,华安汇财通货币,000709,货币型,2014-08-30,2017-07-24,2年又329天,10.32%,9.82%,95|238
22,,,,,华安日日鑫货币A,040038,货币型,2014-08-30,2017-07-24,2年又329天,10.28%,9.82%,101|238
23,,,,,华安日日鑫货币B,040039,货币型,2014-08-30,2017-07-24,2年又329天,11.05%,9.82%,26|238
24,,,,,华安7日鑫短期理财债券A,040042,理财型,2014-08-30,2015-01-29,152天,1.14%,1.83%,45|45
25,,,,,华安7日鑫短期理财债券B,040043,理财型,2014-08-30,2015-01-29,152天,1.26%,1.83%,44|45
