,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,孙伟,2014-07-07,无,"孙伟先生:北京大学工商管理硕士。曾任国信证券经济研究所分析师。2012年2月加入民生加银基金管理有限公司,曾任计算机、传媒、电子行业研究员,基金经理助理、总监助理,现任投资部副总监、基金经理、权益资产条线投资决策委员会成员。自2014年7月至今担任民生加银策略精选灵活配置混合型证券投资基金基金经理;自2018年9月至今担任民生加银新兴成长混合型证券投资基金基金经理;自2018年12月至今担任民生加银创新成长混合型证券投资基金基金经理;自2020年5月至今担任民生加银科技创新3年封闭运作灵活配置混合型证券投资基金基金经理;自2014年7月至2018年9月担任民生加银红利回报灵活配置混合型证券投资基金基金经理;自2016年7月至2018年9月担任民生加银精选混合型证券投资基金基金经理;自2017年12月至2019年1月担任民生加银新动力灵活配置混合型证券投资基金基金经理;自2016年11月至2020年3月担任民生加银前沿科技灵活配置混合型证券投资基金基金经理。2020年7月15日起担任民生加银新动能一年定期开放混合型证券投资基金基金经理。2020年8月4日担任民生加银家盈6个月持有期债券型证券投资基金基金经理。",民生加银新兴产业混合A,010116,混合型,2020-09-18,至今,23天,0.63%,0.58%,1589|4044
1,,,,,民生加银新兴产业混合C,010117,混合型,2020-09-18,至今,23天,0.61%,0.58%,1609|4044
2,,,,,民生加银策略精选混合C,009709,混合型,2020-09-10,至今,31天,7.09%,3.72%,560|3685
3,,,,,民生加银家盈6个月持有期债券A,009826,债券型,2020-08-04,至今,68天,0.61%,-0.13%,160|2411
4,,,,,民生加银家盈6个月持有期债券C,009827,债券型,2020-08-04,至今,68天,0.55%,-0.13%,210|2411
5,,,,,民生加银新动能一年定开混合A,009659,混合型,2020-07-15,至今,88天,2.33%,2.24%,1746|3525
6,,,,,民生加银新动能一年定开混合C,009660,混合型,2020-07-15,至今,88天,2.23%,2.24%,1792|3525
7,,,,,民生加银科创3年封闭混合,501200,混合型,2020-05-15,至今,149天,18.84%,20.91%,2040|3566
8,,,,,民生加银创新成长混合,006072,混合型,2018-12-26,至今,1年又290天,102.91%,75.83%,789|2688
9,,,,,民生加银新兴成长混合,006058,混合型,2018-09-07,至今,2年又35天,132.50%,63.60%,161|2730
10,,,,,民生加银新动力混合A,001273,混合型,2017-12-05,2019-01-09,1年又35天,-11.36%,-12.31%,990|2278
11,,,,,民生加银新动力混合D,001274,混合型,2017-12-05,2019-01-09,1年又35天,,,-|-
12,,,,,民生加银前沿科技灵活配置混合,002683,混合型,2016-11-30,2020-03-18,3年又109天,7.10%,20.81%,1281|1714
13,,,,,民生加银精选混合,690003,混合型,2016-07-04,2018-09-20,2年又78天,-3.99%,-2.57%,846|1522
14,,,,,民生加银策略精选混合A,000136,混合型,2014-07-07,至今,6年又98天,461.18%,175.94%,6|692
15,,,,,民生加银红利回报混合,690009,混合型,2014-07-07,2018-09-20,4年又76天,119.09%,48.19%,37|698
