,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,宋璐,2016-07-26,无,"宋璐女士:中国籍,上海财经大学管理学硕士。2012年6月至2015年3月任中国人保资产管理股份有限公司信用评估部助理经理。2015年3月加入国投瑞银基金管理有限公司固定收益部,2016年5月4日起至2016年7月25日担任国投瑞银融华债券、国投瑞银景气混合、国投瑞银创新动力混合、国投瑞银稳健增长混合、国投瑞银锐意改革混合、国投瑞银新丝路混合(LOF)基金的基金经理助理。2016年7月26日起担任国投瑞银中高等级债券型证券投资基金基金经理,2017年3月10日起兼任国投瑞银顺益纯债债券型证券投资基金基金经理,2017年5月13日起兼任国投瑞银新机遇灵活配置混合型证券投资基金基金经理,2018年2月23日起兼任国投瑞银顺银6个月定期开放债券型发起式证券投资基金基金经理,2019年7月13日起兼任国投瑞银和泰6个月定期开放债券型发起式证券投资基金基金经理,2019年11月2日起兼任国投瑞银顺泓定期开放债券型证券投资基金、国投瑞银顺源6个月定期开放债券型证券投资基金及国投瑞银顺祺纯债债券型证券投资基金的基金经理;曾于2017年5月6日至2018年6月11日期间担任国投瑞银新价值灵活配置混合型证券投资基金基金经理,于2017年5月13日至2018年10月10日期间担任国投瑞银新成长灵活配置混合型证券投资基金基金经理,于2017年5月13日至2019年1月4日期间担任国投瑞银新收益灵活配置混合型证券投资基金基金经理,于2017年5月13日至2019年5月29日期间担任国投瑞银优选收益混合型证券投资基金基金经理,于2017年5月6日至2019年10月22日期间担任国投瑞银新活力定期开放混合型证券投资基金基金经理,于2019年7月13日至2020年3月5日期间担任国投瑞银岁增利债券型证券投资基金基金经理,于2019年7月13日至2020年4月1日期间担任国投瑞银兴颐多策略混合型证券投资基金基金经理。2020年8月13日起担任国投瑞银顺荣39个月定期开放债券型证券投资基金基金经理。",国投瑞银顺荣定开债券A,009417,定开债券,2020-08-13,至今,59天,0.40%,0.11%,49|419
1,,,,,国投瑞银顺荣定开债券C,009418,定开债券,2020-08-13,至今,59天,0.37%,0.11%,61|419
2,,,,,国投瑞银顺源6个月定开债,005641,定开债券,2019-11-02,至今,344天,3.43%,3.49%,262|680
3,,,,,国投瑞银顺泓债券,005995,定开债券,2019-11-02,至今,344天,3.29%,3.49%,302|680
4,,,,,国投瑞银顺祺纯债,007260,债券型,2019-11-02,至今,344天,3.61%,4.98%,741|1895
5,,,,,国投瑞银岁增利债券A,000781,债券型,2019-07-13,2020-01-15,186天,2.30%,3.75%,875|1769
6,,,,,国投瑞银岁增利债券C,000782,债券型,2019-07-13,2020-01-15,186天,2.05%,3.75%,1063|1769
7,,,,,国投瑞银和泰6个月债券,005019,定开债券,2019-07-13,至今,1年又91天,3.34%,4.68%,477|610
8,,,,,国投瑞银兴颐多策略混合,005499,混合型,2019-07-13,2019-12-13,153天,2.67%,8.94%,2494|3022
9,,,,,国投瑞银岁增利债券A,000781,债券型,2019-01-28,2019-07-04,157天,0.84%,2.52%,1350|1520
10,,,,,国投瑞银岁增利债券C,000782,债券型,2019-01-28,2019-07-04,157天,0.66%,2.52%,1394|1520
11,,,,,国投瑞银岁赢利债券,002355,债券型,2019-01-28,2019-07-04,157天,6.03%,2.20%,82|1596
12,,,,,国投瑞银兴颐多策略混合,005499,混合型,2019-01-28,2019-07-04,157天,11.62%,14.07%,1552|2789
13,,,,,国投瑞银和盛丰利债A,161230,债券型,2019-01-28,2019-03-16,47天,-2.01%,1.53%,1529|1530
14,,,,,国投瑞银和盛丰利债C,161231,债券型,2019-01-28,2019-03-16,47天,-2.20%,1.53%,1530|1530
15,,,,,国投瑞银顺银定开债,005435,定开债券,2018-02-23,至今,2年又231天,9.23%,13.44%,344|392
16,,,,,国投瑞银新机遇灵活配置混合A,000556,混合型,2017-05-13,至今,3年又152天,122.81%,63.60%,195|1993
17,,,,,国投瑞银新机遇灵活配置混合C,000557,混合型,2017-05-13,至今,3年又152天,118.95%,63.60%,215|1993
18,,,,,国投瑞银优选收益混合,001168,混合型,2017-05-13,2019-03-28,1年又319天,-5.12%,8.23%,1720|2007
19,,,,,国投瑞银新成长混合A,002041,混合型,2017-05-13,2018-09-04,1年又114天,8.58%,0.58%,312|2137
20,,,,,国投瑞银新成长混合C,002042,混合型,2017-05-13,2018-09-04,1年又114天,7.75%,0.58%,380|2137
21,,,,,国投瑞银新价值混合,001169,混合型,2017-05-06,2018-03-16,314天,-1.89%,11.50%,2108|2227
22,,,,,国投瑞银新活力定开混合A,001584,混合型,2017-05-06,2019-10-23,2年又170天,13.51%,17.27%,1125|1995
23,,,,,国投瑞银新活力定开混合C,001585,混合型,2017-05-06,2019-10-23,2年又170天,12.50%,17.27%,1178|1995
24,,,,,国投瑞银顺益纯债债券,003982,债券型,2017-03-10,2018-08-16,1年又159天,1.02%,4.44%,914|1087
25,,,,,国投瑞银中高等级债券A,000069,债券型,2016-07-26,至今,4年又78天,18.45%,16.23%,212|649
26,,,,,国投瑞银中高等级债券C,000070,债券型,2016-07-26,至今,4年又78天,16.96%,16.23%,267|649
