,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,尤柏年,2014-08-30,无,"尤柏年先生:国籍中国,经济学博士。历任澳大利亚BConnect公司Apex投资咨询团队分析师,华宝兴业基金管理有限公司金融工程部高级数量分析师、海外投资管理部高级分析师、基金经理助理、华宝兴业成熟市场基金和华宝兴业标普油气基金基金经理等职;2014年7月加盟鹏华基金管理有限公司,任职于国际业务部,2014年8月至今担任鹏华全球高收益债债券型证券投资基金基金经理。尤柏年先生具备基金从业资格。",鹏华全球中短债(QDII)人民币C,008320,QDII,2020-01-08,至今,277天,3.11%,4.28%,117|265
1,,,,,鹏华全球中短债(QDII)美元现汇C,008321,QDII,2020-01-08,至今,277天,4.21%,4.28%,105|265
2,,,,,鹏华港美互联股票美元现汇,006792,QDII,2019-04-15,至今,1年又180天,42.85%,13.20%,52|240
3,,,,,鹏华全球中短债(QDII)美元现汇A,006285,QDII,2018-12-04,至今,1年又312天,17.23%,19.91%,96|222
4,,,,,鹏华香港中小企业指数LOF,501023,股票指数,2017-11-17,至今,2年又329天,-12.45%,36.38%,766|788
5,,,,,鹏华香港银行指数(LOF),501025,股票指数,2017-11-17,2019-08-13,1年又269天,-8.10%,-10.15%,338|813
6,,,,,鹏华港美互联股票人民币,160644,QDII,2017-11-16,至今,2年又330天,27.14%,15.24%,62|191
7,,,,,鹏华沪深港新兴成长混合,003835,混合型,2016-12-28,至今,3年又288天,120.90%,66.35%,220|1756
8,,,,,鹏华全球高收益债美元现汇,001876,QDII,2015-09-18,至今,5年又25天,26.33%,52.05%,72|113
9,,,,,鹏华前海万科REITS,184801,混合型,2015-07-06,至今,5年又99天,35.61%,71.85%,766|1011
10,,,,,鹏华全球中短债(QDII)人民币A,206006,QDII,2014-09-13,至今,6年又30天,0.98%,38.52%,77|96
11,,,,,鹏华全球高收益债(QDII),000290,QDII,2014-08-30,至今,6年又44天,44.17%,36.22%,27|70
12,,,,,华宝标普油气上游股票人民币A,162411,QDII-指数,2011-09-29,2013-06-18,1年又263天,3.20%,9.57%,29|41
13,,,,,华宝兴业成熟市场动量优选,241002,QDII,2011-03-15,2013-06-18,2年又96天,-2.70%,-7.83%,8|31
