,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,岳帅,2017-08-30,无,"岳帅先生:本科,具有基金从业资格。曾就职于红塔证券股份有限公司及银河期货有限公司,任客户经理;后就职于平安利顺货币经纪有限公司,任交易员。2013年4月加入诺安基金管理有限公司,任债券交易员,从事债券交易工作。2017年8月至2018年8月任诺安信用债一年定期开放债券型证券投资基金基金经理。2016年9月起担任诺安货币市场证券投资基金基金经理,2017年8月起担任诺安泰鑫一年定期开放债券型证券投资基金基金经理,2018年9月起任诺安浙享定期开放债券型发起式证券投资基金基金经理。现拟任诺安天天宝货币市场基金基金经理。",诺安天天宝A,000559,货币型,2019-10-15,至今,362天,2.01%,2.06%,404|642
1,,,,,诺安天天宝E,000560,货币型,2019-10-15,至今,362天,2.16%,2.06%,220|642
2,,,,,诺安天天宝B,000625,货币型,2019-10-15,至今,362天,2.16%,2.06%,220|642
3,,,,,诺安天天宝C,000818,货币型,2019-10-15,至今,362天,2.05%,2.06%,353|642
4,,,,,诺安浙享定开债券,005655,定开债券,2018-09-27,至今,2年又15天,9.19%,9.63%,104|209
5,,,,,诺安信用债券一年定开债,000151,定开债券,2017-08-30,2018-08-21,356天,3.86%,3.58%,101|183
6,,,,,诺安泰鑫一年定开债A,000201,定开债券,2017-08-30,至今,3年又43天,17.08%,15.05%,93|326
7,,,,,诺安泰鑫一年定开债C,001964,定开债券,2017-08-30,至今,3年又43天,14.78%,15.05%,172|326
8,,,,,诺安货币A,320002,货币型,2016-09-06,至今,4年又36天,11.49%,12.82%,395|436
9,,,,,诺安货币B,320019,货币型,2016-09-06,至今,4年又36天,12.60%,12.82%,269|436
