,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,师婧,2020-01-22,无,"师婧女士:中国,理学硕士,基金经理;2010年7月至2017年9月师婧女士任职于新加坡辉立资本集团旗下的辉立证券,其中2010年7月至2015年6月师婧女士担任高级全球股票交易员,负责参与全球20个国家和地区的股票交易;2015年7月至2017年9月担任基金组合经理,主要负责中国香港地区以及亚洲二级市场的投资和全球大类资产的配置投资管理工作;2017年9月25日加入泰达宏利基金管理有限公司,任职于国际业务部,担任基金经理助理;2017年12月25日担任泰达宏利港股通优选股票型证券投资基金基金经理,2019年11月13日担任泰达宏利亚洲债券型证券投资基金基金经理;具有基金从业资格。2020年1月22日任泰达宏利宏达混合型证券投资基金基金经理。2020年1月22日起担任泰达宏利新起点灵活配置混合型证券投资基金基金经理。2020年7月担任泰达宏利品质生活灵活配置混合型证券投资基金基金经理。",泰达宏利品质生活混合,162211,混合型,2020-07-28,至今,75天,-1.45%,3.60%,3322|3546
1,,,,,泰达宏利宏达混合A,000507,混合型,2020-01-22,至今,263天,4.92%,25.11%,2892|3121
2,,,,,泰达宏利宏达混合B,000508,混合型,2020-01-22,至今,263天,4.85%,25.11%,2894|3121
3,,,,,泰达宏利新起点混合A,001254,混合型,2020-01-22,至今,263天,6.57%,25.11%,2808|3121
4,,,,,泰达宏利新起点混合B,002313,混合型,2020-01-22,至今,263天,6.91%,25.11%,2792|3121
5,,,,,泰达宏利亚洲债券(QDII)A,003463,QDII,2019-11-13,2020-04-28,167天,-3.85%,-4.03%,149|259
6,,,,,泰达宏利亚洲债券(QDII)C,003464,QDII,2019-11-13,2020-04-28,167天,-4.05%,-4.03%,153|259
7,,,,,泰达宏利印度(QDII),006105,QDII,2019-01-30,至今,1年又255天,-2.30%,21.47%,174|227
8,,,,,泰达宏利港股通股票A,004482,股票型,2017-12-25,2019-11-29,1年又339天,-2.54%,-1.27%,428|802
9,,,,,泰达宏利港股通股票C,004483,股票型,2017-12-25,2019-11-29,1年又339天,0.90%,-1.27%,309|802
