,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,张一格,2018-12-26,无,"张一格先生:中国人民银行研究生部经济学硕士、南开大学法学学士,美国特许金融分析师(CFA)。具有基金从业资格,现任融通基金管理有限公司固定收益部总经理。历任兴业银行资金营运中心投资经理、国泰基金管理有限公司国泰民安增利债券型发起式证券投资基金、国泰上证5年期国债交易型开放式指数证券投资基金联接基金、国泰信用债券型证券投资基金、国泰民益灵活配置混合型证券投资基金(LOF)、国泰浓益灵活配置混合型证券投资基金、国泰安康养老定期支付混合型证券投资基金基金经理。2015年6月加入融通基金管理有限公司,2015年11月17日起至今任“融通易支付货币市场证券投资基金”基金经理,2016年3月15日起至今任“融通通盈保本混合型证券投资基金”基金经理,2016年4月28日起至今任“融通增裕债券型证券投资基金”基金经理,2016年5月13日起至今任“融通增祥债券型证券投资基金”基金经理,2016年7月19日起至今任“融通增丰债券型证券投资基金”基金经理,2016年7月28日起至今任“融通通瑞债券型证券投资基金”基金经理,2016年8月9日起至今任“融通通优债券型证券投资基金”基金经理,2016年8月24日起至今任“融通月月添利定期开放债券型证券投资基金”基金经理,2016年8月30日起至今任“融通通景灵活配置混合型证券投资基金”基金经理,2016年9月22日起至今任“融通通鑫灵活配置混合型证券投资基金”、“融通新机遇灵活配置混合型证券投资基金”基金经理,2016年11月2日起至今任“融通裕债券型证券投资基金”基金经理。",融通通源短融债券A,000394,债券型,2018-12-26,至今,1年又290天,5.34%,11.36%,1107|1414
1,,,,,融通通源短融债券B,001941,债券型,2018-12-26,至今,1年又290天,5.86%,11.36%,979|1414
2,,,,,融通通昊三个月定开债,005289,定开债券,2018-06-22,至今,2年又112天,14.82%,11.76%,86|461
3,,,,,融通收益增强债券A,004025,债券型,2017-08-30,至今,3年又43天,27.30%,15.41%,62|1094
4,,,,,融通收益增强债券C,004026,债券型,2017-08-30,至今,3年又43天,25.69%,15.41%,79|1094
5,,,,,融通通裕定开债,002869,定开债券,2016-11-02,至今,3年又344天,23.37%,15.19%,6|103
6,,,,,融通通鑫灵活配置混合,001470,混合型,2016-09-22,2018-05-18,1年又238天,8.03%,8.60%,774|1704
7,,,,,融通新机遇灵活配置混合,002049,混合型,2016-09-22,2018-11-20,2年又59天,7.43%,-4.96%,303|1643
8,,,,,融通通景灵活配置混合,002791,混合型,2016-08-30,2017-12-13,1年又105天,4.00%,8.89%,1072|1681
9,,,,,融通通启一年定开债A,000437,定开债券,2016-08-24,2018-03-24,1年又212天,-3.86%,1.73%,110|114
10,,,,,融通通启一年定开债B,000438,定开债券,2016-08-24,2018-03-24,1年又212天,-4.35%,1.73%,111|114
11,,,,,融通通优债券,003146,债券型,2016-08-09,2018-05-18,1年又282天,4.95%,2.01%,133|715
12,,,,,融通通瑞债券A/B,000466,债券型,2016-07-28,2018-03-24,1年又239天,3.95%,1.48%,169|723
13,,,,,融通通瑞债券C,000859,债券型,2016-07-28,2018-03-24,1年又239天,2.34%,1.48%,340|723
14,,,,,融通增丰债券,002922,债券型,2016-07-19,2018-03-01,1年又225天,5.50%,1.79%,75|722
15,,,,,融通易支付货币E,511910,货币型,2016-06-20,2018-03-24,1年又277天,5.09%,6.19%,406|413
16,,,,,融通增祥三个月定开债,002719,定开债券,2016-05-13,2018-05-18,2年又5天,7.70%,4.63%,32|207
17,,,,,融通增裕债券,002607,债券型,2016-04-28,2018-03-24,1年又330天,3.60%,3.52%,373|654
18,,,,,融通通盈灵活配置混合,002415,混合型,2016-03-15,至今,4年又211天,48.61%,83.80%,874|1326
19,,,,,融通易支付货币A,161608,货币型,2015-11-17,2018-03-24,2年又128天,6.75%,7.88%,343|360
20,,,,,融通易支付货币B,161615,货币型,2015-11-17,2018-03-24,2年又128天,7.36%,7.88%,295|360
21,,,,,国泰安康定期支付混合A,000367,混合型,2014-04-30,2015-06-25,1年又56天,21.20%,106.81%,659|687
22,,,,,国泰浓益灵活配置混合A,000526,混合型,2014-03-04,2015-06-25,1年又113天,26.40%,94.63%,606|645
23,,,,,国泰民益混合(LOF)A,160220,混合型,2013-12-30,2015-02-25,1年又57天,16.80%,35.32%,556|629
24,,,,,国泰信用债券A,020027,债券型,2013-10-25,2015-06-25,1年又243天,12.87%,29.92%,370|457
25,,,,,国泰信用债券C,020028,债券型,2013-10-25,2015-06-25,1年又243天,12.17%,29.92%,377|457
26,,,,,国泰上证5年期国债联接A,020035,联接基金,2013-03-07,2015-06-25,2年又110天,5.60%,30.83%,324|333
27,,,,,国泰上证5年期国债联接C,020036,联接基金,2013-03-07,2015-06-25,2年又110天,4.90%,30.83%,326|333
28,,,,,国泰上证5年期国债ETF,511010,ETF-场内,2013-03-05,2015-06-25,2年又112天,7.54%,31.43%,316|330
29,,,,,国泰民安增利债券A,020033,债券型,2012-12-26,2015-06-25,2年又181天,32.91%,38.14%,131|297
30,,,,,国泰民安增利债券C,020034,债券型,2012-12-26,2015-06-25,2年又181天,31.41%,38.14%,139|297
