,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,张东一,2016-07-26,无,"张东一女士:理学硕士,持有中国证券投资基金业从业证书。曾任广发基金管理有限公司研究发展部研究员、投资经理、广发多因子灵活配置混合型证券投资基金基金经理(自2017年1月13日至2018年6月25日)、广发聚泰混合型证券投资基金基金经理(自2018年3月20日至2019年5月21日)、广发中小盘精选混合型证券投资基金基金经理(自2018年5月23日至2020年2月14日)。现任广发聚优灵活配置混合型证券投资基金基金经理(自2016年7月26日起任职)、广发创新驱动灵活配置混合型证券投资基金基金经理(自2017年10月24日-2020年8月13日)、广发估值优势混合型证券投资基金基金经理(自2018年9月21日起任职)、广发消费升级股票型证券投资基金基金经理(自2019年11月20日起任职)、广发高股息优享混合型证券投资基金基金经理(自2020年1月20日起任职)。广发品质回报混合型证券投资基金基金经理(自2020年6月9日起任职)。",广发品质回报混合A,009119,混合型,2020-06-09,至今,124天,9.05%,18.03%,2594|3429
1,,,,,广发品质回报混合C,009120,混合型,2020-06-09,至今,124天,8.90%,18.03%,2614|3429
2,,,,,广发高股息优享混合A,008704,混合型,2020-01-20,至今,265天,12.22%,25.16%,2304|3141
3,,,,,广发高股息优享混合C,008705,混合型,2020-01-20,至今,265天,11.89%,25.16%,2329|3141
4,,,,,广发消费升级股票,006671,股票型,2019-11-20,至今,326天,49.72%,35.31%,295|1277
5,,,,,广发估值优势混合,006136,混合型,2018-09-21,至今,2年又21天,137.21%,62.25%,115|2739
6,,,,,广发中小盘精选混合,005598,混合型,2018-05-23,2020-02-14,1年又267天,13.33%,19.05%,1468|2651
7,,,,,广发聚泰混合A,001355,混合型,2018-03-20,2019-05-21,1年又62天,3.16%,-4.24%,559|2433
8,,,,,广发聚泰混合C,001356,混合型,2018-03-20,2019-05-21,1年又62天,3.36%,-4.24%,536|2433
9,,,,,广发创新驱动灵活配置混合,004119,混合型,2017-10-24,2020-08-13,2年又294天,60.82%,44.85%,564|2164
10,,,,,广发多因子混合,002943,混合型,2017-01-13,2018-06-25,1年又163天,10.48%,6.13%,564|2067
11,,,,,广发聚优灵活配置混合A,000167,混合型,2016-07-26,至今,4年又78天,139.59%,62.99%,104|1519
