,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,张俊杰,2020-04-30,无,"张俊杰先生:经济学硕士。国籍:中国,曾任职于恒生银行广州分行。2007年7月至2013年4月就职于平安证券股份有限公司,历任衍生产品部研究员,固定收益事业部高级经理、债券研究员。2013年4月至2016年8月就职于金鹰基金管理有限公司,任固定收益部基金经理。2016年8月至2018年12月就职于华润元大基金管理有限公司,任固定收益投资部总经理、基金经理。2018年12月加入大成基金管理有限公司,就职于固定收益总部。具有基金从业资格。2020年4月30日起担任大成景安短融债券型证券投资基金基金经理。2020年4月30日起担任大成添益交易型货币市场基金基金经理。2020年4月30日起担任大成恒丰宝货币市场基金基金经理。2020年5月8日任职大成惠福纯债债券型证券投资基金基金经理。2020年7月1日担任大成慧成货币市场基金基金经理。2020年7月7日任大成现金宝场内实时申赎货币市场基金基金经理。2020年8月11日担任大成安汇金融债债券型证券投资基金基金经理。2020年9月18日担任大成景优中短债债券型证券投资基金基金经理。",大成景优中短债A,008686,债券型,2020-09-18,至今,23天,0.10%,0.08%,1220|2514
1,,,,,大成景优中短债C,008687,债券型,2020-09-18,至今,23天,0.97%,0.08%,42|2514
2,,,,,大成安汇金融债E,001516,债券型,2020-08-11,至今,61天,0.24%,-0.05%,659|2424
3,,,,,大成安汇金融债C,090023,债券型,2020-08-11,至今,61天,0.28%,-0.05%,562|2424
4,,,,,大成安汇金融债A,091023,债券型,2020-08-11,至今,61天,0.29%,-0.05%,526|2424
5,,,,,大成现金宝货币A,519898,货币型,2020-07-07,至今,96天,0.38%,0.48%,616|654
6,,,,,大成现金宝货币B,519899,货币型,2020-07-07,至今,96天,0.54%,0.48%,125|654
7,,,,,大成慧成货币A,002200,货币型,2020-07-01,至今,102天,0.44%,0.51%,572|653
8,,,,,大成慧成货币B,002201,货币型,2020-07-01,至今,102天,0.50%,0.51%,360|653
9,,,,,大成慧成货币E,002202,货币型,2020-07-01,至今,102天,0.44%,0.51%,572|653
10,,,,,大成惠福债券,006812,债券型,2020-05-08,至今,156天,-1.64%,0.26%,1740|2260
11,,,,,大成景安短融债券A,000128,债券型,2020-04-30,至今,164天,0.22%,0.17%,715|2258
12,,,,,大成景安短融债券B,000129,债券型,2020-04-30,至今,164天,0.35%,0.17%,664|2258
13,,,,,大成恒丰宝货币A,001697,货币型,2020-04-30,至今,164天,0.70%,0.78%,508|650
14,,,,,大成恒丰宝货币B,001698,货币型,2020-04-30,至今,164天,0.81%,0.78%,235|650
15,,,,,大成恒丰宝货币E,001699,货币型,2020-04-30,至今,164天,0.70%,0.78%,508|650
16,,,,,大成景安短融债券E,002086,债券型,2020-04-30,至今,164天,0.30%,0.17%,684|2258
17,,,,,大成添益交易型货币A,003252,货币型,2020-04-30,至今,164天,0.78%,0.78%,338|650
18,,,,,大成添益交易型货币B,003253,货币型,2020-04-30,至今,164天,0.89%,0.78%,85|650
19,,,,,大成添益交易型货币E,511690,货币型,2020-04-30,至今,164天,0.78%,0.78%,338|650
20,,,,,华润元大润鑫债券C,006471,债券型,2018-09-21,2018-12-07,77天,1.88%,1.27%,424|1394
21,,,,,华润元大润泽债券A,004893,债券型,2018-06-06,2018-12-07,184天,2.10%,2.35%,798|1255
22,,,,,华润元大润泽债券C,004894,债券型,2018-06-06,2018-12-07,184天,2.43%,2.35%,745|1255
23,,,,,华润元大现金收益货币A,000324,货币型,2017-04-14,2018-12-07,1年又237天,5.86%,6.32%,473|560
24,,,,,华润元大现金收益货币B,000325,货币型,2017-04-14,2018-12-07,1年又237天,6.28%,6.32%,311|560
25,,,,,华润元大现金通货币A,002883,货币型,2017-04-14,2018-12-07,1年又237天,6.85%,6.32%,70|560
26,,,,,华润元大现金通货币B,002884,货币型,2017-04-14,2018-12-07,1年又237天,7.09%,6.32%,23|560
27,,,,,华润元大润鑫债券A,003418,债券型,2017-04-14,2018-12-07,1年又237天,7.87%,5.69%,386|1110
28,,,,,华润元大双鑫债券A,003680,债券型,2017-04-14,2018-12-07,1年又237天,-7.18%,5.69%,1077|1110
29,,,,,华润元大双鑫债券C,003723,债券型,2017-04-14,2018-12-07,1年又237天,-7.42%,5.69%,1079|1110
30,,,,,华润元大稳健债券A,001212,债券型,2016-12-27,2018-12-07,1年又345天,5.04%,5.64%,585|886
31,,,,,华润元大稳健债券C,001213,债券型,2016-12-27,2018-12-07,1年又345天,4.24%,5.64%,634|886
32,,,,,金鹰技术领先灵活配置混合C,002196,混合型,2016-05-13,2016-07-27,75天,16.80%,5.51%,21|1577
33,,,,,金鹰技术领先灵活配置混合A,210007,混合型,2015-07-09,2016-07-27,1年又19天,16.10%,5.62%,198|1063
34,,,,,金鹰元盛分级债券B,150132,分级杠杆,2014-12-10,2015-05-04,145天,3.05%,9.80%,29|64
35,,,,,金鹰元盛债券型发起式C,162108,债券型,2014-12-10,2016-08-06,1年又240天,13.55%,15.55%,345|539
36,,,,,金鹰元盛分级债券A,162109,固定收益,2014-12-10,2015-05-04,145天,1.69%,9.06%,55|69
37,,,,,金鹰灵活配置混合A,210010,混合型,2013-09-23,2016-08-06,2年又318天,29.09%,50.93%,435|603
38,,,,,金鹰灵活配置混合C,210011,混合型,2013-09-23,2016-08-06,2年又318天,22.44%,50.93%,481|603
