,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,张惠,2014-11-19,无,"张惠女士:合肥工业大学产业经济学硕士、研究生学历,2007年6月加入华富基金管理有限公司,先后担任研究发展部助理行业研究员、行业研究员、固收研究员,2012年5月21日至2014年3月19日任华富策略精选混合型基金基金经理助理,2014年3月20日至2014年11月18日任华富保本混合型基金基金经理助理,2016年6月28日至2017年7月5日任华富灵活配置混合型基金基金经理,2015年3月16日至2018年5月31日任华富旺财保本混合型基金基金经理,2016年11月17日至2018年6月19日任华富永鑫灵活配置型基金基金经理、2016年8月26日至2018年8月1日任华富元鑫灵活配置混合型基金基金经理。现任华富安福保本混合型证券投资基金基金经理、华富星玉衡一年定期开放混合型证券投资基金基金经理、华富保本混合型基金基金经理、华富恒利债券型基金基金经理、华富安享债券型基金基金经理、华富益鑫灵活配置混合型基金基金经理。2016年8月26日至2018年8月1日任华富元鑫灵活配置混合型基金基金经理。",华富弘鑫混合A,003182,混合型,2019-04-15,至今,1年又180天,18.85%,47.05%,2228|2821
1,,,,,华富弘鑫混合C,003183,混合型,2019-04-15,至今,1年又180天,18.53%,47.05%,2250|2821
2,,,,,华富安福债券,002412,债券型,2018-08-28,至今,2年又45天,14.37%,12.63%,318|1258
3,,,,,华富星玉衡混合A,005291,混合型,2018-08-28,至今,2年又45天,7.71%,61.95%,2637|2717
4,,,,,华富星玉衡混合C,005292,混合型,2018-08-28,至今,2年又45天,6.43%,61.95%,2663|2717
5,,,,,华富永鑫灵活配置混合A,001466,混合型,2016-11-17,2018-06-19,1年又214天,0.03%,1.98%,1071|1781
6,,,,,华富永鑫灵活配置混合C,001467,混合型,2016-11-17,2018-06-19,1年又214天,-0.17%,1.98%,1084|1781
7,,,,,华富益鑫灵活配置混合A,002728,混合型,2016-09-07,至今,4年又35天,53.12%,62.93%,775|1583
8,,,,,华富益鑫灵活配置混合C,002729,混合型,2016-09-07,至今,4年又35天,49.14%,62.93%,820|1583
9,,,,,华富元鑫灵活配置混合A,002853,混合型,2016-08-26,2018-08-01,1年又340天,101.50%,2.23%,6|1710
10,,,,,华富元鑫灵活配置混合C,002854,混合型,2016-08-26,2018-08-01,1年又340天,11.90%,2.23%,310|1710
11,,,,,华富灵活配置混合,000398,混合型,2016-06-28,2017-07-05,1年又7天,-2.02%,4.30%,1260|1575
12,,,,,华富安享债券,002280,债券型,2016-01-21,至今,4年又265天,30.04%,18.74%,65|562
13,,,,,华富恒利债券A,001086,债券型,2015-08-31,至今,5年又43天,16.08%,21.76%,387|517
14,,,,,华富恒利债券C,001087,债券型,2015-08-31,至今,5年又43天,11.09%,21.76%,466|517
15,,,,,华富旺财保本混合,001034,保本型,2015-03-16,2018-03-23,3年又8天,4.59%,12.09%,2|2
16,,,,,华富安鑫债券,000028,债券型,2014-11-19,至今,5年又328天,37.70%,38.23%,202|474
