,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,张文玥,2014-08-13,无,"张文玥女士:中国,硕士。曾任中国邮政储蓄银行股份有限公司金融市场部货币市场交易员及债券投资经理。2014年4月加入嘉实基金管理有限公司,现任职于固定收益业务体系短端alpha策略组。硕士,具有基金从业资格。2014年8月13日至今任嘉实理财宝7天债券、嘉实1个月理财债券、嘉实3个月理财债券、嘉实安心货币基金经理,2016年1月28日至2020年7月25日任嘉实宝货币基金经理,2015年7月14日至今任嘉实快线货币基金经理,2016年12月22日至今任嘉实现金宝货币基金经理。2020年6月4日任嘉实增益宝货币市场基金基金经理。2017年3月23日至2020年6月11日担任嘉实定期宝6个月理财债券基金经理。2016年1月28日至2020年6月11日任嘉实货币基金经理。",嘉实增益宝货币,004173,货币型,2020-06-04,至今,129天,0.65%,0.63%,317|651
1,,,,,嘉实融享货币,007696,货币型,2019-08-21,至今,1年又52天,2.74%,2.53%,1|3
2,,,,,嘉实活期宝货币,000464,货币型,2019-03-09,至今,1年又217天,3.65%,3.55%,289|637
3,,,,,嘉实定期宝6个月理财债券A,003880,理财型,2017-03-23,2020-06-11,3年又81天,12.13%,11.67%,9|26
4,,,,,嘉实定期宝6个月理财债券B,003881,理财型,2017-03-23,2020-06-11,3年又81天,12.82%,11.67%,1|26
5,,,,,嘉实现金宝,003460,货币型,2016-12-22,至今,3年又294天,10.80%,12.04%,459|507
6,,,,,嘉实货币E,001812,货币型,2016-01-28,2020-06-11,4年又136天,13.08%,13.19%,229|390
7,,,,,嘉实货币A,070008,货币型,2016-01-28,2020-06-11,4年又136天,13.81%,13.89%,214|379
8,,,,,嘉实货币B,070088,货币型,2016-01-28,2020-06-11,4年又136天,15.01%,13.89%,60|379
9,,,,,嘉实保证金理财场内货币A,519808,货币型,2016-01-28,2020-07-25,4年又180天,10.59%,14.11%,376|378
10,,,,,嘉实保证金理财场内货币B,519809,货币型,2016-01-28,2020-07-25,4年又180天,13.57%,14.11%,268|378
11,,,,,嘉实快线货币H,511960,货币型,2015-12-28,至今,4年又289天,14.31%,14.82%,254|376
12,,,,,嘉实快线货币A,000917,货币型,2015-07-14,至今,5年又91天,17.44%,16.34%,71|325
13,,,,,嘉实快线货币B,000918,货币型,2015-07-14,2017-06-21,1年又343天,5.65%,5.59%,190|338
14,,,,,嘉实快线货币C,000919,货币型,2015-07-14,2017-06-21,1年又343天,5.67%,5.59%,183|338
15,,,,,嘉实1个月理财债券A,000485,理财型,2014-08-13,至今,6年又61天,2.32%,6.19%,30|30
16,,,,,嘉实1个月理财债券E,000486,理财型,2014-08-13,至今,6年又61天,2.44%,15.12%,26|26
17,,,,,嘉实3个月理财债券A,000487,理财型,2014-08-13,至今,6年又61天,3.26%,9.18%,3|3
18,,,,,嘉实3个月理财债券E,000488,理财型,2014-08-13,至今,6年又61天,5.51%,9.18%,2|3
19,,,,,嘉实安心货币A,070028,货币型,2014-08-13,至今,6年又61天,17.02%,20.87%,218|224
20,,,,,嘉实安心货币B,070029,货币型,2014-08-13,至今,6年又61天,18.77%,20.87%,205|224
21,,,,,嘉实理财宝7天债券A,070035,理财型,2014-08-13,至今,6年又61天,22.23%,23.53%,11|14
22,,,,,嘉实理财宝7天债券B,070036,理财型,2014-08-13,至今,6年又61天,24.43%,23.53%,4|14
