,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,张棪,2017-09-06,无,"张棪先生:淮南师范学院经济学学士、西南财经大学经济学硕士。2014年7月进入长城基金管理有限公司,曾任固定收益部研究员、基金经理助理。自2017年9月至2019年1月任“长城久盛安稳纯债两年定期开放债券型证券投资基金”基金经理。自2017年9月至今任“长城稳固收益债券型证券投资基金”、“长城增强收益定期开放债券型证券投资基金”、“长城久信债券型证券投资基金”基金经理,自2019年8月至今任“长城久瑞三个月定期开放债券型发起式证券投资基金”基金经理。2020年2月25日担任长城泰利纯债债券型证券投资基金基金经理。2020年7月17日担任长城久悦债券型证券投资基金基金经理。2020年8月11日起任长城中债 1-3 年政策性金融债指数证券投资基金基金经理。",长城中债1-3年政金债A,008652,债券指数,2020-08-11,至今,61天,0.35%,-0.05%,388|2424
1,,,,,长城中债1-3年政金债C,008653,债券指数,2020-08-11,至今,61天,0.32%,-0.05%,455|2424
2,,,,,长城中债3-5年国开债指数A,009324,债券指数,2020-07-31,至今,72天,,,-|-
3,,,,,长城中债3-5年国开债指数C,009325,债券指数,2020-07-31,至今,72天,,,-|-
4,,,,,长城久悦债券,006254,债券型,2020-07-17,至今,86天,1.29%,0.78%,335|2421
5,,,,,长城泰利纯债A,009001,债券型,2020-02-25,至今,229天,-1.14%,1.09%,1957|2083
6,,,,,长城泰利纯债C,009002,债券型,2020-02-25,至今,229天,-1.34%,1.09%,1970|2083
7,,,,,长城久瑞三个月定开债发起式,006045,定开债券,2019-08-28,至今,1年又45天,1.96%,3.51%,244|263
8,,,,,长城定开债A,000254,定开债券,2017-09-06,至今,3年又36天,12.29%,15.34%,106|138
9,,,,,长城定开债C,000255,定开债券,2017-09-06,至今,3年又36天,10.92%,15.34%,122|138
10,,,,,长城稳固收益债券A,000333,债券型,2017-09-06,至今,3年又36天,23.28%,15.26%,112|1103
11,,,,,长城稳固收益债券C,000334,债券型,2017-09-06,至今,3年又36天,21.98%,15.26%,132|1103
12,,,,,长城久盛安稳纯债两年定开债,003466,定开债券,2017-09-06,2018-11-10,1年又65天,6.47%,5.01%,105|375
