,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,张波,2019-05-20,无,"张波先生:硕士,2012年7月至2013年9月任上海耀之资产管理中心(有限合伙)交易员;2013年9月至2017年10月历任鑫元基金管理有限公司交易员、交易副总监(主持工作);2017年10月加入富国基金管理有限公司,2018年1月起任富国天时货币市场基金、富国收益宝交易型货币市场基金基金经理,2018年6月起任富国富钱包货币市场基金基金经理,2018年8月起任富国安益货币市场基金基金经理。2019年12月31日起担任富国汇远纯债三年定期开放债券型证券投资基金基金经理,具有基金从业资格。",富国富钱包货币B,009586,货币型,2020-05-25,至今,139天,0.78%,0.66%,46|649
1,,,,,富国汇远三年定开债A,007990,定开债券,2019-12-31,至今,285天,2.36%,2.46%,307|767
2,,,,,富国汇远三年定开债C,007991,定开债券,2019-12-31,至今,285天,2.03%,2.46%,432|767
3,,,,,富国国有企业债债券A/B,000139,债券型,2019-05-20,至今,1年又145天,4.10%,7.67%,1158|1669
4,,,,,富国国有企业债债券C,000141,债券型,2019-05-20,至今,1年又145天,3.52%,7.67%,1404|1669
5,,,,,富国国有企业债债券D,006683,债券型,2019-05-20,至今,1年又145天,3.41%,7.67%,1435|1669
6,,,,,富国短债债券型A,006804,债券型,2019-01-18,至今,1年又267天,5.27%,9.90%,944|1521
7,,,,,富国短债债券型C,006805,债券型,2019-01-18,至今,1年又267天,4.54%,9.90%,1187|1521
8,,,,,富国安益货币,000602,货币型,2018-08-16,至今,2年又57天,5.76%,5.24%,108|636
9,,,,,富国富钱包货币A,000638,货币型,2018-06-06,至今,2年又128天,6.35%,5.98%,195|637
10,,,,,富国天时货币C,000862,货币型,2018-01-29,至今,2年又256天,7.10%,7.47%,459|636
11,,,,,富国天时货币D,000863,货币型,2018-01-29,至今,2年又256天,6.83%,7.47%,527|636
12,,,,,富国收益宝交易型货币A,001981,货币型,2018-01-29,至今,2年又256天,7.35%,7.47%,383|636
13,,,,,富国收益宝交易型货币B,001982,货币型,2018-01-29,至今,2年又256天,8.05%,7.47%,144|636
14,,,,,富国天时货币A,100025,货币型,2018-01-29,至今,2年又256天,7.09%,7.47%,462|636
15,,,,,富国天时货币B,100028,货币型,2018-01-29,至今,2年又256天,7.79%,7.47%,234|636
16,,,,,富国收益宝交易型货币H,511900,货币型,2018-01-29,至今,2年又256天,7.34%,7.47%,386|636
