,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,张洋,2019-06-05,无,"张洋先生:中国国籍,宾夕法尼亚大学电子工程专业博士,沃顿商学院统计学硕士。2012年加入工银瑞信,现任固定收益部基金经理,2015年8月17日至今,担任工银瑞信双债增强债券型证券投资基金(自2016年9月26日起,变更为工银瑞信双债增强债券型证券投资基金(LOF))基金经理;2015年8月17日至今,担任工银瑞信保本3号混合型证券投资基金基金经理;2016年11月22日至今,担任工银瑞信新得益混合型证券投资基金基金经理;2016年12月14日至今,担任工银瑞信可转债债券型证券投资基金基金经理;2016年12月29日至今,担任工银瑞信新增利混合型证券投资基金基金经理;2017年1月25日至2018年6月11日,担任工银瑞信瑞盈半年定期开放债券型证券投资基金基金经理;2018年7月2日至2020年7月31日担任工银瑞信可转债优选债券型证券投资基金基金经理;2018年7月27日至2020年1月15日,担任银瑞信新增益混合型证券投资基金基金经理;2018年7月27日-2020年1月15日,担任工银瑞信新得利混合型证券投资基金基金经理;2018年8月28日至今,担任工银瑞信添福债券型证券投资基金基金经理。2019年1月24日至2019年10月30日,担任工银瑞信聚盈混合型证券投资基金基金经理。2019年6月5日至今,担任工银瑞信月月薪定期支付债券型证券投资基金基金经理。2020年5月9日起担任工银瑞信聚和一年定期开放混合型证券投资基金基金经理。",工银聚和一年定开混合A,009031,混合型,2020-05-09,至今,155天,3.85%,20.91%,3228|3566
1,,,,,工银聚和一年定开混合C,009032,混合型,2020-05-09,至今,155天,3.59%,20.91%,3254|3566
2,,,,,工银银和利混合,001722,混合型,2019-10-21,2020-06-11,234天,1.39%,17.72%,3004|3136
3,,,,,工银月月薪定期支付债券A,000236,债券型,2019-06-05,至今,1年又129天,15.16%,7.81%,193|1692
4,,,,,工银月月薪定期支付债券C,002492,债券型,2019-06-05,至今,1年又129天,14.75%,7.81%,205|1692
5,,,,,工银瑞信聚盈混合A,006709,混合型,2019-01-24,2019-11-01,281天,4.37%,22.17%,2503|2781
6,,,,,工银瑞信聚盈混合C,006710,混合型,2019-01-24,2019-11-01,281天,3.73%,22.17%,2548|2781
7,,,,,工银添福债券A,000184,债券型,2018-08-28,至今,2年又45天,5.99%,12.63%,1141|1258
8,,,,,工银添福债券B,000185,债券型,2018-08-28,至今,2年又45天,7.44%,12.63%,947|1258
9,,,,,工银新增益混合,001721,混合型,2018-07-27,2020-01-15,1年又172天,3.92%,21.46%,2447|2656
10,,,,,工银新得利混合,002005,混合型,2018-07-27,2020-01-15,1年又172天,3.41%,21.46%,2471|2656
11,,,,,工银可转债优选债券A,005945,债券型,2018-07-02,2020-07-31,2年又30天,28.18%,14.11%,89|1238
12,,,,,工银可转债优选债券C,005946,债券型,2018-07-02,2020-07-31,2年又30天,26.96%,14.11%,94|1238
13,,,,,工银瑞盈半年定开债券,003639,定开债券,2017-01-25,2018-06-12,1年又138天,2.63%,3.15%,81|125
14,,,,,工银新增利混合,001720,混合型,2016-12-29,至今,3年又287天,26.69%,66.40%,1479|1780
15,,,,,工银可转债债券,003401,债券型,2016-12-14,至今,3年又302天,37.62%,17.25%,23|823
16,,,,,工银新得益混合,002006,混合型,2016-11-22,至今,3年又324天,41.10%,60.65%,1001|1681
17,,,,,工银成长收益混合A,000195,混合型,2015-08-17,至今,5年又57天,43.02%,72.61%,752|1106
18,,,,,工银成长收益混合B,000196,混合型,2015-08-17,至今,5年又57天,38.32%,72.61%,812|1106
19,,,,,工银双债增强债券,164814,债券型,2015-08-17,至今,5年又57天,32.69%,19.80%,54|514
