,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,张略钊,2017-10-17,无,"张略钊先生:硕士,2014年加入工银瑞信基金管理有限公司,现任固定收益部利率及衍生品策略高级研究员、基金经理。2017年10月17日至今,担任工银瑞信纯债债券型证券投资基金基金经理;2017年10月17日至今,担任工银瑞信国债纯债债券型证券投资基金基金经理;2017年12月22日至2018年6月28日,担任工银瑞信政府债纯债债券型证券投资基金(LOF)基金经理;2018年8月28日至今,担任工银瑞信增强收益债券型证券投资基金基金经理;2020年3月5日至今,担任工银瑞信开元利率债债券型证券投资基金基金经理。",工银瑞益债券A,009792,债券型,2020-09-27,至今,14天,0.05%,0.19%,1609|2551
1,,,,,工银瑞益债券C,009793,债券型,2020-09-27,至今,14天,0.03%,0.19%,1927|2551
2,,,,,工银开元利率债债券A,008539,债券型,2020-03-05,至今,220天,-0.46%,1.01%,1766|2104
3,,,,,工银开元利率债债券C,008540,债券型,2020-03-05,至今,220天,-0.70%,1.01%,1851|2104
4,,,,,工银增强收益债券B,485005,债券型,2018-08-28,至今,2年又45天,8.10%,12.63%,823|1258
5,,,,,工银增强收益债券A,485105,债券型,2018-08-28,至今,2年又45天,9.03%,12.63%,687|1258
6,,,,,工银政府债纯债债券(LOF)C,164822,债券型,2017-12-22,2018-06-28,188天,3.48%,1.16%,143|1244
7,,,,,工银纯债债券A,000402,债券型,2017-10-17,至今,2年又360天,11.76%,14.80%,753|1115
8,,,,,工银纯债债券B,000403,债券型,2017-10-17,至今,2年又360天,10.43%,14.80%,879|1115
9,,,,,工银国债纯债债券A,003342,债券型,2017-10-17,至今,2年又360天,10.56%,14.80%,867|1115
10,,,,,工银国债纯债债券C,003643,债券型,2017-10-17,至今,2年又360天,10.21%,14.80%,897|1115
