,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,张芊,2013-07-12,无,"张芊女士:经济学和工商管理双硕士,持有中国证券投资基金业从业证书。曾任中国银河证券研究中心研究员,中国人保资产管理有限公司高级研究员、投资主管,工银瑞信基金管理有限公司研究员,长盛基金管理有限公司投资经理,广发基金管理有限公司固定收益部总经理、广发聚盛灵活配置混合型证券投资基金基金经理(自2015年11月23日至2016年12月8日)、广发安宏回报灵活配置混合型证券投资基金基金经理(自2015年12月30日至2017年2月6日)、广发安富回报灵活配置混合型证券投资基金基金经理(自2015年12月29日至2018年1月6日)、广发集安债券型证券投资基金基金经理(自2017年1月20日至2018年10月9日)、广发集鑫债券型证券投资基金基金经理(自2015年12月25日至2018年12月20日)、广发集源债券型证券投资基金基金经理(自2017年1月20日至2019年1月8日)、广发集丰债券型证券投资基金基金经理(自2016年11月1日至2019年1月8日)。现任广发基金管理有限公司副总经理、固定收益投资总监、兼任固定收益管理总部总经理、广发纯债债券型证券投资基金基金经理(自2012年12月14日起任职)、广发聚鑫债券型证券投资基金基金经理(自2013年7月12日起任职)、广发鑫裕灵活配置混合型证券投资基金基金经理(自2016年3月1日起任职)、广发集裕债券型证券投资基金基金经理(自2016年5月11日起任职)、广发集丰债券型证券投资基金基金经理(自2019年9月18日起任职)、广发汇优66个月定期开放债券型证券投资基金基金经理(自2019年12月5日起任职)、广发汇利一年定期开放债券型发起式证券投资基金基金经理(自2019年12月26日起任职)、广发招享混合型证券投资基金基金经理(自2020年4月22日起任职)。广发聚荣一年持有期混合型证券投资基金(2020年6月30日起任职)基金经理。",广发鑫裕混合C,009955,混合型,2020-09-25,至今,16天,0.23%,2.71%,3878|4085
1,,,,,广发聚荣一年持有混合A,009525,混合型,2020-06-30,至今,103天,0.56%,11.37%,3571|3722
2,,,,,广发聚荣一年持有混合C,009526,混合型,2020-06-30,至今,103天,0.45%,11.37%,3580|3722
3,,,,,广发招享混合,009121,混合型,2020-04-22,至今,172天,8.74%,25.16%,2702|3289
4,,,,,广发汇利一年定期开放债券,008296,定开债券,2019-12-26,至今,290天,2.00%,2.31%,195|325
5,,,,,广发汇优66个月定期开放债券,008130,定开债券,2019-12-05,至今,311天,2.87%,2.88%,106|303
6,,,,,广发集丰债券A,002711,债券型,2019-09-18,至今,1年又24天,14.23%,5.19%,121|1828
7,,,,,广发集丰债券C,002712,债券型,2019-09-18,至今,1年又24天,13.62%,5.19%,133|1828
8,,,,,广发集源债券A,002925,债券型,2017-01-20,2019-01-08,1年又353天,9.92%,6.40%,200|988
9,,,,,广发集源债券C,002926,债券型,2017-01-20,2019-01-08,1年又353天,9.21%,6.40%,300|988
10,,,,,广发集安债券A,003211,债券型,2017-01-20,2018-06-27,1年又158天,3.46%,2.97%,553|1033
11,,,,,广发集安债券C,003212,债券型,2017-01-20,2018-06-27,1年又158天,2.24%,2.97%,718|1033
12,,,,,广发集丰债券A,002711,债券型,2016-11-01,2019-01-08,2年又68天,7.46%,3.72%,223|766
13,,,,,广发集丰债券C,002712,债券型,2016-11-01,2019-01-08,2年又68天,6.74%,3.72%,273|766
14,,,,,广发集裕债券A,002636,债券型,2016-05-11,至今,4年又154天,28.70%,18.73%,78|611
15,,,,,广发集裕债券C,002637,债券型,2016-05-11,至今,4年又154天,26.40%,18.73%,104|611
16,,,,,广发鑫裕混合A,002134,混合型,2016-03-01,至今,4年又225天,48.83%,87.09%,881|1310
17,,,,,广发安宏回报混合A,001761,混合型,2015-12-30,2017-02-06,1年又39天,13.30%,-8.18%,33|1316
18,,,,,广发安宏回报混合C,001762,混合型,2015-12-30,2017-02-06,1年又39天,10.60%,-8.18%,46|1316
19,,,,,广发安富回报混合A,002107,混合型,2015-12-29,2017-08-23,1年又238天,-5.70%,-2.20%,817|1312
20,,,,,广发安富回报混合C,002108,混合型,2015-12-29,2017-08-23,1年又238天,-5.60%,-2.20%,815|1312
21,,,,,广发集鑫债券A,000473,债券型,2015-12-25,2018-08-16,2年又235天,4.90%,2.90%,306|596
22,,,,,广发集鑫债券C,000474,债券型,2015-12-25,2018-08-16,2年又235天,5.22%,2.90%,292|596
23,,,,,广发聚盛混合A,002025,混合型,2015-11-23,2016-12-08,1年又16天,11.10%,-4.56%,72|1240
24,,,,,广发聚盛混合C,002026,混合型,2015-11-23,2016-12-08,1年又16天,5.10%,-4.56%,210|1240
25,,,,,广发聚鑫债券A,000118,债券型,2013-07-12,至今,7年又93天,131.15%,55.18%,12|380
26,,,,,广发聚鑫债券C,000119,债券型,2013-07-12,至今,7年又93天,126.61%,55.18%,13|380
27,,,,,广发纯债债券A,270048,债券型,2012-12-14,至今,7年又303天,49.79%,64.68%,193|299
28,,,,,广发纯债债券C,270049,债券型,2012-12-14,至今,7年又303天,46.85%,64.68%,205|299
