,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,张清华,2014-01-09,无,"张清华先生:物理学硕士。曾任晨星资讯(深圳)有限公司数量分析师,中信证券股份有限公司研究员,易方达基金管理有限公司投资经理、固定收益基金投资部总经理、易方达裕如灵活配置混合型证券投资基金基金经理(自2015年4月2日至2018年2月1日)、易方达新收益灵活配置混合型证券投资基金基金经理(自2015年4月17日至2018年2月1日)、易方达瑞选灵活配置混合型证券投资基金基金经理(自2015年12月9日至2018年2月1日)、易方达新利灵活配置混合型证券投资基金基金经理(自2016年3月15日至2018年2月1日)、易方达新鑫灵活配置混合型证券投资基金基金经理(自2016年3月15日至2018年2月1日)、易方达新享灵活配置混合型证券投资基金基金经理(自2016年3月29日至2018年2月1日)、易方达瑞景灵活配置混合型证券投资基金基金经理(自2016年8月6日至2018年2月1日)、易方达瑞通灵活配置混合型证券投资基金基金经理(自2016年12月7日至2018年2月1日)、易方达瑞程灵活配置混合型证券投资基金基金经理(自2016年12月15日至2018年2月1日)、易方达瑞弘灵活配置混合型证券投资基金基金经理(自2017年1月11日至2018年2月1日)、易方达裕鑫债券型证券投资基金基金经理(自2016年9月5日至2019年9月27日)、易方达瑞信灵活配置混合型证券投资基金基金经理(自2018年1月30日至2020年3月6日)、易方达瑞和灵活配置混合型证券投资基金基金经理(自2018年2月7日至2020年3月6日)、易方达鑫转添利混合型证券投资基金基金经理(自2018年8月9日至2020年3月6日)、易方达鑫转增利混合型证券投资基金基金经理(自2018年11月7日至2020年3月6日)、易方达鑫转招利混合型证券投资基金基金经理(自2019年1月29日至2020年3月6日)。现任易方达基金管理有限公司副总经理级高级管理人员、混合资产投资部总经理、固定收益投资决策委员会委员、易方达安心回报债券型证券投资基金基金经理(自2013年12月23日起任职)、易方达裕丰回报债券型证券投资基金基金经理(自2014年1月9日起任职)、易方达安心回馈混合型证券投资基金基金经理(自2015年5月29日起任职)、易方达裕祥回报债券型证券投资基金基金经理(自2016年1月22日起任职)、易方达丰和债券型证券投资基金基金经理(自2016年11月23日起任职)、易方达安盈回报混合型证券投资基金基金经理(自2017年2月16日起任职)、易方达新收益灵活配置混合型证券投资基金基金经理(自2018年12月25日起任职)、易方达丰华债券型证券投资基金基金经理(自2019年2月19日起任职)。易方达磐固六个月持有期混合型证券投资基金基金经理(自2020年9月3日起任职)。",易方达磐固六个月持有期混合A,009900,混合型,2020-09-03,至今,38天,0.16%,-1.40%,713|3661
1,,,,,易方达磐固六个月持有期混合C,009901,混合型,2020-09-03,至今,38天,0.11%,-1.40%,765|3661
2,,,,,易方达丰华债券A,000189,债券型,2019-02-19,至今,1年又235天,25.39%,8.86%,79|1494
3,,,,,易方达丰华债券C,006867,债券型,2019-02-19,至今,1年又235天,24.59%,8.81%,83|1503
4,,,,,易方达鑫转招利混合A,006013,混合型,2019-01-29,2020-03-07,1年又38天,30.67%,39.99%,1563|2787
5,,,,,易方达鑫转招利混合C,006014,混合型,2019-01-29,2020-03-07,1年又38天,30.12%,39.99%,1582|2787
6,,,,,易方达新收益混合A,001216,混合型,2018-12-25,至今,1年又291天,149.65%,75.20%,192|2694
7,,,,,易方达新收益混合C,001217,混合型,2018-12-25,至今,1年又291天,147.83%,75.20%,201|2694
8,,,,,易方达鑫转增利混合A,005876,混合型,2018-11-07,2020-03-07,1年又121天,28.81%,39.65%,1578|2707
9,,,,,易方达鑫转增利混合C,005877,混合型,2018-11-07,2020-03-07,1年又121天,27.69%,39.65%,1620|2707
10,,,,,易方达鑫转添利混合A,005955,混合型,2018-08-09,2020-03-07,1年又211天,52.03%,31.70%,453|2620
11,,,,,易方达鑫转添利混合C,005956,混合型,2018-08-09,2020-03-07,1年又211天,49.85%,31.70%,515|2620
12,,,,,易方达瑞和灵活配置混合,001562,混合型,2018-02-07,2020-03-07,2年又29天,58.20%,27.64%,242|2515
13,,,,,易方达瑞信混合I,001441,混合型,2018-01-30,2020-03-07,2年又37天,34.30%,20.04%,433|2330
14,,,,,易方达瑞信混合E,001442,混合型,2018-01-30,2020-03-07,2年又37天,33.70%,20.04%,459|2330
