,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,彭海平,2018-09-12,无,"彭海平先生:中国科学技术大学概率论与数理统计专业硕士。2009年7月进入中海基金管理有限公司工作,历任金融工程助理分析师、金融工程分析师、金融工程分析师兼基金经理助理。2013年1月至今任中海上证50指数增强型证券投资基金基金经理,2015年7月至今任中海中证高铁产业指数分级证券投资基金基金经理,2016年4月至今任中海优势精选灵活配置混合型证券投资基金基金经理,2016年12月至今任中海量化策略混合型证券投资基金基金经理,2017年4月至今任中海添顺定期开放混合型证券投资基金基金经理。",中海可转债债券A,000003,债券型,2018-09-12,至今,2年又30天,40.21%,13.12%,38|1269
1,,,,,中海可转债债券C,000004,债券型,2018-09-12,至今,2年又30天,39.91%,13.12%,39|1269
2,,,,,中海中鑫灵活配置混合,002110,混合型,2018-04-04,2018-10-09,188天,-10.66%,-9.27%,1441|2674
3,,,,,中海添瑞定开混合,005252,混合型,2018-01-19,2019-04-27,1年又98天,6.84%,-1.85%,344|2461
4,,,,,中海添顺定期开放混合,004219,混合型,2017-04-27,2019-04-27,2年又0天,8.36%,8.07%,957|1976
5,,,,,中海量化策略混合,398041,混合型,2016-12-20,至今,3年又296天,80.87%,66.83%,542|1739
6,,,,,中海优势精选灵活配置混合,393001,混合型,2016-04-26,至今,4年又169天,18.03%,74.13%,1293|1392
7,,,,,中海混改红利混合,001574,混合型,2016-03-29,2016-08-05,129天,-7.38%,4.73%,1442|1451
8,,,,,中海分红增利混合,398011,混合型,2016-03-29,2016-08-05,129天,-5.30%,4.73%,1429|1451
9,,,,,中海蓝筹混合,398031,混合型,2016-03-29,2016-08-05,129天,-4.71%,4.73%,1423|1451
10,,,,,中海中证高铁产业指数分级,502030,股票指数,2015-07-31,2018-11-15,3年又108天,-52.05%,-15.98%,489|501
11,,,,,中海中证高铁产业指数分级A,502031,固定收益,2015-07-31,2018-11-15,3年又108天,18.19%,-22.58%,37|204
12,,,,,中海中证高铁产业指数分级B,502032,分级杠杆,2015-07-31,2018-11-15,3年又108天,-91.62%,-22.58%,191|204
13,,,,,中海上证50指数增强,399001,股票指数,2013-01-08,至今,7年又278天,123.83%,129.64%,77|181
