,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,徐一恒,2020-06-04,无,"徐一恒先生:国籍,中国。学历,武汉大学金融工程学硕士。相关业务资格:证券投资基金从业资格。从业经历:2010年7月至2014年12月任汇添富基金债券分析师,2014年12月至2019年8月任汇添富基金专户投资经理。2019年9月4日至今任汇添富鑫益定开债的基金经理。2019年12月4日担任汇添富鑫远债券型证券投资基金基金经理。2020年6月4日担任汇添富实业债债券型证券投资基金基金经理。2020年6月4日担任汇添富年年泰定期开放混合型证券投资基金基金经理。2020年6月4日担任汇添富年年益定期开放混合型证券投资基金基金经理。2020年6月4日担任汇添富年年丰定期开放混合型证券投资基金基金经理。2020年8月5日担任汇添富稳健收益混合型证券投资基金基金经理。2020年9月10日担任汇添富稳健添盈一年持有期混合型证券投资基金基金经理。",汇添富稳健添盈一年持有混合,010045,混合型,2020-09-10,至今,31天,0.20%,3.72%,3431|3685
1,,,,,汇添富稳健收益混合A,009736,混合型,2020-08-05,至今,67天,0.16%,0.21%,2204|3865
2,,,,,汇添富稳健收益混合C,009737,混合型,2020-08-05,至今,67天,0.08%,0.21%,2254|3865
3,,,,,汇添富实业债债券A,000122,债券型,2020-06-04,至今,129天,0.33%,1.29%,990|2288
4,,,,,汇添富实业债债券C,000123,债券型,2020-06-04,至今,129天,0.17%,1.29%,1125|2288
5,,,,,添富年年泰定开混合A,004436,混合型,2020-06-04,至今,129天,5.59%,19.12%,3002|3413
6,,,,,添富年年泰定开混合C,004437,混合型,2020-06-04,至今,129天,5.38%,19.12%,3024|3413
7,,,,,汇添富年年丰定开混合A,004451,混合型,2020-06-04,至今,129天,7.99%,19.12%,2749|3413
8,,,,,汇添富年年丰定开混合C,004452,混合型,2020-06-04,至今,129天,7.85%,19.12%,2767|3413
9,,,,,添富年年益定开混合A,004534,混合型,2020-06-04,至今,129天,8.06%,19.12%,2743|3413
10,,,,,添富年年益定开混合C,004535,混合型,2020-06-04,至今,129天,7.91%,19.12%,2760|3413
11,,,,,汇添富鑫远债券,008081,债券型,2019-12-04,至今,312天,1.34%,4.56%,1728|1947
12,,,,,汇添富鑫益定开债发起式A,004469,定开债券,2019-09-04,至今,1年又38天,2.88%,3.52%,224|309
13,,,,,汇添富鑫益定开债发起式C,004470,定开债券,2019-09-04,至今,1年又38天,2.40%,3.52%,272|309
