,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,徐光,2020-07-08,无,"徐光先生:中国国籍。美国伊利诺伊理工学院金融学硕士。2012年12月加入汇添富基金管理股份有限公司,历任债券交易员、高级债券交易员。2018年8月21日至今任汇添富季季红定期开放债券的基金经理,2018年8月21日至2020年3月23日任添富鑫泽定开债的基金经理,2018年9月28日至今任汇添富高息债债券、汇添富年年利定期开放债券的基金经理,2018年12月24日至2020年3月23日任添富丰润中短债的基金经理,2019年2月22日至2020年6月3日任添富AAA级信用纯债的基金经理,2019年3月15日至今任汇添富增强收益债券的基金经理,2020年3月30日至今任汇添富鑫福债的基金经理,2020年4月9日至今任汇添富中短债的基金经理。2020年7月8日任职汇添富双利增强债券型证券投资基金基金经理。2018年9月28日至2020年9月1日担任汇添富鑫成定期开放债券型发起式证券投资基金基金经理。",汇添富双利增强债券A,000406,债券型,2020-07-08,至今,95天,0.68%,0.20%,427|2354
1,,,,,汇添富双利增强债券C,000407,债券型,2020-07-08,至今,95天,0.60%,0.20%,510|2354
2,,,,,汇添富中短债A,007901,债券型,2020-04-09,至今,185天,0.45%,0.61%,694|2140
3,,,,,汇添富中短债C,007902,债券型,2020-04-09,至今,185天,0.25%,0.61%,780|2140
4,,,,,汇添富鑫福债,008398,债券型,2020-03-30,至今,195天,-0.77%,1.58%,1778|2127
5,,,,,汇添富增强收益债券C,470078,债券型,2019-03-15,至今,1年又211天,4.55%,7.86%,1126|1612
6,,,,,汇添富增强收益债券A,519078,债券型,2019-03-15,至今,1年又211天,5.10%,7.86%,927|1612
7,,,,,汇添富AAA级信用纯债A,006884,债券型,2019-02-22,2020-06-03,1年又102天,6.20%,6.71%,547|1593
8,,,,,汇添富AAA级信用纯债C,006885,债券型,2019-02-22,2020-06-03,1年又102天,5.66%,6.71%,705|1593
9,,,,,汇添富丰润中短债,006772,债券型,2018-12-24,2020-03-23,1年又90天,5.15%,8.56%,1132|1417
10,,,,,汇添富高息债债券A,000174,债券型,2018-09-28,至今,2年又14天,13.45%,12.32%,357|1342
11,,,,,汇添富高息债债券C,000175,债券型,2018-09-28,至今,2年又14天,12.57%,12.32%,396|1342
12,,,,,汇添富年年利定开债A,000221,定开债券,2018-09-28,至今,2年又14天,15.93%,9.59%,28|503
13,,,,,汇添富年年利定开债C,000222,定开债券,2018-09-28,至今,2年又14天,15.06%,9.59%,32|503
14,,,,,汇添富鑫成定开债A,005857,定开债券,2018-09-28,2020-09-01,1年又339天,8.61%,9.17%,141|273
15,,,,,汇添富鑫成定开债C,005858,定开债券,2018-09-28,2020-09-01,1年又339天,,,-|-
16,,,,,汇添富鑫泽定开债A,004831,定开债券,2018-08-21,2020-03-23,1年又215天,7.38%,9.26%,125|157
17,,,,,汇添富鑫泽定开债C,004832,定开债券,2018-08-21,2020-03-23,1年又215天,,,-|-
18,,,,,汇添富季季红定开债,164702,定开债券,2018-08-21,至今,2年又52天,18.74%,9.90%,4|190
