,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,徐喻军,2017-12-05,无,"徐喻军先生:中国国籍,硕士研究生、理学硕士。2010年7月至2012年3月任职于安信证券,担任风险管理部风险管理专员。2012年3月加入景顺长城基金管理有限公司,担任量化及ETF投资部ETF专员职务;自2014年4月起担任量化及指数投资部基金经理,现担任量化及指数投资部总监助理兼基金经理。2018年8月7日至2019年11月18日任景顺长城中证TMT150交易型开放式指数证券投资基金基金经理。自2018年5月16日至2019年11月18日任景顺长城MSCI中国A股国际通交易型开放式指数证券投资基金联接基金基金经理。2018年8月7日至2019年11月8日任景顺长城中证TMT150交易型开放式指数证券投资基金联接基金基金基金经理。2020年3月10日离任景顺长城MSCI中国A股国际通交易型开放式指数证券投资基金基金经理。2017年3月至2020年4月17日任景顺长城中证500行业中性低波动指数型证券投资基金基金经理。2017年3月1日至2020年4月17日担任景顺长城研究精选股票型证券投资基金基金经理。2017年12月5日至2020年4月17日担任景顺长城睿成灵活配置混合型证券投资基金基金经理。2020年7月2日起任景顺长城MSCI中国A股国际通指数增强型证券投资基金基金经理。2020年7月25日起不在担任景顺长城公司治理混合型证券投资基金基金经理。",景顺长城MSCI中国A股国际通,006063,股票指数,2020-07-02,至今,101天,10.51%,10.44%,759|1562
1,,,,,景顺中证红利成长低波动A,007751,股票指数,2019-09-06,至今,1年又36天,-1.05%,36.20%,1190|1245
2,,,,,景顺中证红利成长低波动C,007760,股票指数,2019-09-06,至今,1年又36天,-1.32%,36.20%,1192|1245
3,,,,,景顺长城量化先锋混合,006201,混合型,2019-07-16,至今,1年又88天,37.97%,49.18%,1689|2928
4,,,,,景顺长城中证500增强,006682,股票指数,2019-03-25,至今,1年又201天,31.71%,44.79%,677|1090
5,,,,,景顺中证TMT150ETF联接,001361,联接基金,2018-08-07,2019-11-18,1年又103天,13.76%,16.10%,560|968
6,,,,,景顺中证TMT150ETF,512220,ETF-场内,2018-08-07,2019-11-18,1年又103天,14.76%,16.10%,526|968
7,,,,,景顺MSCI中国A股国际通联接,005832,联接基金,2018-05-16,2019-11-18,1年又186天,6.37%,1.21%,305|924
8,,,,,景顺MSCI中国A股ETF,512280,ETF-场内,2018-04-27,2020-03-10,1年又318天,13.71%,17.42%,507|925
9,,,,,景顺长城泰恒回报混合A,005325,混合型,2018-03-06,至今,2年又220天,38.45%,46.82%,1184|2363
10,,,,,景顺长城泰恒回报混合C,005326,混合型,2018-03-06,至今,2年又220天,37.56%,46.82%,1209|2363
11,,,,,景顺长城量化平衡混合,005258,混合型,2017-12-27,至今,2年又289天,34.45%,48.95%,1303|2246
12,,,,,景顺长城优质成长股票,000411,股票型,2017-12-05,至今,2年又311天,41.82%,40.31%,299|776
13,,,,,景顺长城睿成混合A,004707,混合型,2017-12-05,2020-04-17,2年又134天,13.50%,18.32%,1228|2238
14,,,,,景顺长城睿成混合C,004719,混合型,2017-12-05,2020-04-17,2年又134天,12.65%,18.32%,1281|2238
15,,,,,景顺长城领先回报混合A,001362,混合型,2017-06-10,至今,3年又124天,36.80%,61.03%,1327|2034
16,,,,,景顺长城领先回报混合C,001379,混合型,2017-06-10,至今,3年又124天,35.89%,61.03%,1356|2034
17,,,,,景顺中证500行业中性低波动,003318,股票指数,2017-03-03,2020-04-17,3年又46天,-2.24%,17.27%,503|671
18,,,,,景顺长城研究精选股票,000688,股票型,2017-03-01,2020-04-17,3年又48天,21.68%,16.78%,255|666
19,,,,,景顺长城支柱产业混合,260117,混合型,2017-03-01,至今,3年又225天,73.37%,62.34%,628|1904
20,,,,,景顺长城公司治理混合,260111,混合型,2017-01-06,2020-07-24,3年又200天,76.03%,55.98%,499|1917
21,,,,,景顺长城中证500ETF联接,001455,联接基金,2015-06-29,2019-07-15,4年又17天,-31.50%,-8.59%,317|425
22,,,,,景顺长城中证500ETF,159935,ETF-场内,2014-12-27,2019-07-15,4年又201天,-2.20%,22.47%,232|290
23,,,,,景顺沪深300等权ETF,159924,ETF-场内,2014-04-19,2018-03-07,3年又323天,63.64%,85.19%,160|244
24,,,,,景顺上证180等权联接,263001,联接基金,2014-04-19,2018-04-23,4年又5天,46.66%,74.68%,188|243
25,,,,,景顺长城上证180等权ETF,510420,ETF-场内,2014-04-19,2018-10-29,4年又194天,23.68%,46.83%,164|241
