,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,徐寅喆,2016-06-07,无,"徐寅喆女士:国籍:中国,民族汉。学历:复旦大学管理学硕士。曾任长江养老保险股份有限公司债券交易员。2012年5月加入汇添富基金管理股份有限公司任债券交易员、固定收益基金经理助理,现任现金管理部主管。2014年8月27日至今任汇添富理财7天债券型证券投资基金的基金经理,2014年11月26日至今任汇添富和聚宝货币市场基金经理,2014年12月23日至2018年5月4日任汇添富收益快钱货币基金基金经理,2016年6月7日至2018年5月4日任汇添富全额宝货币基金的基金经理,2018年5月4日至今任汇添富货币基金、汇添富理财14天债券基金、汇添富理财60天债券基金的基金经理,2019年1月25日至今任汇添富添富通货币基金的基金经理,2019年9月10日至今任汇添富汇鑫货币基金的基金经理。2020年2月26日任职汇添富全额宝货币市场基金基金经理,2020年2月26日任职汇添富收益快线货币市场基金基金经理。2018年5月4日至2020年8月18日任职汇添富理财30天债券型证券投资基金基金经理。",汇添富现金宝货币B,009588,货币型,2020-07-02,至今,101天,0.54%,0.48%,176|654
1,,,,,汇添富现金宝货币C,009589,货币型,2020-07-02,至今,101天,0.52%,0.45%,113|657
2,,,,,汇添富全额宝货币,000397,货币型,2020-02-26,至今,228天,1.20%,1.14%,254|647
3,,,,,汇添富收益快线货币A,519888,货币型,2020-02-26,至今,228天,0.87%,1.14%,613|647
4,,,,,汇添富收益快线货币B,519889,货币型,2020-02-26,至今,228天,1.24%,1.14%,154|647
5,,,,,汇添富汇鑫货币A,007868,货币型,2019-09-10,至今,1年又32天,2.59%,2.41%,3|10
6,,,,,汇添富汇鑫货币B,007869,货币型,2019-09-10,至今,1年又32天,2.74%,2.41%,1|10
7,,,,,汇添富添富通货币A,000366,货币型,2019-01-25,至今,1年又260天,3.81%,3.90%,402|636
8,,,,,汇添富添富通货币B,000980,货币型,2019-01-25,至今,1年又260天,4.23%,3.90%,133|636
9,,,,,汇添富添富通货币E,511980,货币型,2019-01-25,至今,1年又260天,3.77%,3.90%,424|636
10,,,,,汇添富货币C,000642,货币型,2018-05-04,至今,2年又161天,6.64%,6.34%,235|637
11,,,,,汇添富货币D,000650,货币型,2018-05-04,至今,2年又161天,6.63%,6.34%,231|637
12,,,,,汇添富理财60天债券E,005503,债券型,2018-05-04,至今,2年又161天,3.39%,7.16%,1481|1663
13,,,,,汇添富理财14天债券A,470014,债券型,2018-05-04,至今,2年又161天,1.05%,3.27%,1671|2003
14,,,,,汇添富鑫禧债券,470030,债券型,2018-05-04,2020-08-19,2年又108天,0.00%,0.00%,1|2444
15,,,,,汇添富理财60天债券A,470060,债券型,2018-05-04,至今,2年又161天,3.16%,7.16%,1518|1663
16,,,,,汇添富理财14天债券B,471014,债券型,2018-05-04,至今,2年又161天,3.03%,3.27%,584|2003
17,,,,,汇添富理财30天债券B,471030,理财型,2018-05-04,2020-08-19,2年又108天,7.76%,6.93%,2|29
18,,,,,汇添富理财60天债券B,471060,债券型,2018-05-04,至今,2年又161天,3.32%,7.28%,1501|1665
19,,,,,汇添富货币B,519517,货币型,2018-05-04,至今,2年又161天,7.26%,6.34%,39|637
20,,,,,汇添富货币A,519518,货币型,2018-05-04,至今,2年又161天,6.63%,6.34%,231|637
21,,,,,汇添富理财60天债券E,005503,债券型,2017-12-21,2018-01-30,40天,,0.78%,781|1326
22,,,,,汇添富现金宝货币A,000330,货币型,2017-08-21,2018-01-30,162天,1.89%,1.82%,164|620
23,,,,,汇添富添富通货币A,000366,货币型,2017-08-21,2018-01-30,162天,1.63%,1.82%,582|620
24,,,,,汇添富货币C,000642,货币型,2017-08-21,2018-01-30,162天,1.69%,1.82%,529|620
25,,,,,汇添富货币D,000650,货币型,2017-08-21,2018-01-30,162天,1.69%,1.82%,529|620
26,,,,,汇添富添富通货币B,000980,货币型,2017-08-21,2018-01-30,162天,1.74%,1.82%,472|620
27,,,,,汇添富理财14天债券A,470014,债券型,2017-08-21,2018-01-30,162天,,1.87%,6|11
28,,,,,汇添富鑫禧债券,470030,债券型,2017-08-21,2018-01-30,162天,,1.88%,28|44
29,,,,,汇添富理财60天债券A,470060,债券型,2017-08-21,2018-01-30,162天,,1.87%,6|11
30,,,,,汇添富理财14天债券B,471014,债券型,2017-08-21,2018-01-30,162天,,1.87%,1|11
31,,,,,汇添富理财30天债券B,471030,理财型,2017-08-21,2018-01-30,162天,1.99%,1.85%,7|36
32,,,,,汇添富理财60天债券B,471060,债券型,2017-08-21,2018-01-30,162天,,1.87%,1|11
