,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,徐猛,2015-12-21,无,"徐猛先生:清华大学工学硕士。曾任财富证券助理研究员,原中关村证券研究员等。2006年2月加入华夏基金管理有限公司,曾任数量投资部基金经理助理、上证原材料交易型开放式指数发起式证券投资基金基金经理(2016年1月29日至2016年3月28日期间)等,现任数量投资部总监,上证金融地产交易型开放式指数发起式证券投资基金基金经理(2013年4月8日起任职)、华夏沪港通恒生交易型开放式指数证券投资基金基金经理(2015年3月12日起任职)、华夏沪港通恒生交易型开放式指数证券投资基金联接基金基金经理(2015年3月12日起任职)、恒生交易型开放式指数证券投资基金基金经理(2015年12月21日起任职)、恒生交易型开放式指数证券投资基金联接基金基金经理(2015年12月21日起任职)、华夏上证50交易型开放式指数证券投资基金联接基金基金经理(2016年12月1日起任职)、中小企业板交易型开放式指数基金基金经理(2016年12月1日起任职)、华夏创业板交易型开放式指数证券投资基金基金经理(2017年12月8日起任职)、战略新兴成指交易型开放式指数证券投资基金基金经理(2018年7月13日起任职)、华夏创业板交易型开放式指数证券投资基金发起式联接基金基金经理(2018年8月14日起任职)、华夏中小企业板交易型开放式指数基金发起式联接基金基金经理(2018年9月10日起任职)、上证50交易型开放式指数证券投资基金基金经理(2020年3月6日起任职)。",华夏上证50ETF,510050,ETF-场内,2020-03-06,至今,219天,12.99%,19.37%,1034|1441
1,,,,,华夏战略新兴成指ETF联接A,006909,联接基金,2019-06-05,至今,1年又129天,88.23%,54.79%,185|1152
2,,,,,华夏战略新兴成指ETF联接C,006910,联接基金,2019-06-05,至今,1年又129天,87.47%,54.79%,188|1152
3,,,,,华夏恒生ETF联接C,006381,QDII-指数,2018-09-19,至今,2年又23天,-9.43%,-3.83%,23|27
4,,,,,华夏中小板ETF联接A,006246,联接基金,2018-09-10,至今,2年又32天,59.17%,68.83%,535|959
5,,,,,华夏中小板ETF联接C,006247,联接基金,2018-09-10,至今,2年又32天,57.89%,68.83%,555|959
6,,,,,华夏创业板ETF联接A,006248,联接基金,2018-08-14,至今,2年又59天,81.85%,60.12%,202|951
7,,,,,华夏创业板ETF联接C,006249,联接基金,2018-08-14,至今,2年又59天,80.69%,60.12%,206|951
8,,,,,华夏战略新兴成指ETF,512770,ETF-场内,2018-07-13,至今,2年又91天,84.71%,53.03%,137|945
9,,,,,华夏上证50ETF联接C,005733,联接基金,2018-03-08,至今,2年又218天,16.35%,38.91%,639|839
10,,,,,华夏沪港通恒生ETF联接C,005734,QDII-指数,2018-03-08,至今,2年又218天,-11.16%,-8.83%,16|24
11,,,,,华夏创业板ETF,159957,ETF-场内,2017-12-08,至今,2年又308天,61.25%,40.19%,172|803
12,,,,,华夏上证50ETF联接A,001051,联接基金,2016-12-01,至今,3年又315天,41.73%,49.65%,307|618
13,,,,,华夏中小板ETF,159902,ETF-场内,2016-12-01,至今,3年又315天,32.28%,49.65%,377|618
14,,,,,华夏材料ETF,510620,ETF-场内,2016-01-29,2016-03-29,60天,12.76%,8.97%,54|597
15,,,,,华夏恒生ETF联接A,000071,QDII-指数,2015-12-21,至今,4年又296天,25.75%,18.17%,4|17
16,,,,,华夏恒生ETF联接现汇,000075,QDII-指数,2015-12-21,至今,4年又296天,20.05%,18.17%,10|17
17,,,,,华夏恒生ETF联接现钞,000076,QDII-指数,2015-12-21,至今,4年又296天,,2.13%,25|29
18,,,,,华夏恒生ETF(QDII),159920,QDII-ETF,2015-12-21,至今,4年又296天,26.19%,18.17%,3|17
19,,,,,华夏沪港通恒生ETF联接A,000948,QDII-指数,2015-03-12,至今,5年又215天,15.52%,7.47%,7|17
20,,,,,华夏沪港通恒生ETF,513660,QDII-ETF,2015-03-12,至今,5年又215天,23.37%,7.47%,5|17
21,,,,,上证金融地产发起式ETF,510650,ETF-场内,2013-04-08,至今,7年又188天,102.06%,132.48%,139|197
