,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,戴钢,2013-09-10,无,"戴钢先生:国籍中国,经济学硕士。曾就职于广东民安证券研究发展部,担任研究员;2005年9月加盟鹏华基金管理有限公司,从事研究分析工作,历任债券研究员、专户投资经理等职;2011年12月至2016年2月担任鹏华丰泽债券(LOF)基金基金经理,2012年6月起担任鹏华金刚保本混合基金基金经理,2012年11月起兼任鹏华中小企业纯债债券(2015年11月已转型为鹏华丰和债券(LOF)基金)基金基金经理,2013年9月起兼任鹏华丰实定期开放债券基金基金经理,2013年9月起兼任鹏华丰泰定期开放债券基金基金经理,2013年10月起兼任鹏华丰信分级债券基金基金经理,2016年3月起兼任鹏华丰尚定期开放债券基金基金经理,22016年04月至2018年10月担任鹏华金鼎保本混合基金基金经理;2016年08月至2018年05月担任鹏华丰饶债券基金基金经理;2018年05月至2018年12月担任鹏华普悦债券基金基金经理;2018年07月担任鹏华宏观混合基金基金经理;2018年09月担任鹏华弘实混合基金基金经理;2018年10月担任鹏华金鼎混合基金基金经理。戴钢先生具备基金从业资格。",鹏华锦利两年定开债,007682,定开债券,2019-09-04,至今,1年又38天,3.84%,3.52%,98|309
1,,,,,鹏华弘实混合A,001329,混合型,2018-09-01,至今,2年又41天,19.25%,62.64%,2318|2615
2,,,,,鹏华弘实混合C,001330,混合型,2018-09-01,至今,2年又41天,19.11%,62.64%,2323|2615
3,,,,,鹏华丰和债券(LOF)C,006057,债券型,2018-06-07,至今,2年又127天,25.67%,13.65%,90|1200
4,,,,,鹏华丰饶定开债,000329,定开债券,2016-08-24,2018-05-31,1年又280天,0.30%,2.18%,63|91
5,,,,,鹏华金鼎灵活配置混合A,002504,混合型,2016-04-13,至今,4年又182天,47.20%,69.96%,833|1378
6,,,,,鹏华金鼎灵活配置混合C,002505,混合型,2016-04-13,至今,4年又182天,43.00%,69.96%,903|1378
7,,,,,鹏华丰尚定开债A,002395,定开债券,2016-03-22,至今,4年又204天,18.52%,18.50%,34|74
8,,,,,鹏华丰尚定开债B,002396,定开债券,2016-03-22,至今,4年又204天,16.67%,18.50%,48|74
9,,,,,鹏华丰泰定开债B,001950,定开债券,2015-10-28,至今,4年又350天,15.31%,21.52%,53|61
10,,,,,鹏华普悦债券,000291,债券型,2013-10-22,2018-12-26,5年又66天,42.46%,34.96%,107|403
11,,,,,鹏华丰信分级债券A,000292,固定收益,2013-10-22,2018-05-14,4年又205天,20.28%,20.60%,5|6
12,,,,,鹏华丰信分级债券B,000293,分级杠杆,2013-10-22,2018-05-14,4年又205天,42.01%,20.60%,3|6
13,,,,,鹏华丰泰定开债A,000289,定开债券,2013-09-24,至今,7年又19天,48.32%,49.96%,18|34
14,,,,,鹏华丰实定开债A,000295,定开债券,2013-09-10,至今,7年又33天,48.42%,50.20%,17|32
15,,,,,鹏华丰实定开债B,000296,定开债券,2013-09-10,至今,7年又33天,44.76%,50.20%,19|32
16,,,,,鹏华丰和债券(LOF)A,160621,债券型,2012-11-05,至今,7年又342天,85.61%,68.67%,56|262
17,,,,,鹏华宏观灵活配置混合,206013,混合型,2012-06-13,至今,8年又122天,76.72%,207.62%,438|491
18,,,,,鹏华丰泽分级债券B,150061,分级杠杆,2011-12-08,2014-12-08,3年又1天,40.90%,27.58%,3|14
19,,,,,鹏华丰泽债券(LOF),160618,债券型,2011-12-08,2016-02-04,4年又59天,47.38%,45.33%,83|214
20,,,,,鹏华丰泽分级债券A,160619,固定收益,2011-12-08,2014-12-08,3年又1天,13.51%,27.58%,9|14
