,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,方孝成,2017-11-08,无,"方孝成先生:中国,经济学硕士。2000年7月至2001年12月任新华社参编部编辑;2002年1月至2005年12月任J.D. Power(Mac Graw Hill集团成员)市场研究部分析师;2006年1月至2009年1月任大公国际资信评估有限公司金融机构部副总经理;2009年2月至2011年1月任合众人寿保险股份有限公司风险管理部信用评级室主任;2011年2月至2015年9月任合众资产管理股份有限公司固定收益投资部投资经理;2015年9月至2017年7月任光大永明资产管理股份有限公司固定收益投资部执行总经理。2017年7月加入大成基金管理有限公司,任固定收益总部投资经理,2017年11月8日起任大成景旭纯债债券型证券投资基金基金经理。2018年1月23日起担任大成现金增利货币市场基金基金经理。2018年3月23日起担任大成慧成货币市场基金基金经理。2018年8月28日起任大成惠利纯债债券型证券投资基金基金经理。2018年12月27日起任大成惠明定期开放纯债债券型证券投资基金基金经理。2019年6月24日至2020年9月18日任大成景盈债券型证券投资基金基金经理。2019年6月27日起任大成中债3-5年国开行债券指数证券投资基金基金经理。具备基金从业资格。2020年3月11日担任大成中债1-3年国开行债券指数证券投资基金基金经理。2020年3月20日起任大成惠明纯债债券型证券投资基金基金经理。2020年9月1日担任大成景轩中高等级债券型证券投资基金基金经理。2020年09月04日担任大成彭博巴克莱政策性银行债券3-5年指数证券投资基金基金经理。历任大成惠福纯债债券型证券投资基金基金经理。",大成彭博3-5年政金债A,009221,债券指数,2020-09-04,至今,37天,0.31%,-0.03%,593|2499
1,,,,,大成彭博3-5年政金债C,009222,债券指数,2020-09-04,至今,37天,0.30%,-0.03%,667|2499
2,,,,,大成景轩中高等级债券A,009495,债券型,2020-09-01,至今,40天,0.12%,-0.17%,1475|2461
3,,,,,大成景轩中高等级债券C,009496,债券型,2020-09-01,至今,40天,0.08%,-0.17%,1580|2461
4,,,,,大成安诚债券A,009396,债券型,2020-07-28,至今,75天,,,-|-
5,,,,,大成安诚债券C,009397,债券型,2020-07-28,至今,75天,,,-|-
6,,,,,大成中债1-3年国开债指数A,007946,债券指数,2020-03-11,至今,214天,0.11%,1.16%,1299|2102
7,,,,,大成中债1-3年国开债指数C,007947,债券指数,2020-03-11,至今,214天,0.06%,1.16%,1351|2102
8,,,,,大成惠福债券,006812,债券型,2019-07-31,2020-09-18,1年又50天,1.69%,6.11%,1666|1767
9,,,,,大成中债3-5年国开债A,007507,债券指数,2019-06-27,至今,1年又107天,3.54%,6.94%,1245|1716
10,,,,,大成中债3-5年国开债C,007508,债券指数,2019-06-27,至今,1年又107天,3.38%,6.94%,1327|1716
11,,,,,大成景盈债券,006811,债券型,2019-06-24,2020-09-18,1年又87天,3.06%,6.99%,1456|1714
12,,,,,大成惠明纯债债券,004389,债券型,2018-12-27,至今,1年又289天,6.17%,11.35%,878|1410
13,,,,,大成景旭纯债债券B,006674,债券型,2018-11-22,至今,1年又324天,5.96%,11.44%,1009|1355
14,,,,,大成惠利纯债,003574,债券型,2018-08-28,至今,2年又45天,8.06%,12.63%,831|1258
15,,,,,大成慧成货币A,002200,货币型,2018-03-23,2019-09-29,1年又190天,3.38%,4.55%,626|641
16,,,,,大成慧成货币B,002201,货币型,2018-03-23,2019-09-29,1年又190天,3.76%,4.55%,610|641
17,,,,,大成慧成货币E,002202,货币型,2018-03-23,2019-09-29,1年又190天,3.38%,4.55%,626|641
18,,,,,大成现金增利货币A,090022,货币型,2018-01-23,2019-09-29,1年又249天,5.08%,5.25%,441|640
19,,,,,大成现金增利货币B,091022,货币型,2018-01-23,2019-09-29,1年又249天,5.50%,5.25%,235|640
20,,,,,大成景旭纯债债券A,000152,债券型,2017-11-08,至今,2年又338天,11.59%,14.80%,787|1120
21,,,,,大成景旭纯债债券C,000153,债券型,2017-11-08,至今,2年又338天,10.35%,14.80%,893|1120
22,方锐,2020-09-07,无,"方锐先生:中国,经济学硕士。2015年7月至2016年11月就职于中国人民银行深圳市中心支行,任货币信货管理处科员。2016年11月加入大成基金管理有限公司,任固定收益总部助理研究员。2018年11月6日起任大成惠明定期开放纯债债券型证券投资基金、大成景荣债券型证券投资基金基金经理助理。2018年12月28日起任大成价值增长证券投资基金基金经理助理。2018年12月28日至2020年9月7日任大成景旭纯债债券型证券投资基金基金经理助理。具备基金从业资格。2020年9月7日担任大成景旭纯债债券型证券投资基金基金经理。2020年9月7日起任大成彭博巴克莱农发行债券1-3年指数证券投资基金基金经理。",大成景旭纯债债券A,000152,债券型,2020-09-07,至今,34天,0.32%,0.18%,854|2467
23,,,,,大成景旭纯债债券C,000153,债券型,2020-09-07,至今,34天,0.29%,0.18%,1059|2467
24,,,,,大成景旭纯债债券B,006674,债券型,2020-09-07,至今,34天,0.32%,0.18%,854|2467
25,,,,,大成彭博农发行债1-3年指数A,009219,债券指数,2020-09-07,至今,34天,0.34%,0.18%,701|2467
26,,,,,大成彭博农发行债1-3年指数C,009220,债券指数,2020-09-07,至今,34天,0.33%,0.18%,770|2467
