,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,曲波,2013-10-25,无,"曲波先生:清华大学工商管理学硕士。2003年7月加入华夏基金管理有限公司,曾任交易管理部交易员、华夏现金增利证券投资基金基金经理助理、固定收益部总经理助理、现金管理部总经理、华夏货币市场基金基金经理(2012年8月1日至2014年7月25日期间)、华夏安康信用优选债券型证券投资基金基金经理(2012年9月11日至2014年7月25日期间)等,现任现金管理部董事总经理,华夏现金增利证券投资基金基金经理(2008年1月18日起任职)、华夏财富宝货币市场基金基金经理(2013年10月25日起任职)、华夏薪金宝货币市场基金基金经理(2014年7月25日起任职)、华夏天利货币市场基金基金经理(2016年10月13日起任职)、华夏快线交易型货币市场基金基金经理(2016年12月29日起任职)、华夏沃利货币市场基金基金经理(2017年1月13日起任职)。",华夏惠利货币A,004056,货币型,2017-02-10,至今,3年又244天,11.89%,11.53%,204|526
1,,,,,华夏惠利货币B,004251,货币型,2017-02-10,至今,3年又244天,12.52%,11.53%,76|526
2,,,,,华夏沃利货币A,002936,货币型,2017-01-13,至今,3年又272天,12.26%,11.50%,123|530
3,,,,,华夏沃利货币B,002937,货币型,2017-01-13,至今,3年又272天,13.25%,11.50%,10|530
4,,,,,华夏快线交易型货币,511650,货币型,2016-12-29,至今,3年又287天,11.13%,11.81%,436|519
5,,,,,华夏财富宝货币B,004201,货币型,2016-12-27,至今,3年又289天,13.62%,12.00%,20|506
6,,,,,华夏天利货币A,002894,货币型,2016-10-13,至今,3年又364天,12.52%,12.54%,243|452
7,,,,,华夏天利货币B,002895,货币型,2016-10-13,至今,3年又364天,13.60%,12.54%,59|452
8,,,,,华夏现金增利货币B,001374,货币型,2015-05-25,至今,5年又141天,18.50%,16.85%,38|319
9,,,,,华夏薪金宝货币,000645,货币型,2014-07-25,至今,6年又80天,22.49%,21.12%,48|223
10,,,,,华夏财富宝货币A,000343,货币型,2013-10-25,至今,6年又353天,27.82%,24.41%,16|152
11,,,,,华夏货币B,288201,货币型,2012-12-10,2014-07-25,1年又227天,7.94%,6.98%,3|90
12,,,,,华夏安康债券A,001031,债券型,2012-09-11,2014-07-25,1年又317天,3.50%,8.76%,234|267
13,,,,,华夏安康债券C,001033,债券型,2012-09-11,2014-07-25,1年又317天,2.90%,8.76%,239|267
14,,,,,华夏货币A,288101,货币型,2012-08-01,2014-07-25,1年又358天,8.88%,8.23%,17|85
15,,,,,华夏现金增利货币A/E,003003,货币型,2008-01-18,至今,12年又270天,52.67%,48.04%,3|50
