,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,王石千,2019-09-04,无,"王石千先生:国籍中国,经济学硕士。2014年7月加盟鹏华基金管理有限公司,曾任固定收益部高级债券研究员,从事债券投资研究工作,现担任公募债券投资部基金经理。2018年03月担任鹏华双债加利债券基金经理,2018年04月至2020年02月担任鹏华纯债债券基金经理,2018年04月担任鹏华丰利债券(LOF)基金经理,2018年07月担任鹏华可转债债券基金经理,2018年10月至2019年11月担任鹏华信用增利债券基金经理,2018年11月担任鹏华弘盛混合基金经理,2019年07月担任鹏华双债保利债券基金经理,2019年09月担任鹏华丰饶定期开放债券基金经理,2019年09月担任鹏华永泽定期开放债券基金经理,王石千具备基金从业资格。2020年7月24日任职鹏华安惠混合型证券投资基金基金经理。2020年7月29日担任鹏华安睿两年持有期混合型证券投资基金基金经理。",鹏华安睿两年持有期混合A,009634,混合型,2020-07-29,至今,74天,-0.12%,1.53%,2611|3561
1,,,,,鹏华安睿两年持有期混合C,009635,混合型,2020-07-29,至今,74天,-0.22%,1.53%,2655|3561
2,,,,,鹏华安惠混合A,009232,混合型,2020-07-24,至今,79天,1.79%,4.79%,2925|3812
3,,,,,鹏华安惠混合C,009233,混合型,2020-07-24,至今,79天,1.70%,4.79%,2973|3812
4,,,,,鹏华丰饶定开债,000329,定开债券,2019-09-04,至今,1年又38天,5.80%,3.52%,22|309
5,,,,,鹏华永泽18个月定开债,004504,定开债券,2019-09-04,至今,1年又38天,5.85%,3.52%,19|309
6,,,,,鹏华双债保利债券,000338,债券型,2019-07-24,至今,1年又80天,14.70%,6.47%,157|1756
7,,,,,鹏华弘盛混合A,001067,混合型,2018-11-24,至今,1年又322天,22.10%,72.69%,2288|2675
8,,,,,鹏华弘盛混合C,001380,混合型,2018-11-24,至今,1年又322天,21.72%,72.69%,2307|2675
9,,,,,鹏华信用增利债券A,206003,债券型,2018-10-10,2019-11-22,1年又43天,7.35%,6.90%,344|1334
10,,,,,鹏华信用增利债券B,206004,债券型,2018-10-10,2019-11-22,1年又43天,7.02%,6.90%,389|1334
11,,,,,鹏华可转债债券,000297,债券型,2018-07-13,至今,2年又91天,55.37%,13.53%,7|1258
12,,,,,鹏华丰利债券(LOF),160622,债券型,2018-04-12,至今,2年又183天,16.55%,13.48%,232|1175
13,,,,,鹏华纯债债券,206015,债券型,2018-04-12,2020-02-05,1年又299天,10.94%,9.94%,377|1196
14,,,,,鹏华双债加利债券,000143,债券型,2018-03-28,至今,2年又198天,27.00%,14.18%,80|1168
15,曾皓明,2020-08-11,无,"曾皓明先生:国籍中国,金融学硕士。曾任招商证券股份有限公司固定收益总部债券信用评估岗研究员、2016年8月加盟鹏华基金管理有限公司,从事研究分析工作,历任固定收益部债券研究员,现任职于公募债券投资部,从事投研相关工作。曾皓明先生具备基金从业资格。2020年2月27日任职鹏华尊裕一年定期开放债券型发起式证券投资基金基金经理。2020年5月20日起担任鹏华尊达一年定期开放债券型发起式证券投资基金基金经理。2020年8月11日担任鹏华丰饶定期开放债券型证券投资基金基金经理。",鹏华丰饶定开债,000329,定开债券,2020-08-11,至今,61天,-0.27%,0.10%,873|949
16,,,,,鹏华尊达一年定开发起式债券,008925,定开债券,2020-05-20,至今,144天,-0.57%,-0.63%,148|371
17,,,,,鹏华尊裕一年定开债,008951,定开债券,2020-02-27,至今,227天,-0.03%,0.77%,284|326
