,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,曾雪兰,2020-04-20,无,"曾雪兰女士:硕士研究生,2010年7月加入广发基金管理有限公司,2010年7月至2013年10月在固定收益部任债券交易员,2013年11月至2016年7月任职固定收益部债券研究员、广发货币市场基金的基金经理助理。曾任广发基金管理有限公司固定收益部债券交易员、债券研究员、基金经理助理。现任广发基金管理有限公司基金经理。广发集安债券型证券投资基金基金经理(自2017年2月6日至2018年10月9日)。现任广发现金宝场内实时申赎货币市场基金基金经理(自2016年7月22日起任职)、广发理财30天债券型证券投资基金基金经理(自2016年7月22日起任职)。",广发天天红货币A,000389,货币型,2020-04-20,至今,174天,0.82%,0.82%,376|649
1,,,,,广发天天红货币B,002183,货币型,2020-04-20,至今,174天,0.93%,0.82%,109|649
2,,,,,广发货币C,005092,货币型,2020-04-20,至今,174天,0.78%,0.82%,464|649
3,,,,,广发添利货币ETFB,005107,货币型,2020-04-20,至今,174天,0.85%,0.82%,297|649
4,,,,,广发货币A,270004,货币型,2020-04-20,至今,174天,0.78%,0.82%,438|649
5,,,,,广发货币B,270014,货币型,2020-04-20,至今,174天,0.90%,0.82%,175|649
6,,,,,广发货币E,511920,货币型,2020-04-20,至今,174天,0.78%,0.82%,438|649
7,,,,,广发添利货币ETFA,511950,货币型,2020-04-20,至今,174天,0.74%,0.82%,530|649
8,,,,,广发集安债券A,003211,债券型,2017-02-06,2018-06-27,1年又141天,3.26%,3.06%,630|1051
9,,,,,广发集安债券C,003212,债券型,2017-02-06,2018-06-27,1年又141天,2.14%,3.06%,762|1051
10,,,,,广发景荣纯债,270046,债券型,2016-07-22,至今,4年又82天,0.13%,0.34%,823|2531
11,,,,,广发理财30天债券B,270047,理财型,2016-07-22,2020-09-24,4年又65天,15.82%,14.26%,1|16
12,,,,,广发现金宝场内货币A,519858,货币型,2016-07-22,至今,4年又82天,11.29%,13.15%,403|421
13,,,,,广发现金宝场内货币B,519859,货币型,2016-07-22,至今,4年又82天,14.20%,13.15%,67|421
