,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,贺涛,2013-06-14,无,"贺涛先生:金融学硕士(金融工程方向),曾任长城证券有限责任公司债券研究员,华安基金管理有限公司债券研究员、债券投资风险管理员、固定收益投资经理。2008年4月起担任华安稳定收益债券基金的基金经理。2011年6月起同时担任华安可转换债券债券型证券投资基金的基金经理。2012年12月至2017年6月担任华安信用增强债券型证券投资基金的基金经理。2013年6月起同时担任华安双债添利债券型证券投资基金的基金经理、固定收益部助理总监。2013年8月起担任固定收益部副总监。2013年10月至2017年7月同时担任华安月月鑫短期理财债券型证券投资基金、华安季季鑫短期理财债券型证券投资基金、华安月安鑫短期理财债券型证券投资基金、华安现金富利投资基金的基金经理。2014年7月至2017年7月同时担任华安汇财通货币市场基金的基金经理。2015年2月至2017年6月担任华安年年盈定期开放债券型证券投资基金的基金经理。2015年5月起担任固定收益部总监。2015年5月至2017年7月,担任华安新回报灵活配置混合型证券投资基金的基金经理。2015年9月至2018年9月,担任华安新乐享保本混合型证券投资基金的基金经理。2018年9月至2019年12月9日担任华安新乐享灵活配置混合型证券投资基金的基金经理。2015年12月至2017年7月,同时担任华安乐惠保本混合型证券投资基金的基金经理。2016年2月至2018年8月,担任华安安华保本混合型证券投资基金的基金经理。2016年7月起同时担任华安安进保本混合型发起式证券投资基金的基金经理。2016年11月起,同时担任华安睿享定期开放混合型发起式证券投资基金的基金经理。2016年11月至2017年12月,担任华安新希望灵活配置混合型证券投资基金的基金经理。2017年2月起,同时担任华安新活力灵活配置混合型证券投资基金的基金经理。2018年2月起,同时担任华安丰利18个月定期开放债券型证券投资基金的基金经理。2019年1月至2020年2月21日担任华安安盛3个月定期开放债券型发起式证券投资基金的基金经理。",华安科创主题混合,501073,混合型,2019-06-11,至今,1年又123天,11.00%,55.45%,2699|2889
1,,,,,华安安盛3个月定开债,006936,定开债券,2019-01-25,2020-02-21,1年又27天,4.51%,5.49%,381|552
2,,,,,华安丰利18个月定开债A,002950,定开债券,2018-02-09,2018-06-23,134天,15.85%,1.55%,2|480
3,,,,,华安丰利18个月定开债C,002951,定开债券,2018-02-09,2018-06-23,134天,18.12%,1.55%,1|480
4,,,,,华安新活力混合,000590,混合型,2017-02-08,至今,3年又246天,33.68%,64.71%,1347|1839
5,,,,,华安新希望灵活配置混合A,002037,混合型,2016-11-18,2017-12-26,1年又38天,6.90%,7.80%,892|1937
6,,,,,华安新希望灵活配置混合C,002038,混合型,2016-11-18,2017-12-26,1年又38天,280.30%,7.80%,1|1937
7,,,,,华安睿享定开混合A,003339,混合型,2016-11-02,2019-11-19,3年又17天,15.12%,17.41%,864|1663
8,,,,,华安睿享定开混合C,003340,混合型,2016-11-02,2019-11-19,3年又17天,13.97%,17.41%,915|1663
9,,,,,华安安进灵活配置混合,002768,混合型,2016-07-05,至今,4年又99天,39.11%,65.31%,976|1481
10,,,,,华安安华灵活配置混合,002350,混合型,2016-02-03,2018-08-13,2年又192天,6.04%,10.33%,793|1357
11,,,,,华安乐惠保本混合A,002238,保本型,2015-12-30,2017-07-24,1年又207天,3.20%,2.70%,2|5
12,,,,,华安乐惠保本混合C,002239,保本型,2015-12-30,2017-07-24,1年又207天,2.70%,2.70%,3|5
13,,,,,华安新乐享混合,001800,混合型,2015-09-10,2019-12-09,4年又91天,25.15%,30.39%,551|1088
14,,,,,华安新回报灵活配置混合,001311,混合型,2015-05-19,2017-07-03,2年又46天,8.70%,-13.89%,165|894
15,,,,,华安年年盈定开债A,000239,定开债券,2015-02-03,2017-06-26,2年又144天,3.59%,11.80%,76|84
16,,,,,华安年年盈定开债C,000240,定开债券,2015-02-03,2017-06-26,2年又144天,2.91%,11.80%,77|84
17,,,,,华安汇财通货币,000709,货币型,2014-07-17,2017-07-24,3年又8天,10.85%,10.37%,98|223
18,,,,,华安现金富利货币A,040003,货币型,2013-10-08,2017-07-24,3年又290天,13.99%,14.34%,96|140
19,,,,,华安月月鑫短期理财债券A,040028,理财型,2013-10-08,2017-07-31,3年又297天,13.57%,16.14%,23|25
20,,,,,华安月月鑫短期理财债券B,040029,理财型,2013-10-08,2017-07-31,3年又297天,14.59%,16.14%,21|25
21,,,,,华安季季鑫短期理财债券A,040030,理财型,2013-10-08,2017-07-31,3年又297天,10.90%,15.89%,23|25
22,,,,,华安季季鑫短期理财债券B,040031,理财型,2013-10-08,2017-07-31,3年又297天,10.40%,15.89%,25|25
23,,,,,华安月安鑫短期理财债券A,040033,理财型,2013-10-08,2017-07-31,3年又297天,10.75%,15.89%,24|25
24,,,,,华安现金富利货币B,041003,货币型,2013-10-08,2017-07-24,3年又290天,15.03%,14.34%,45|140
25,,,,,华安双债添利债券A,000149,债券型,2013-06-14,至今,7年又121天,66.01%,54.39%,89|374
26,,,,,华安双债添利债券C,000150,债券型,2013-06-14,至今,7年又121天,62.57%,54.39%,109|374
27,,,,,华安添鑫中短债A,040045,债券型,2012-12-24,2017-06-26,4年又185天,38.06%,39.12%,127|295
28,,,,,华安可转债债券A,040022,债券型,2011-06-22,至今,9年又114天,45.00%,72.39%,144|169
29,,,,,华安可转债债券B,040023,债券型,2011-06-22,至今,9年又114天,39.90%,72.39%,154|169
30,,,,,华安稳定收益债券A,040009,债券型,2008-04-30,至今,12年又167天,116.50%,103.15%,11|48
31,,,,,华安稳定收益债券B,040010,债券型,2008-04-30,至今,12年又167天,105.99%,103.15%,17|48
