,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,朱晨杰,2019-10-08,无,"朱晨杰先生:中国国籍,研究生学历、硕士学位。自2012年6月至2013年6月任法国兴业银行投资银行部交易助理,自2013年7月至2014年11月任海通证券股份有限公司债券融资部销售交易员,自2014年11月至2016年3月任平安证券有限责任公司固定收益事业部交易员。2016年3月加入中欧基金管理有限公司,曾任投资经理。2018年加入工银瑞信基金管理有限公司,现任基金经理。",工银信用纯债两年定开债A,000078,定开债券,2019-10-08,至今,1年又4天,2.91%,3.51%,386|660
1,,,,,工银信用纯债两年定开债C,000079,定开债券,2019-10-08,至今,1年又4天,2.60%,3.51%,477|660
2,,,,,中欧骏盈货币A,001787,货币型,2017-05-03,2018-03-15,316天,3.23%,3.51%,517|577
3,,,,,中欧骏盈货币B,001788,货币型,2017-05-03,2018-03-15,316天,3.44%,3.51%,373|577
4,,,,,中欧兴利债券,001776,债券型,2017-04-07,2018-08-21,1年又136天,7.02%,3.95%,138|1105
5,,,,,中欧增强回报债券(LOF)E,001889,债券型,2017-04-07,2018-08-21,1年又136天,6.58%,3.95%,211|1105
6,,,,,中欧强势多策略债券,001912,定开债券,2017-04-07,2018-08-21,1年又136天,5.01%,4.81%,180|346
7,,,,,中欧瑾通灵活配置混合A,002009,混合型,2017-04-07,2018-08-21,1年又136天,6.84%,-1.67%,405|2185
8,,,,,中欧瑾通灵活配置混合C,002010,混合型,2017-04-07,2018-08-21,1年又136天,6.39%,-1.67%,450|2185
9,,,,,中欧强盈债券,002532,定开债券,2017-04-07,2018-08-21,1年又136天,4.50%,4.81%,225|346
10,,,,,中欧信用增利债券(LOF)E,002591,债券型,2017-04-07,2018-08-21,1年又136天,0.47%,3.95%,937|1105
11,,,,,中欧纯债债券(LOF)E,002592,债券型,2017-04-07,2018-08-21,1年又136天,1.42%,3.95%,888|1105
12,,,,,中欧强瑞多策略债券,002725,定开债券,2017-04-07,2018-08-21,1年又136天,6.53%,4.81%,69|346
13,,,,,中欧短债债券A,002920,债券型,2017-04-07,2018-08-21,1年又136天,6.77%,3.95%,173|1105
14,,,,,中欧强裕债券,003021,债券型,2017-04-07,2018-06-01,1年又55天,2.77%,3.02%,748|1161
15,,,,,中欧强利债券,003091,债券型,2017-04-07,2018-01-19,287天,2.43%,2.40%,433|1185
16,,,,,中欧瑾悠灵活配置混合A,003148,混合型,2017-04-07,2018-07-11,1年又95天,2.99%,1.42%,1084|2229
17,,,,,中欧瑾悠灵活配置混合C,003149,混合型,2017-04-07,2018-07-11,1年又95天,42.22%,1.42%,18|2229
18,,,,,中欧稳健收益债券A,166003,债券型,2017-04-07,2018-07-24,1年又108天,3.60%,4.11%,735|1121
19,,,,,中欧稳健收益债券C,166004,债券型,2017-04-07,2018-07-24,1年又108天,3.17%,4.11%,781|1121
20,,,,,中欧增强回报债券(LOF)A,166008,债券型,2017-04-07,2018-08-21,1年又136天,6.51%,3.95%,229|1105
21,,,,,中欧信用增利债券(LOF)C,166012,债券型,2017-04-07,2018-08-21,1年又136天,0.97%,3.95%,916|1105
22,,,,,中欧纯债债券(LOF)C,166016,债券型,2017-04-07,2018-08-21,1年又136天,0.99%,3.95%,915|1105
